Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2007-08,22,CHI,NBA,C,74,1534,15.5,.539,.003,.529,12.4,18.4,15.3,8.6,2.3,3.3,16.4,15.6,,1.5,2.3,3.8,.120,,-1.2,2.8,1.6,1.4
2008-09,23,CHI,NBA,C,80,1938,16.5,.594,.003,.489,14.5,21.3,17.9,8.1,1.3,4.1,15.4,12.3,,3.8,2.7,6.4,.159,,0.5,2.8,3.4,2.6
2009-10,24,CHI,NBA,C,64,1925,17.9,.557,.000,.421,12.9,27.6,20.3,10.8,0.9,4.0,16.0,17.1,,2.7,3.5,6.2,.154,,-0.7,3.3,2.5,2.2
2010-11,25,CHI,NBA,C,48,1576,18.8,.579,.002,.468,13.9,22.8,18.5,10.7,1.6,3.5,15.7,16.8,,3.1,3.6,6.7,.205,,0.7,4.2,4.9,2.8
2011-12,26,CHI,NBA,C,64,1945,19.6,.561,.002,.420,14.1,21.8,18.0,12.7,1.1,3.4,13.7,15.8,,4.9,4.2,9.0,.223,,1.8,4.0,5.8,3.8
2012-13 ★,27,CHI,NBA,C,66,2426,18.1,.534,.008,.376,12.2,22.6,17.3,17.6,1.7,4.4,19.3,17.2,,2.7,4.7,7.3,.145,,0.1,5.1,5.2,4.4
2013-14 ★,28,CHI,NBA,C,80,2820,20.0,.531,.003,.419,11.6,24.5,18.2,26.4,1.9,3.3,17.0,18.7,,4.5,6.6,11.2,.190,,1.1,5.5,6.6,6.1
2014-15,29,CHI,NBA,C,67,2049,15.3,.482,.005,.407,11.9,22.1,17.1,23.0,1.2,2.6,19.6,13.7,,2.4,3.1,5.6,.130,,-0.2,3.6,3.4,2.8
2015-16,30,CHI,NBA,C,29,635,14.1,.406,.008,.338,14.7,27.3,21.1,24.2,1.4,3.3,25.4,14.2,,0.0,1.1,1.1,.079,,-2.3,4.3,1.9,0.6
Career,,,NBA,,572,16848,17.7,.541,.003,.430,12.9,23.0,18.0,16.1,1.5,3.6,17.1,16.0,,25.6,31.7,57.3,.163,,0.2,4.1,4.3,26.7
