Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2008-09,25,HOU,NBA,PF,3,6,16.1,.500,.000,.000,0.0,18.7,9.7,28.7,0.0,0.0,0.0,15.5,,0.0,0.0,0.0,.156,,-1.7,-1.3,-3.1,0.0
2009-10,26,TOT,NBA,PF,15,106,9.8,.455,.000,.600,16.8,29.9,23.2,2.8,1.4,1.4,19.2,13.1,,0.0,0.1,0.1,.062,,-5.7,-1.7,-7.4,-0.1
2009-10,26,HOU,NBA,PF,7,54,11.5,.463,.000,.182,22.5,30.8,26.5,5.4,1.9,1.3,25.2,13.0,,0.0,0.1,0.1,.088,,-3.6,0.9,-2.7,0.0
2009-10,26,SAC,NBA,PF,8,52,7.9,.448,.000,1.111,10.9,29.0,19.8,0.0,1.0,1.4,13.0,13.1,,0.0,0.1,0.0,.035,,-7.8,-4.4,-12.2,-0.1
2010-11,27,TOR,NBA,C,43,522,14.2,.529,.000,.657,17.5,25.8,21.6,7.4,2.4,2.5,23.4,14.3,,0.2,0.5,0.8,.072,,-1.6,1.6,0.0,0.3
2014-15,31,HOU,NBA,PF,69,854,11.1,.507,.007,.572,13.3,22.7,18.0,4.4,2.3,2.3,18.4,11.3,,0.4,1.5,1.9,.108,,-3.5,2.1,-1.4,0.1
Career,,,NBA,,130,1488,12.1,.511,.004,.602,15.0,24.3,19.6,5.4,2.3,2.3,20.4,12.5,,0.7,2.2,2.9,.092,,-3.0,1.6,-1.3,0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,HOU,NBA,,79,914,11.1,.504,.006,.538,13.8,23.1,18.5,4.6,2.3,2.2,18.7,11.4,,0.4,1.6,2.0,.107,,-3.5,2.0,-1.5,0.1
1 season,,TOR,NBA,,43,522,14.2,.529,.000,.657,17.5,25.8,21.6,7.4,2.4,2.5,23.4,14.3,,0.2,0.5,0.8,.072,,-1.6,1.6,0.0,0.3
1 season,,SAC,NBA,,8,52,7.9,.448,.000,1.111,10.9,29.0,19.8,0.0,1.0,1.4,13.0,13.1,,0.0,0.1,0.0,.035,,-7.8,-4.4,-12.2,-0.1
