Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2005-06,20,SEA,NBA,C,68,1282,10.4,.530,.000,.250,10.1,17.9,13.9,1.8,1.0,3.1,15.3,13.7,,0.7,0.2,1.0,.037,,-2.6,-1.4,-4.0,-0.7
2006-07,21,SEA,NBA,C,81,1510,11.6,.532,.000,.176,7.2,19.5,13.3,4.8,1.4,2.4,14.8,16.7,,0.5,1.2,1.7,.053,,-3.1,0.0,-3.1,-0.4
2007-08,22,SEA,NBA,C,72,1310,10.0,.453,.002,.198,8.2,22.6,15.4,3.8,1.3,2.3,13.3,18.2,,-1.1,1.5,0.4,.014,,-5.5,0.0,-5.5,-1.1
2008-09,23,TOT,NBA,C,49,559,8.1,.429,.011,.165,8.7,23.9,16.3,4.5,1.7,2.0,12.9,17.2,,-0.6,0.8,0.2,.018,,-6.1,-0.1,-6.3,-0.6
2008-09,23,OKC,NBA,C,22,342,9.3,.426,.009,.133,8.9,23.3,16.0,2.8,2.4,1.1,11.1,17.4,,-0.3,0.5,0.1,.019,,-6.0,-0.6,-6.6,-0.4
2008-09,23,DEN,NBA,C,27,217,6.4,.434,.016,.222,8.3,25.0,16.9,7.1,0.7,3.6,15.8,16.9,,-0.2,0.3,0.1,.017,,-6.3,0.7,-5.6,-0.2
2009-10,24,DEN,NBA,C,36,436,10.7,.553,.010,.208,8.5,25.4,17.1,4.8,1.2,2.2,17.3,13.6,,0.2,0.6,0.8,.089,,-3.5,0.5,-2.9,-0.1
2010-11,25,NJN,NBA,C,77,893,9.9,.452,.014,.097,8.0,20.4,14.0,8.4,2.0,2.9,13.2,18.1,,-0.7,1.1,0.4,.024,,-4.6,1.4,-3.2,-0.3
2011-12,26,NJN,NBA,C,59,920,10.3,.452,.004,.142,8.3,20.3,14.1,8.2,1.2,1.9,12.1,15.6,,0.1,0.6,0.7,.034,,-4.0,-0.3,-4.3,-0.5
2012-13,27,ATL,NBA,C,31,352,11.0,.468,.036,.109,10.9,25.3,18.2,7.1,1.5,2.0,17.2,18.3,,-0.2,0.6,0.4,.048,,-5.4,0.7,-4.8,-0.2
Career,,,NBA,,473,7262,10.4,.484,.006,.173,8.5,21.0,14.7,5.1,1.4,2.4,14.1,16.4,,-1.0,6.5,5.5,.037,,-4.1,-0.1,-4.2,-4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SEAOKC,NBA,,243,4444,10.6,.495,.002,.197,8.5,20.2,14.3,3.5,1.3,2.5,14.1,16.3,,-0.2,3.4,3.2,.034,,-3.9,-0.4,-4.3,-2.6
2 seasons,,NJN,NBA,,136,1813,10.1,.452,.009,.118,8.2,20.3,14.1,8.3,1.6,2.4,12.7,16.9,,-0.6,1.7,1.1,.029,,-4.3,0.5,-3.8,-0.8
2 seasons,,DEN,NBA,,63,653,9.3,.507,.012,.213,8.4,25.3,17.0,5.6,1.0,2.7,16.7,14.7,,0.0,0.9,0.9,.065,,-4.4,0.6,-3.8,-0.3
1 season,,ATL,NBA,,31,352,11.0,.468,.036,.109,10.9,25.3,18.2,7.1,1.5,2.0,17.2,18.3,,-0.2,0.6,0.4,.048,,-5.4,0.7,-4.8,-0.2
