Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2011-12,22,MIL,NBA,PF,46,555,15.3,.536,.047,.147,8.7,15.3,11.9,7.3,1.3,2.3,8.1,17.6,,0.9,0.5,1.4,.122,,-0.9,-0.5,-1.4,0.1
2012-13,23,TOT,NBA,PF-C,28,187,10.4,.485,.058,.250,7.9,15.5,11.6,6.8,1.7,0.0,12.2,15.9,,0.0,0.2,0.2,.057,,-3.3,-1.1,-4.4,-0.1
2012-13,23,CLE,NBA,C,9,91,3.3,.359,.107,.214,6.1,10.7,8.3,8.5,1.1,0.0,14.0,17.5,,-0.2,0.0,-0.2,-0.092,,-6.4,-2.6,-9.1,-0.2
2012-13,23,MEM,NBA,PF,19,96,17.2,.628,.000,.292,9.7,20.1,14.8,5.3,2.3,0.0,10.0,14.4,,0.2,0.2,0.4,.198,,-0.2,0.3,0.1,0.1
2013-14,24,MEM,NBA,PF,49,642,17.6,.566,.199,.191,6.8,22.4,14.6,5.2,1.5,1.7,9.2,21.1,,1.1,0.9,2.0,.149,,-0.6,-0.9,-1.6,0.1
2014-15,25,MEM,NBA,PF,63,824,11.9,.478,.106,.216,7.0,21.7,14.3,8.8,1.1,0.9,10.5,18.6,,0.2,1.2,1.3,.078,,-3.1,0.0,-3.1,-0.2
2015-16,26,PHO,NBA,PF,67,1255,16.2,.555,.236,.217,6.4,26.3,16.1,9.6,1.5,2.0,12.8,19.8,,1.4,1.3,2.7,.103,,-1.3,0.3,-1.0,0.3
Career,,,NBA,,253,3463,15.0,.534,.163,.202,7.1,22.1,14.5,8.1,1.4,1.6,10.9,19.2,,3.5,4.1,7.6,.106,,-1.6,-0.2,-1.9,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MEM,NBA,,131,1562,14.6,.525,.144,.208,7.1,21.9,14.5,7.1,1.3,1.2,9.9,19.4,,1.4,2.3,3.7,.114,,-1.9,-0.3,-2.3,-0.1
1 season,,PHO,NBA,,67,1255,16.2,.555,.236,.217,6.4,26.3,16.1,9.6,1.5,2.0,12.8,19.8,,1.4,1.3,2.7,.103,,-1.3,0.3,-1.0,0.3
1 season,,MIL,NBA,,46,555,15.3,.536,.047,.147,8.7,15.3,11.9,7.3,1.3,2.3,8.1,17.6,,0.9,0.5,1.4,.122,,-0.9,-0.5,-1.4,0.1
1 season,,CLE,NBA,,9,91,3.3,.359,.107,.214,6.1,10.7,8.3,8.5,1.1,0.0,14.0,17.5,,-0.2,0.0,-0.2,-0.092,,-6.4,-2.6,-9.1,-0.2
