Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,22,DET,NBA,PF,80,2232,13.9,.545,.191,.292,9.9,16.5,13.0,4.2,1.9,1.1,10.8,15.7,,2.9,1.5,4.4,.095,,0.1,-0.3,-0.2,1.0
2011-12,24,DET,NBA,PF,64,1468,14.2,.548,.234,.274,7.6,17.8,12.5,5.1,1.5,1.1,11.5,18.1,,2.0,1.3,3.3,.108,,-0.2,-1.2,-1.4,0.2
2012-13,25,DET,NBA,PF,49,892,15.7,.531,.263,.278,8.6,15.4,11.9,8.1,2.3,0.7,10.6,20.2,,1.2,0.8,2.0,.107,,0.4,-1.0,-0.6,0.3
2013-14,26,DET,NBA,PF,64,741,13.4,.577,.356,.284,7.2,19.3,12.9,7.8,1.4,0.6,15.5,16.0,,1.0,0.5,1.4,.092,,-0.7,-1.4,-2.1,0.0
2014-15,27,TOT,NBA,PF,75,1230,15.0,.549,.369,.174,8.0,17.2,12.5,9.0,1.9,1.1,9.7,16.2,,2.0,1.4,3.5,.135,,0.5,0.4,0.9,0.9
2014-15,27,DET,NBA,PF,46,703,14.5,.564,.384,.182,7.0,15.3,11.0,9.2,2.0,1.2,10.8,15.1,,1.2,0.7,1.9,.130,,0.5,0.5,1.0,0.5
2014-15,27,BOS,NBA,PF,29,527,15.5,.533,.354,.166,9.4,19.8,14.5,8.7,1.8,1.0,8.5,17.6,,0.8,0.7,1.5,.141,,0.4,0.3,0.7,0.4
2015-16,28,BOS,NBA,PF,78,1176,10.3,.531,.378,.273,6.8,19.4,13.0,7.4,0.8,1.6,14.0,13.5,,0.9,1.5,2.4,.097,,-2.5,0.4,-2.0,0.0
Career,,,NBA,,410,7739,13.7,.545,.279,.263,8.3,17.4,12.7,6.4,1.7,1.1,11.6,16.5,,10.1,6.9,17.0,.105,,-0.3,-0.5,-0.8,2.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,DET,NBA,,303,6036,14.3,.549,.255,.272,8.5,16.8,12.5,6.0,1.8,1.0,11.5,16.9,,8.3,4.7,13.1,.104,,0.0,-0.7,-0.7,2.0
2 seasons,,BOS,NBA,,107,1703,11.9,.532,.368,.231,7.6,19.5,13.5,7.8,1.1,1.4,12.0,14.8,,1.7,2.2,3.9,.111,,-1.6,0.4,-1.2,0.3
