Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,20,MIN,NBA,PG,81,2339,13.0,.511,.226,.284,1.1,8.1,4.6,24.7,1.8,0.1,17.9,24.2,,-0.6,0.7,0.1,.002,,-1.2,-2.5,-3.6,-1.0
2010-11,21,MIN,NBA,PG,53,983,7.1,.444,.338,.142,1.3,7.5,4.3,27.6,1.7,0.2,26.4,18.5,,-1.6,0.2,-1.3,-0.064,,-4.4,-2.8,-7.2,-1.3
2011-12,22,TOT,NBA,PG,29,416,11.2,.442,.260,.298,2.2,8.8,5.5,35.7,0.8,0.4,19.5,20.2,,0.0,0.1,0.1,.012,,-2.6,-3.6,-6.2,-0.4
2011-12,22,HOU,NBA,PG,11,135,8.8,.392,.220,.341,0.9,6.1,3.4,30.2,1.2,0.6,16.0,18.9,,-0.1,0.1,0.0,-0.006,,-4.3,-3.5,-7.8,-0.2
2011-12,22,POR,NBA,PG,18,281,12.3,.465,.278,.278,2.8,10.2,6.4,38.3,0.6,0.3,21.1,20.8,,0.1,0.1,0.1,.020,,-1.8,-3.6,-5.4,-0.2
Career,,,NBA,,163,3738,11.3,.490,.253,.255,1.3,8.1,4.6,26.7,1.6,0.1,19.9,22.3,,-2.1,1.0,-1.1,-0.015,,-2.2,-2.7,-4.9,-2.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,MIN,NBA,,134,3322,11.3,.496,.252,.250,1.2,8.0,4.5,25.6,1.7,0.1,20.0,22.5,,-2.1,0.9,-1.2,-0.018,,-2.1,-2.5,-4.7,-2.3
1 season,,POR,NBA,,18,281,12.3,.465,.278,.278,2.8,10.2,6.4,38.3,0.6,0.3,21.1,20.8,,0.1,0.1,0.1,.020,,-1.8,-3.6,-5.4,-0.2
1 season,,HOU,NBA,,11,135,8.8,.392,.220,.341,0.9,6.1,3.4,30.2,1.2,0.6,16.0,18.9,,-0.1,0.1,0.0,-0.006,,-4.3,-3.5,-7.8,-0.2
