Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2010-11,22,TOT,NBA,SG,42,1027,11.8,.456,.256,.168,3.4,8.6,5.9,19.8,2.0,0.2,13.4,27.0,,-1.0,0.5,-0.6,-0.026,,-1.4,-2.5,-3.8,-0.5
2010-11,22,ATL,NBA,SG,16,160,7.6,.421,.351,.078,6.8,14.2,10.5,16.0,1.0,0.0,15.8,28.1,,-0.4,0.1,-0.3,-0.090,,-4.5,-3.0,-7.5,-0.2
2010-11,22,WAS,NBA,SG,26,867,12.6,.462,.239,.184,2.8,7.5,5.1,20.5,2.1,0.3,12.9,26.8,,-0.6,0.3,-0.3,-0.014,,-0.8,-2.4,-3.2,-0.3
2011-12,23,WAS,NBA,SG,64,1753,14.5,.488,.313,.233,2.8,8.1,5.4,19.3,1.7,0.2,12.8,28.1,,0.3,0.7,1.1,.029,,0.7,-3.0,-2.3,-0.2
2012-13,24,TOT,NBA,SG,70,1709,13.8,.512,.339,.219,2.9,10.9,6.9,23.5,1.2,0.3,15.1,25.3,,0.2,1.7,1.9,.052,,-0.1,-1.5,-1.6,0.2
2012-13,24,WAS,NBA,SG,43,1127,14.7,.512,.337,.209,3.0,10.3,6.6,25.5,1.2,0.4,14.9,26.4,,0.2,1.1,1.4,.058,,0.5,-1.4,-0.9,0.3
2012-13,24,BOS,NBA,SG,27,582,12.0,.512,.346,.244,2.7,12.0,7.5,19.4,1.1,0.3,15.5,23.1,,0.0,0.5,0.5,.041,,-1.4,-1.6,-3.1,-0.2
2013-14,25,TOT,NBA,SG,81,1859,14.3,.516,.362,.214,1.7,9.5,5.5,25.1,1.3,0.2,13.4,23.7,,1.5,1.4,2.8,.073,,0.4,-2.2,-1.8,0.1
2013-14,25,BOS,NBA,SG,39,1198,15.7,.525,.345,.277,1.7,10.0,5.7,31.0,1.5,0.2,14.1,22.0,,1.7,0.7,2.4,.096,,1.6,-1.9,-0.3,0.5
2013-14,25,GSW,NBA,SG,42,661,11.9,.503,.384,.129,1.7,8.6,5.2,14.2,1.0,0.2,12.4,26.8,,-0.2,0.7,0.4,.033,,-1.9,-2.7,-4.6,-0.4
Career,,,NBA,,257,6348,13.8,.496,.323,.213,2.6,9.3,5.9,22.2,1.5,0.2,13.7,25.9,,1.0,4.2,5.2,.039,,0.0,-2.3,-2.2,-0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,WAS,NBA,,133,3747,14.1,.489,.302,.215,2.9,8.6,5.7,21.4,1.7,0.3,13.4,27.3,,0.0,2.2,2.2,.028,,0.3,-2.4,-2.1,-0.1
2 seasons,,BOS,NBA,,66,1780,14.5,.521,.345,.266,2.0,10.6,6.3,27.2,1.3,0.2,14.6,22.4,,1.6,1.3,2.9,.078,,0.6,-1.8,-1.2,0.4
1 season,,GSW,NBA,,42,661,11.9,.503,.384,.129,1.7,8.6,5.2,14.2,1.0,0.2,12.4,26.8,,-0.2,0.7,0.4,.033,,-1.9,-2.7,-4.6,-0.4
1 season,,ATL,NBA,,16,160,7.6,.421,.351,.078,6.8,14.2,10.5,16.0,1.0,0.0,15.8,28.1,,-0.4,0.1,-0.3,-0.090,,-4.5,-3.0,-7.5,-0.2
