Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2011-12,21,DEN,NBA,SF,26,258,13.9,.508,.423,.045,5.1,22.4,14.0,12.6,0.8,0.9,12.4,22.3,,0.1,0.2,0.3,.055,,-0.6,-1.8,-2.4,0.0
2012-13,22,DEN,NBA,SF,40,397,16.9,.490,.363,.129,9.2,17.4,13.4,9.2,1.9,1.6,8.2,25.3,,0.4,0.5,0.8,.100,,0.6,-1.6,-1.0,0.1
2013-14,23,TOT,NBA,SF,60,1019,12.7,.507,.527,.136,3.5,17.1,10.4,7.9,2.1,1.5,10.4,18.7,,0.4,1.1,1.6,.073,,-0.9,-0.1,-1.0,0.3
2013-14,23,DEN,NBA,SF,39,670,13.2,.497,.508,.122,3.7,17.8,10.7,7.8,2.3,1.4,9.2,18.7,,0.2,0.7,1.0,.069,,-0.9,0.1,-0.8,0.2
2013-14,23,HOU,NBA,SF,21,349,11.7,.528,.566,.164,3.0,15.7,9.7,8.0,1.9,1.5,12.7,18.8,,0.2,0.4,0.6,.080,,-0.9,-0.4,-1.4,0.1
2014-15,24,LAC,NBA,SF,14,122,8.3,.543,.600,.000,1.9,12.7,7.4,8.2,0.8,0.0,10.3,14.4,,0.1,0.1,0.1,.059,,-1.1,-2.1,-3.2,0.0
2015-16,25,NOP,NBA,SF,11,304,12.4,.499,.388,.181,4.2,18.9,11.3,12.9,1.3,0.8,12.0,20.7,,0.0,0.2,0.2,.030,,-1.2,-1.0,-2.2,0.0
Career,,,NBA,,151,2100,13.4,.503,.458,.123,4.8,17.8,11.4,9.5,1.7,1.2,10.3,20.4,,1.0,2.0,3.0,.069,,-0.6,-0.8,-1.5,0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,DEN,NBA,,105,1325,14.5,.496,.440,.110,5.6,18.6,12.2,9.2,1.9,1.4,9.5,21.4,,0.7,1.4,2.1,.076,,-0.4,-0.8,-1.1,0.3
1 season,,HOU,NBA,,21,349,11.7,.528,.566,.164,3.0,15.7,9.7,8.0,1.9,1.5,12.7,18.8,,0.2,0.4,0.6,.080,,-0.9,-0.4,-1.4,0.1
1 season,,LAC,NBA,,14,122,8.3,.543,.600,.000,1.9,12.7,7.4,8.2,0.8,0.0,10.3,14.4,,0.1,0.1,0.1,.059,,-1.1,-2.1,-3.2,0.0
1 season,,NOP,NBA,,11,304,12.4,.499,.388,.181,4.2,18.9,11.3,12.9,1.3,0.8,12.0,20.7,,0.0,0.2,0.2,.030,,-1.2,-1.0,-2.2,0.0
