Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2004-05,21,ATL,NBA,SG,80,2376,15.2,.543,.087,.360,9.1,14.8,11.8,10.4,1.6,1.1,12.5,16.0,,3.7,0.9,4.6,.093,,0.3,-0.3,0.0,1.2
2005-06,22,ATL,NBA,SF,74,2249,15.8,.626,.129,.399,7.0,13.9,10.3,9.4,2.0,1.3,14.6,14.0,,4.6,1.1,5.7,.121,,1.4,0.1,1.5,2.0
2006-07,23,ATL,NBA,SG,55,2024,16.2,.586,.149,.405,7.2,13.1,10.1,10.8,1.5,1.4,11.6,15.7,,4.1,1.4,5.5,.130,,1.6,0.4,2.0,2.0
2007-08,24,ATL,NBA,SF,76,2274,17.8,.647,.105,.480,9.0,10.2,9.6,8.5,1.6,1.4,12.4,15.8,,6.0,1.5,7.6,.160,,2.5,0.0,2.4,2.5
2010-11,27,PHO,NBA,SG,54,894,13.0,.567,.075,.276,8.9,11.1,10.0,7.0,1.9,1.9,15.5,14.3,,0.8,0.6,1.4,.076,,-0.7,1.3,0.5,0.6
2011-12,28,PHO,NBA,SF,34,491,11.1,.501,.242,.020,7.2,14.6,10.9,10.0,1.5,0.9,8.3,10.1,,0.6,0.4,0.9,.092,,-0.3,1.4,1.1,0.4
2012-13,29,BRK,NBA,SF,14,100,7.0,.320,.143,.095,7.0,10.7,8.9,7.3,1.1,1.5,0.0,10.1,,0.0,0.1,0.1,.029,,-3.8,0.3,-3.5,0.0
2013-14,30,NOP,NBA,SF,4,24,3.9,,,,0.0,14.7,7.3,10.7,2.2,0.0,100.0,1.9,,0.0,0.0,0.0,-0.003,,-6.2,2.0,-4.3,0.0
Career,,,NBA,,391,10432,15.6,.591,.117,.381,8.1,12.9,10.4,9.5,1.7,1.3,12.8,15.0,,19.7,6.0,25.7,.118,,1.1,0.2,1.3,8.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,ATL,NBA,,285,8923,16.2,.599,.115,.410,8.1,13.0,10.5,9.7,1.7,1.3,12.7,15.4,,18.3,5.0,23.3,.125,,1.4,0.0,1.4,7.7
2 seasons,,PHO,NBA,,88,1385,12.3,.547,.128,.195,8.3,12.3,10.3,8.1,1.7,1.5,13.5,12.8,,1.4,1.0,2.4,.082,,-0.6,1.3,0.7,0.9
1 season,,BRK,NBA,,14,100,7.0,.320,.143,.095,7.0,10.7,8.9,7.3,1.1,1.5,0.0,10.1,,0.0,0.1,0.1,.029,,-3.8,0.3,-3.5,0.0
1 season,,NOP,NBA,,4,24,3.9,,,,0.0,14.7,7.3,10.7,2.2,0.0,100.0,1.9,,0.0,0.0,0.0,-0.003,,-6.2,2.0,-4.3,0.0
