Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2007-08,20,POR,NBA,PF,8,28,20.3,.600,.100,.000,8.4,33.5,21.0,13.7,2.0,0.0,16.7,20.3,,0.0,0.0,0.1,.131,,-1.0,0.8,-0.3,0.0
2008-09,21,IND,NBA,PF,33,279,12.5,.451,.120,.157,10.2,19.1,14.6,8.4,2.1,4.3,11.9,15.7,,0.0,0.4,0.4,.073,,-3.3,2.2,-1.1,0.1
2009-10,22,IND,NBA,C,42,524,14.8,.550,.158,.260,8.3,18.2,13.2,13.5,1.6,2.2,10.5,15.3,,0.8,0.7,1.5,.134,,-0.7,1.4,0.7,0.4
2010-11,23,IND,NBA,PF,72,1597,16.0,.608,.155,.308,7.6,18.8,13.3,15.0,1.5,2.6,17.5,14.7,,2.6,2.2,4.9,.147,,0.4,2.5,2.9,2.0
2011-12,24,LAL,NBA,PF,50,718,10.9,.516,.059,.305,9.9,16.4,13.3,10.5,1.1,1.8,18.8,10.5,,0.6,0.8,1.4,.095,,-1.8,1.6,-0.2,0.3
2012-13,25,TOT,NBA,PF,67,1487,12.7,.527,.245,.248,7.0,18.1,12.4,14.8,1.1,1.4,14.8,13.7,,1.5,0.7,2.2,.072,,-1.0,0.1,-0.8,0.4
2012-13,25,ORL,NBA,PF,41,685,10.2,.478,.359,.196,6.7,15.8,11.3,14.7,0.8,1.4,14.4,12.9,,0.4,0.3,0.7,.051,,-2.0,-0.1,-2.0,0.0
2012-13,25,CHA,NBA,PF,26,802,14.8,.565,.153,.289,7.2,20.0,13.4,14.9,1.4,1.5,15.1,14.3,,1.1,0.4,1.5,.090,,-0.1,0.2,0.1,0.4
2013-14,26,CHA,NBA,PF,78,2360,13.8,.548,.514,.150,4.0,13.8,8.9,21.9,1.3,1.5,12.1,13.4,,3.5,3.0,6.5,.132,,1.3,1.6,2.9,2.9
2014-15,27,MIA,NBA,PF,17,296,10.2,.613,.358,.245,2.9,15.1,9.1,17.5,2.1,0.9,27.3,12.8,,0.1,0.3,0.4,.070,,-1.7,0.6,-1.1,0.1
2015-16,28,MIA,NBA,PF,42,595,9.9,.453,.331,.270,4.3,15.3,10.0,19.4,1.6,0.9,15.3,15.0,,0.1,0.7,0.8,.064,,-1.9,0.6,-1.4,0.1
Career,,,NBA,,409,7884,13.4,.545,.294,.232,6.4,16.6,11.5,16.7,1.4,1.8,14.9,13.8,,9.3,8.9,18.2,.111,,-0.2,1.4,1.1,6.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,IND,NBA,,147,2400,15.4,.574,.151,.276,8.1,18.7,13.4,13.9,1.6,2.7,15.2,15.0,,3.4,3.4,6.8,.135,,-0.3,2.3,2.0,2.4
2 seasons,,CHA,NBA,,104,3162,14.0,.552,.423,.185,4.9,15.4,10.1,20.2,1.3,1.5,12.9,13.7,,4.6,3.4,8.0,.121,,1.0,1.2,2.2,3.3
2 seasons,,MIA,NBA,,59,891,10.0,.495,.338,.264,3.9,15.2,9.7,18.8,1.7,0.9,18.8,14.3,,0.2,1.0,1.2,.066,,-1.9,0.6,-1.3,0.2
1 season,,LAL,NBA,,50,718,10.9,.516,.059,.305,9.9,16.4,13.3,10.5,1.1,1.8,18.8,10.5,,0.6,0.8,1.4,.095,,-1.8,1.6,-0.2,0.3
1 season,,ORL,NBA,,41,685,10.2,.478,.359,.196,6.7,15.8,11.3,14.7,0.8,1.4,14.4,12.9,,0.4,0.3,0.7,.051,,-2.0,-0.1,-2.0,0.0
1 season,,POR,NBA,,8,28,20.3,.600,.100,.000,8.4,33.5,21.0,13.7,2.0,0.0,16.7,20.3,,0.0,0.0,0.1,.131,,-1.0,0.8,-0.3,0.0
