Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2004-05,19,NOH,NBA,SG,76,1859,10.9,.478,.376,.215,2.4,7.5,4.8,14.6,1.6,0.5,11.7,23.2,,-0.7,0.9,0.2,.006,,-1.2,-2.3,-3.5,-0.7
2005-06,20,NOK,NBA,SG,55,989,12.7,.515,.383,.276,2.2,11.3,6.6,10.3,2.0,0.3,11.6,21.9,,0.4,0.8,1.2,.060,,-0.5,-1.6,-2.1,0.0
2006-07,21,DEN,NBA,SG,63,1471,15.6,.585,.593,.196,2.3,8.5,5.5,10.2,1.6,0.4,10.8,22.8,,2.5,1.1,3.7,.120,,3.0,-2.4,0.6,1.0
2007-08,22,DEN,NBA,SG,74,1421,18.1,.603,.579,.264,3.3,8.1,5.8,14.7,2.1,0.6,13.0,25.8,,2.5,1.3,3.7,.126,,3.9,-2.7,1.2,1.2
2008-09,23,DEN,NBA,SG,81,2245,16.8,.576,.477,.286,2.3,12.8,7.7,17.3,1.8,0.5,12.3,24.2,,3.6,2.2,5.8,.124,,3.0,-1.3,1.7,2.1
2009-10,24,DEN,NBA,SG,75,2082,15.0,.515,.452,.195,1.6,11.3,6.5,15.0,2.4,0.7,11.0,26.9,,0.6,2.1,2.7,.062,,1.1,-1.4,-0.3,0.9
2010-11,25,DEN,NBA,SF,79,1968,16.4,.550,.406,.282,2.7,15.8,9.4,14.2,2.3,0.6,10.2,22.2,,2.6,2.3,5.0,.121,,1.8,0.1,1.9,1.9
2011-12,26,NYK,NBA,SG,35,967,15.2,.508,.477,.136,3.4,12.9,8.1,15.2,2.9,0.5,9.7,22.0,,1.0,1.5,2.5,.122,,1.8,0.5,2.3,1.0
2012-13,27,NYK,NBA,SG,80,2678,17.6,.522,.349,.249,2.7,16.3,9.3,14.5,2.0,0.8,8.8,26.5,,4.0,2.7,6.7,.120,,1.8,-0.5,1.3,2.2
2013-14,28,NYK,NBA,SF,74,2421,14.0,.527,.503,.145,1.7,13.1,7.2,15.1,1.4,0.7,9.6,21.6,,2.5,1.2,3.7,.073,,1.8,-1.6,0.1,1.3
2014-15,29,TOT,NBA,SG,70,2080,13.6,.538,.564,.095,1.7,10.4,6.0,15.6,2.1,0.8,11.0,19.3,,2.2,1.5,3.7,.085,,1.7,-1.0,0.7,1.4
2014-15,29,NYK,NBA,SG,24,619,11.5,.487,.359,.155,0.7,10.4,5.4,23.3,1.5,0.5,14.4,23.3,,-0.2,0.1,-0.1,-0.008,,-1.2,-3.1,-4.3,-0.4
2014-15,29,CLE,NBA,SG,46,1461,14.5,.565,.667,.065,2.1,10.4,6.3,12.3,2.3,1.0,9.1,17.6,,2.4,1.3,3.8,.124,,3.0,-0.1,2.9,1.8
2015-16,30,CLE,NBA,SG,77,2362,12.4,.542,.600,.084,2.1,8.3,5.2,8.5,1.8,0.7,6.3,18.0,,3.0,2.5,5.5,.111,,1.8,-0.4,1.3,2.0
Career,,,NBA,,839,22543,14.9,.539,.476,.203,2.3,11.6,6.9,13.9,2.0,0.6,10.4,22.9,,24.1,20.2,44.3,.094,,1.7,-1.2,0.5,14.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,DEN,NBA,,372,9187,16.3,.562,.492,.244,2.4,11.7,7.1,14.6,2.1,0.6,11.5,24.4,,11.8,9.0,20.9,.109,,2.4,-1.4,1.0,7.0
4 seasons,,NYK,NBA,,213,6685,15.4,.519,.419,.190,2.2,14.1,8.0,15.6,1.9,0.7,9.7,23.8,,7.1,5.6,12.7,.091,,1.5,-1.0,0.5,4.2
2 seasons,,NOHNOK,NBA,,131,2848,11.5,.490,.378,.235,2.3,8.8,5.5,13.1,1.8,0.4,11.7,22.8,,-0.3,1.7,1.5,.025,,-0.9,-2.0,-3.0,-0.7
2 seasons,,CLE,NBA,,123,3823,13.2,.550,.625,.077,2.1,9.1,5.6,9.9,2.0,0.8,7.3,17.9,,5.4,3.8,9.2,.116,,2.2,-0.3,1.9,3.8
