Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2013-14,23,TOT,NBA,C,8,72,11.9,.586,.450,.250,7.2,5.0,6.1,0.0,3.6,0.0,15.3,17.4,,0.1,0.1,0.1,.089,,-1.2,-2.8,-4.0,0.0
2013-14,23,CHA,NBA,C,1,4,0.0,,,,0.0,0.0,0.0,0.0,13.0,0.0,100.0,11.5,,0.0,0.0,0.0,-0.190,,-13.0,12.9,-0.1,0.0
2013-14,23,MIA,NBA,C,7,68,12.6,.586,.450,.250,7.7,5.3,6.5,0.0,3.1,0.0,11.9,17.7,,0.1,0.1,0.1,.105,,-0.5,-3.7,-4.2,0.0
2014-15,24,TOT,NBA,C,41,712,14.6,.551,.174,.264,9.3,12.7,11.0,8.1,2.0,3.4,11.6,14.2,,1.0,0.5,1.5,.102,,-0.1,0.9,0.7,0.5
2014-15,24,MIA,NBA,C,24,289,9.7,.485,.292,.108,10.2,9.8,10.0,6.5,1.5,1.5,10.5,12.4,,0.2,0.2,0.4,.069,,-1.2,-0.4,-1.6,0.0
2014-15,24,MIN,NBA,C,17,423,18.0,.586,.106,.354,8.7,14.8,11.6,9.2,2.3,4.6,12.1,15.5,,0.8,0.3,1.1,.125,,0.6,1.7,2.3,0.5
Career,,,NBA,,49,784,14.4,.555,.202,.263,9.1,12.0,10.5,7.4,2.1,3.1,12.0,14.5,,1.1,0.6,1.7,.101,,-0.2,0.5,0.3,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,MIA,NBA,,31,357,10.3,.510,.329,.141,9.7,8.9,9.3,5.3,1.8,1.2,10.9,13.4,,0.3,0.3,0.6,.076,,-1.1,-1.0,-2.1,0.0
1 season,,MIN,NBA,,17,423,18.0,.586,.106,.354,8.7,14.8,11.6,9.2,2.3,4.6,12.1,15.5,,0.8,0.3,1.1,.125,,0.6,1.7,2.3,0.5
1 season,,CHA,NBA,,1,4,0.0,,,,0.0,0.0,0.0,0.0,13.0,0.0,100.0,11.5,,0.0,0.0,0.0,-0.190,,-13.0,12.9,-0.1,0.0
