Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2008-09,20,MIN,NBA,C,81,2048,18.3,.538,.028,.488,15.1,27.3,21.0,6.8,0.9,1.9,12.4,21.0,,3.4,1.9,5.3,.124,,-0.7,-0.4,-1.1,0.5
2009-10,21,MIN,NBA,PF,60,1714,20.7,.549,.164,.427,14.5,28.6,21.5,12.9,1.3,1.0,13.2,22.4,,3.4,1.5,4.9,.138,,1.8,0.1,1.9,1.7
2010-11 ★,22,MIN,NBA,PF,73,2611,24.3,.593,.206,.486,13.7,34.2,23.6,11.8,0.9,0.8,11.1,22.9,,8.9,2.5,11.4,.210,,3.9,-0.2,3.7,3.8
2011-12 ★,23,MIN,NBA,PF,55,2145,25.4,.568,.266,.434,11.6,26.4,19.0,10.0,1.1,0.9,9.2,28.8,,7.6,2.3,10.0,.223,,5.1,-0.6,4.5,3.5
2012-13,24,MIN,NBA,PF,18,618,17.9,.458,.309,.477,11.5,35.9,23.3,11.8,1.1,1.1,9.8,28.9,,0.1,0.9,1.1,.084,,-0.8,-0.3,-1.1,0.1
2013-14 ★,25,MIN,NBA,PF,77,2797,26.9,.591,.355,.445,8.5,29.5,18.7,21.4,1.0,1.0,10.3,28.8,,10.6,3.7,14.3,.245,,7.2,1.2,8.4,7.3
2014-15,26,CLE,NBA,PF,75,2532,18.8,.562,.412,.337,6.5,26.3,16.6,10.7,1.0,1.2,10.0,21.7,,5.8,2.9,8.7,.165,,2.0,-0.1,1.9,2.5
2015-16,27,CLE,NBA,PF,77,2424,19.0,.553,.449,.321,7.0,28.4,17.8,12.2,1.2,1.4,11.3,23.4,,4.7,3.8,8.5,.169,,1.7,0.9,2.5,2.8
Career,,,NBA,,516,16889,22.0,.564,.290,.422,10.7,29.1,19.8,12.6,1.1,1.2,10.8,24.5,,44.5,19.7,64.2,.182,,3.1,0.1,3.2,22.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,MIN,NBA,,364,11933,23.2,.566,.236,.457,12.3,29.8,20.9,13.0,1.0,1.1,10.9,25.3,,34.1,12.9,47.0,.189,,3.6,0.0,3.6,16.9
2 seasons,,CLE,NBA,,152,4956,18.9,.557,.431,.329,6.8,27.3,17.2,11.4,1.1,1.3,10.7,22.5,,10.4,6.8,17.2,.167,,1.8,0.4,2.2,5.2
