Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2004-05,19,UTA,NBA,PF,67,873,9.5,.419,.021,.352,10.1,18.1,14.0,8.5,1.6,1.7,13.6,20.2,,-1.0,0.7,-0.3,-0.019,,-4.3,-0.7,-5.0,-0.7
2005-06,20,UTA,NBA,PF,62,619,10.3,.406,.025,.320,10.9,20.0,15.4,8.6,2.0,2.2,11.8,19.7,,-0.6,0.8,0.2,.019,,-4.7,-0.1,-4.8,-0.4
2006-07,21,TOR,NBA,PF,60,670,13.5,.516,.000,.427,13.5,19.3,16.4,4.2,1.1,2.4,12.7,17.4,,0.7,0.8,1.5,.107,,-2.6,-0.1,-2.7,-0.1
2007-08,22,TOR,NBA,PF,70,925,15.7,.512,.006,.372,11.4,21.8,16.6,4.9,1.4,2.5,10.8,22.1,,0.6,1.3,1.8,.096,,-2.8,-0.3,-3.2,-0.3
2008-09,23,TOR,NBA,SF,29,265,16.3,.513,.000,.533,10.7,20.2,15.5,6.0,1.6,1.8,6.7,20.7,,0.4,0.3,0.7,.125,,-2.0,-1.1,-3.1,-0.1
2009-10,24,TOT,NBA,PF,69,1221,15.1,.495,.002,.466,11.0,25.1,17.8,4.5,1.5,2.9,11.8,21.0,,0.3,1.6,1.9,.074,,-4.1,-0.5,-4.5,-0.8
2009-10,24,DAL,NBA,PF,25,315,14.8,.487,.000,.383,14.0,20.5,17.3,3.6,1.2,2.6,8.8,21.5,,0.2,0.4,0.6,.097,,-3.3,-1.2,-4.5,-0.2
2009-10,24,NJN,NBA,PF,44,906,15.1,.498,.003,.498,10.0,26.7,18.0,4.8,1.7,3.0,12.9,20.8,,0.1,1.1,1.3,.066,,-4.4,-0.2,-4.6,-0.6
2010-11,25,NJN,NBA,PF,74,2061,17.8,.555,.002,.328,12.5,32.2,22.1,7.0,0.9,3.0,13.4,17.3,,2.7,2.7,5.4,.125,,-1.5,1.5,0.0,1.0
2011-12,26,NJN,NBA,PF,62,2162,17.9,.539,.000,.414,12.2,24.8,18.3,7.4,1.2,2.6,13.0,19.3,,3.6,1.7,5.3,.118,,-0.6,0.4,-0.2,1.0
