Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2012-13,24,DET,NBA,SF,82,2293,10.0,.517,.312,.193,5.4,11.3,8.3,5.3,1.3,1.3,12.3,15.8,,1.1,1.2,2.3,.048,,-1.2,-0.7,-1.9,0.1
2013-14,25,DET,NBA,SF,82,2337,11.8,.574,.409,.306,5.2,9.2,7.1,4.7,1.3,1.3,10.4,14.0,,3.6,0.7,4.4,.090,,0.7,-0.8,-0.1,1.1
2014-15,26,TOT,NBA,SF,80,1743,8.5,.512,.540,.117,2.0,10.2,6.0,7.3,1.4,1.0,10.5,13.2,,0.9,1.2,2.0,.056,,-1.3,-0.3,-1.6,0.2
2014-15,26,DET,NBA,SF,54,1287,9.4,.526,.534,.103,1.9,10.2,5.9,7.9,1.3,0.9,10.3,14.0,,0.8,0.8,1.6,.061,,-0.8,-0.4,-1.2,0.3
2014-15,26,OKC,NBA,SF,26,456,5.8,.461,.563,.167,2.4,10.4,6.5,5.4,1.5,1.2,11.2,11.0,,0.0,0.4,0.4,.041,,-2.6,-0.1,-2.6,-0.1
2015-16,27,OKC,NBA,SF,68,977,6.6,.481,.439,.199,5.9,9.6,7.9,3.2,1.5,0.7,11.7,11.9,,0.3,0.8,1.1,.054,,-1.7,-0.8,-2.5,-0.1
Career,,,NBA,,312,7350,9.8,.530,.410,.211,4.6,10.2,7.3,5.3,1.4,1.1,11.2,14.1,,5.9,3.9,9.8,.064,,-0.7,-0.6,-1.3,1.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,DET,NBA,,218,5917,10.6,.541,.397,.216,4.5,10.2,7.3,5.6,1.3,1.2,11.1,14.7,,5.6,2.7,8.3,.067,,-0.4,-0.7,-1.0,1.4
2 seasons,,OKC,NBA,,94,1433,6.4,.475,.476,.189,4.8,9.9,7.4,3.9,1.5,0.9,11.6,11.6,,0.3,1.2,1.5,.050,,-2.0,-0.5,-2.5,-0.2
