Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2010-11,20,IND,NBA,SG,12,115,5.5,.410,.128,.359,1.0,16.3,8.7,28.3,1.8,0.0,26.2,23.5,,-0.4,0.1,-0.2,-0.093,,-7.4,-0.7,-8.1,-0.2
2011-12,21,IND,NBA,SG,42,442,7.0,.400,.240,.136,3.1,10.4,6.7,16.5,2.5,0.9,21.4,17.3,,-0.8,0.5,-0.3,-0.031,,-4.4,0.2,-4.2,-0.3
2012-13,22,IND,NBA,SG,78,2278,11.8,.530,.314,.192,2.3,12.3,7.4,16.2,1.9,0.5,14.4,15.2,,1.8,3.6,5.5,.115,,-0.6,1.6,0.9,1.7
2013-14,23,IND,NBA,SG,78,2752,14.7,.564,.280,.226,4.1,18.1,11.4,22.1,1.0,0.2,18.0,19.4,,2.6,4.8,7.4,.130,,0.7,1.7,2.3,3.0
2014-15,24,CHO,NBA,SG,61,1573,8.8,.419,.191,.200,2.7,17.1,9.7,25.4,1.2,0.4,17.6,21.1,,-2.7,1.8,-0.9,-0.026,,-4.0,0.5,-3.5,-0.6
2015-16,25,TOT,NBA,SF,69,1372,13.5,.548,.165,.234,3.2,15.1,9.1,16.2,1.6,0.6,15.2,20.2,,0.9,1.3,2.2,.076,,-1.1,-0.3,-1.4,0.2
2015-16,25,LAC,NBA,SF,43,680,9.8,.569,.283,.181,3.1,14.0,8.7,13.1,1.8,0.3,21.1,15.1,,0.1,0.8,0.9,.066,,-2.4,0.7,-1.6,0.1
2015-16,25,MEM,NBA,SF,26,692,17.1,.537,.101,.263,3.3,16.2,9.5,19.2,1.4,0.8,11.8,25.3,,0.8,0.5,1.2,.086,,0.1,-1.3,-1.2,0.1
Career,,,NBA,,340,8532,12.1,.514,.245,.212,3.1,15.5,9.4,20.0,1.5,0.4,17.0,18.7,,1.5,12.2,13.7,.077,,-1.2,1.0,-0.2,3.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,IND,NBA,,210,5587,12.7,.536,.286,.210,3.2,15.1,9.4,19.4,1.5,0.4,17.2,17.6,,3.3,9.1,12.4,.106,,-0.4,1.5,1.0,4.3
1 season,,CHO,NBA,,61,1573,8.8,.419,.191,.200,2.7,17.1,9.7,25.4,1.2,0.4,17.6,21.1,,-2.7,1.8,-0.9,-0.026,,-4.0,0.5,-3.5,-0.6
1 season,,LAC,NBA,,43,680,9.8,.569,.283,.181,3.1,14.0,8.7,13.1,1.8,0.3,21.1,15.1,,0.1,0.8,0.9,.066,,-2.4,0.7,-1.6,0.1
1 season,,MEM,NBA,,26,692,17.1,.537,.101,.263,3.3,16.2,9.5,19.2,1.4,0.8,11.8,25.3,,0.8,0.5,1.2,.086,,0.1,-1.3,-1.2,0.1
