Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,25,TOT,NBA,PG,25,131,13.2,.494,.302,.245,6.4,9.9,8.2,15.7,3.2,1.8,19.3,25.0,,-0.1,0.2,0.1,.029,,-2.4,-0.2,-2.6,0.0
2009-10,25,BOS,NBA,PG,16,70,8.7,.533,.278,.333,5.4,8.5,7.0,17.1,2.2,2.3,30.4,19.9,,-0.1,0.1,0.0,.003,,-4.7,0.7,-4.1,0.0
2009-10,25,MEM,NBA,PG,9,61,18.3,.473,.314,.200,7.6,11.5,9.6,14.1,4.2,1.2,11.6,30.9,,0.0,0.1,0.1,.060,,0.4,-1.2,-0.9,0.0
2010-11,26,WAS,NBA,PG,11,73,6.0,.349,.625,.167,1.5,6.5,3.9,34.1,2.8,1.0,21.4,19.8,,-0.2,0.0,-0.1,-0.082,,-4.2,-3.4,-7.6,-0.1
2011-12,27,TOT,NBA,PG,16,334,13.9,.483,.395,.253,2.3,13.8,7.8,20.6,2.2,0.7,15.1,28.6,,-0.1,0.2,0.1,.012,,-0.4,-2.2,-2.7,-0.1
2011-12,27,CLE,NBA,PG,13,314,14.7,.492,.404,.252,2.4,14.7,8.3,21.4,2.3,0.7,15.2,28.3,,0.0,0.2,0.2,.026,,0.2,-1.8,-1.6,0.0
2011-12,27,MEM,NBA,PG,3,20,0.4,.365,.273,.273,0.0,0.0,0.0,8.2,0.0,0.0,14.0,32.4,,-0.1,0.0,-0.1,-0.207,,-10.2,-9.0,-19.1,-0.1
2014-15,30,LAC,NBA,SG,5,56,16.0,.571,.429,.286,2.1,13.8,8.0,12.6,5.4,1.5,16.0,15.1,,0.1,0.1,0.2,.141,,0.0,3.3,3.3,0.1
Career,,,NBA,,57,594,13.0,.478,.399,.245,3.1,12.0,7.5,20.4,2.8,1.0,16.7,25.4,,-0.3,0.5,0.2,.016,,-1.3,-1.4,-2.7,-0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,BOS,NBA,,16,70,8.7,.533,.278,.333,5.4,8.5,7.0,17.1,2.2,2.3,30.4,19.9,,-0.1,0.1,0.0,.003,,-4.7,0.7,-4.1,0.0
1 season,,CLE,NBA,,13,314,14.7,.492,.404,.252,2.4,14.7,8.3,21.4,2.3,0.7,15.2,28.3,,0.0,0.2,0.2,.026,,0.2,-1.8,-1.6,0.0
2 seasons,,MEM,NBA,,12,81,13.9,.446,.304,.217,5.8,8.7,7.2,12.7,3.2,0.9,12.2,31.3,,-0.1,0.1,0.0,-0.006,,-2.2,-3.1,-5.4,-0.1
1 season,,WAS,NBA,,11,73,6.0,.349,.625,.167,1.5,6.5,3.9,34.1,2.8,1.0,21.4,19.8,,-0.2,0.0,-0.1,-0.082,,-4.2,-3.4,-7.6,-0.1
1 season,,LAC,NBA,,5,56,16.0,.571,.429,.286,2.1,13.8,8.0,12.6,5.4,1.5,16.0,15.1,,0.1,0.1,0.2,.141,,0.0,3.3,3.3,0.1
