Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2005-06,19,PHI,NBA,PG,30,145,9.0,.485,.173,.250,2.4,12.9,7.7,11.6,1.8,0.0,18.4,22.2,,-0.2,0.1,-0.1,-0.036,,-5.3,-2.8,-8.1,-0.2
2006-07,20,PHI,NBA,PG,61,688,14.6,.521,.175,.436,3.0,9.2,6.1,26.5,1.7,0.1,15.5,20.0,,0.6,0.5,1.1,.078,,-0.6,-2.2,-2.8,-0.1
2007-08,21,PHI,NBA,PG,80,1862,16.7,.523,.203,.386,2.6,8.1,5.3,22.6,2.3,0.6,12.4,24.3,,2.5,1.8,4.4,.112,,1.0,-1.2,-0.2,0.8
2008-09,22,PHI,NBA,SG,81,1919,16.3,.513,.261,.456,2.2,8.1,5.2,21.6,2.4,0.6,13.0,27.7,,1.6,1.7,3.4,.085,,0.7,-1.6,-0.9,0.5
2009-10,23,PHI,NBA,PG,64,1912,18.2,.576,.304,.344,1.5,10.1,5.8,22.9,2.2,0.6,12.0,21.1,,4.1,1.1,5.2,.130,,2.7,-1.6,1.1,1.5
2010-11,24,PHI,NBA,SG,75,1747,18.9,.540,.318,.448,2.1,7.7,4.9,24.1,1.4,0.7,9.7,27.8,,3.5,1.6,5.1,.141,,2.9,-2.5,0.4,1.0
2011-12,25,PHI,NBA,PG,64,1682,20.2,.525,.293,.373,2.0,8.3,5.1,22.4,1.7,0.8,7.2,27.4,,3.9,2.2,6.1,.174,,3.4,-1.5,1.9,1.7
2012-13,26,ATL,NBA,SG,39,1119,15.9,.555,.442,.273,0.8,7.3,4.1,20.4,2.0,0.7,13.0,23.6,,1.4,1.0,2.4,.103,,1.2,-1.7,-0.5,0.4
2013-14,27,ATL,NBA,PG,60,1445,14.2,.547,.469,.363,0.8,9.1,5.0,22.9,1.6,0.2,13.9,20.9,,1.6,1.0,2.6,.087,,0.3,-2.1,-1.8,0.1
2014-15,28,TOR,NBA,SG,80,2016,19.9,.564,.482,.426,1.4,7.3,4.3,13.6,2.3,0.4,8.4,27.0,,5.4,1.1,6.6,.157,,4.0,-3.1,0.9,1.5
2015-16,29,LAL,NBA,SG,67,1907,17.7,.584,.462,.612,1.7,8.1,4.8,15.1,1.6,0.8,10.8,22.8,,4.5,0.3,4.7,.119,,3.0,-2.7,0.3,1.1
Career,,,NBA,,701,16442,17.5,.545,.345,.417,1.8,8.3,5.0,20.6,1.9,0.6,11.1,24.6,,29.1,12.4,41.5,.121,,2.0,-2.0,0.0,8.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,PHI,NBA,,455,9955,17.6,.532,.269,.404,2.1,8.6,5.4,22.8,2.0,0.6,11.2,25.1,,16.2,9.0,25.2,.121,,1.8,-1.7,0.1,5.2
2 seasons,,ATL,NBA,,99,2564,14.9,.551,.456,.321,0.8,8.3,4.6,21.8,1.8,0.4,13.5,22.1,,3.0,2.0,5.0,.094,,0.7,-2.0,-1.2,0.5
1 season,,TOR,NBA,,80,2016,19.9,.564,.482,.426,1.4,7.3,4.3,13.6,2.3,0.4,8.4,27.0,,5.4,1.1,6.6,.157,,4.0,-3.1,0.9,1.5
1 season,,LAL,NBA,,67,1907,17.7,.584,.462,.612,1.7,8.1,4.8,15.1,1.6,0.8,10.8,22.8,,4.5,0.3,4.7,.119,,3.0,-2.7,0.3,1.1
