Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2008-09,22,MIL,NBA,PF,82,2114,12.3,.516,.008,.391,10.1,17.4,13.6,6.3,2.1,1.8,14.8,14.3,,1.2,2.8,4.0,.092,,-1.9,2.2,0.2,1.2
2009-10,23,MIL,NBA,PF,73,1866,11.8,.530,.046,.360,9.9,14.6,12.2,6.5,1.7,1.6,14.1,12.1,,1.8,3.0,4.7,.122,,-1.6,2.9,1.4,1.6
2010-11,24,MIL,NBA,PF,79,2093,11.5,.518,.016,.439,9.2,14.3,11.7,5.3,1.8,1.1,13.1,13.1,,1.5,3.3,4.8,.109,,-2.3,2.2,0.0,1.0
2011-12,25,MIL,NBA,PF,43,1009,13.9,.544,.015,.395,8.2,16.9,12.4,4.4,2.0,1.6,11.3,15.1,,1.2,1.1,2.4,.112,,-1.4,0.6,-0.8,0.3
2012-13,26,MIL,NBA,SF,58,1326,9.1,.447,.098,.334,7.0,14.0,10.4,6.1,1.6,0.8,13.9,16.5,,-0.8,1.2,0.5,.017,,-4.0,0.0,-4.1,-0.7
2013-14,27,TOT,NBA,PF-SF,64,1003,8.3,.503,.088,.347,6.0,10.1,8.0,5.1,1.5,1.1,15.2,11.2,,0.2,0.8,1.0,.049,,-3.0,0.6,-2.4,-0.1
2013-14,27,SAC,NBA,SF,9,196,11.7,.530,.094,.406,5.1,10.5,7.8,11.1,2.3,2.1,9.6,9.4,,0.3,0.2,0.4,.106,,-0.9,2.1,1.1,0.2
2013-14,27,MIN,NBA,PF,55,807,7.5,.498,.087,.335,6.2,10.0,8.0,3.6,1.3,0.8,16.3,11.6,,0.0,0.6,0.6,.035,,-3.6,0.3,-3.3,-0.3
2014-15,28,PHI,NBA,PF,67,1916,10.6,.466,.318,.256,4.4,14.6,9.3,9.8,2.1,0.9,12.3,18.3,,-0.9,2.0,1.1,.027,,-3.2,0.1,-3.2,-0.6
2015-16,29,LAC,NBA,PF,75,1274,7.3,.498,.193,.275,5.2,9.4,7.3,3.3,1.7,1.2,12.8,9.4,,0.2,1.3,1.6,.059,,-3.0,1.5,-1.6,0.1
Career,,,NBA,,541,12601,10.8,.499,.111,.347,7.8,14.3,10.9,6.1,1.9,1.3,13.4,14.0,,4.5,15.5,20.0,.076,,-2.5,1.4,-1.1,2.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,MIL,NBA,,335,8408,11.7,.510,.036,.385,9.1,15.4,12.2,5.8,1.9,1.4,13.6,14.0,,5.0,11.4,16.4,.094,,-2.2,1.8,-0.4,3.4
1 season,,LAC,NBA,,75,1274,7.3,.498,.193,.275,5.2,9.4,7.3,3.3,1.7,1.2,12.8,9.4,,0.2,1.3,1.6,.059,,-3.0,1.5,-1.6,0.1
1 season,,PHI,NBA,,67,1916,10.6,.466,.318,.256,4.4,14.6,9.3,9.8,2.1,0.9,12.3,18.3,,-0.9,2.0,1.1,.027,,-3.2,0.1,-3.2,-0.6
1 season,,MIN,NBA,,55,807,7.5,.498,.087,.335,6.2,10.0,8.0,3.6,1.3,0.8,16.3,11.6,,0.0,0.6,0.6,.035,,-3.6,0.3,-3.3,-0.3
1 season,,SAC,NBA,,9,196,11.7,.530,.094,.406,5.1,10.5,7.8,11.1,2.3,2.1,9.6,9.4,,0.3,0.2,0.4,.106,,-0.9,2.1,1.1,0.2
