Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2010-11,21,POR,NBA,SF,24,137,1.0,.305,.291,.164,5.1,22.4,13.4,6.9,0.8,1.2,11.9,22.8,,-0.6,0.1,-0.4,-0.143,,-9.6,-2.5,-12.0,-0.3
2011-12,22,POR,NBA,SF,40,537,11.3,.556,.578,.116,3.4,17.5,10.3,4.8,1.0,0.6,12.9,17.8,,0.4,0.3,0.7,.064,,-0.9,-2.5,-3.4,-0.2
2012-13,23,POR,NBA,PF,62,730,9.4,.509,.761,.056,2.4,19.7,10.9,6.2,1.0,0.5,8.4,16.4,,0.3,0.4,0.7,.047,,-1.2,-2.3,-3.6,-0.3
2013-14,24,NOP,NBA,PF,27,473,12.1,.525,.617,.117,4.4,17.5,10.8,9.4,0.8,1.9,8.5,17.0,,0.5,0.2,0.7,.074,,0.5,-1.9,-1.4,0.1
2014-15,25,NOP,NBA,SF,63,830,11.1,.639,.599,.099,1.6,13.5,7.6,4.3,1.1,1.0,11.5,12.4,,1.1,0.5,1.6,.092,,0.0,-1.4,-1.4,0.1
2015-16,26,NOP,NBA,SF,47,845,11.6,.526,.377,.173,3.2,16.7,9.7,9.6,0.6,0.7,6.9,17.5,,0.8,0.3,1.1,.064,,-0.9,-2.0,-2.9,-0.2
Career,,,NBA,,263,3552,10.6,.535,.559,.118,2.9,17.0,9.8,6.8,0.9,0.9,9.5,16.3,,2.6,1.9,4.5,.060,,-0.9,-2.0,-2.9,-0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,NOP,NBA,,137,2148,11.5,.559,.502,.137,2.8,15.6,9.1,7.5,0.8,1.1,8.7,15.4,,2.5,1.0,3.4,.077,,-0.2,-1.8,-2.0,0.0
3 seasons,,POR,NBA,,126,1404,9.3,.502,.636,.091,3.0,19.1,10.9,5.7,1.0,0.6,10.6,17.6,,0.1,0.9,1.0,.035,,-1.9,-2.4,-4.3,-0.8
