Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2004-05,23,CLE,NBA,SF,10,43,16.3,.489,.222,.222,5.4,11.2,8.2,13.4,0.0,0.0,6.3,33.3,,0.1,0.0,0.1,.085,,0.0,-6.7,-6.7,-0.1
2005-06,24,CLE,NBA,SF,36,315,7.9,.482,.424,.388,6.0,9.1,7.5,12.4,1.9,0.5,23.8,19.2,,-0.3,0.3,0.0,-0.003,,-3.3,-0.9,-4.2,-0.2
2006-07,25,TOT,NBA,SF,13,138,10.3,.511,.395,.209,1.7,6.9,4.3,14.9,1.9,0.6,13.0,18.1,,0.0,0.1,0.1,.043,,-1.4,-1.7,-3.1,0.0
2006-07,25,LAC,NBA,SF,3,16,-6.0,.188,.500,.000,0.0,7.4,3.7,37.5,0.0,0.0,11.1,26.0,,-0.1,0.0,-0.1,-0.273,,-9.2,-6.8,-16.1,-0.1
2006-07,25,TOR,NBA,SF,10,122,12.5,.578,.371,.257,1.9,6.8,4.3,11.9,2.1,0.6,13.3,17.1,,0.1,0.1,0.2,.084,,-0.4,-1.0,-1.4,0.0
2007-08,26,MIA,NBA,SF,14,228,9.1,.438,.375,.288,3.6,13.9,8.7,12.6,1.9,0.0,9.1,20.6,,-0.2,0.2,0.0,-0.004,,-3.1,-1.9,-5.0,-0.2
Career,,,NBA,,73,724,9.3,.473,.379,.302,4.4,10.3,7.3,13.0,1.8,0.3,15.5,20.3,,-0.4,0.6,0.2,.010,,-2.7,-1.7,-4.4,-0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,CLE,NBA,,46,358,8.9,.484,.375,.348,5.9,9.4,7.6,12.5,1.6,0.4,20.4,20.9,,-0.2,0.3,0.1,.007,,-2.9,-1.5,-4.5,-0.2
1 season,,MIA,NBA,,14,228,9.1,.438,.375,.288,3.6,13.9,8.7,12.6,1.9,0.0,9.1,20.6,,-0.2,0.2,0.0,-0.004,,-3.1,-1.9,-5.0,-0.2
1 season,,TOR,NBA,,10,122,12.5,.578,.371,.257,1.9,6.8,4.3,11.9,2.1,0.6,13.3,17.1,,0.1,0.1,0.2,.084,,-0.4,-1.0,-1.4,0.0
1 season,,LAC,NBA,,3,16,-6.0,.188,.500,.000,0.0,7.4,3.7,37.5,0.0,0.0,11.1,26.0,,-0.1,0.0,-0.1,-0.273,,-9.2,-6.8,-16.1,-0.1
