Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2003-04,22,SEA,NBA,PG,69,1114,13.1,.496,.229,.226,3.7,7.7,5.7,23.9,2.5,0.5,17.2,19.3,,0.9,0.2,1.2,.051,,-0.5,-1.8,-2.3,-0.1
2004-05,23,SEA,NBA,PG,82,2571,14.6,.504,.241,.244,2.6,7.1,4.9,30.6,2.0,0.7,15.4,17.4,,4.3,1.0,5.4,.100,,1.4,-1.0,0.4,1.5
2005-06,24,SEA,NBA,PG,79,2625,16.0,.506,.186,.284,2.1,8.8,5.4,32.3,2.5,0.6,15.3,18.1,,4.4,0.0,4.4,.081,,1.4,-1.9,-0.5,1.0
2006-07,25,SEA,NBA,PG,71,2091,13.7,.509,.200,.229,1.6,7.9,4.7,28.2,2.1,0.7,16.9,20.0,,1.4,0.8,2.3,.052,,-0.2,-1.6,-1.8,0.1
2007-08,26,SEA,NBA,PG,61,1223,11.3,.482,.193,.247,1.2,7.2,4.2,29.5,1.5,0.8,16.4,17.3,,0.3,0.6,0.9,.035,,-2.0,-2.0,-4.0,-0.6
2008-09,27,MIL,NBA,PG,72,2033,12.9,.500,.253,.246,1.8,11.3,6.3,28.2,2.3,0.7,15.7,18.0,,1.2,2.2,3.4,.081,,-0.5,0.2,-0.3,0.9
2009-10,28,MIL,NBA,PG,82,1759,17.7,.570,.264,.204,1.5,8.1,4.6,31.9,1.6,0.3,12.4,22.0,,4.0,2.2,6.2,.168,,2.4,-1.5,0.9,1.3
2010-11,29,MIN,NBA,PG,71,2159,15.0,.567,.270,.201,1.9,8.6,5.1,28.1,2.1,0.4,17.6,17.8,,3.2,0.8,4.0,.089,,1.2,-1.5,-0.3,0.9
2011-12,30,MIN,NBA,SG,53,1750,13.6,.530,.276,.216,1.2,7.8,4.5,24.0,1.6,0.7,13.7,17.8,,2.4,0.9,3.3,.090,,0.9,-0.6,0.3,1.0
2012-13,31,MIN,NBA,SG,82,2474,13.0,.532,.261,.202,1.8,7.9,4.8,21.0,1.7,0.5,12.8,18.3,,2.6,1.8,4.3,.084,,0.3,-0.7,-0.4,1.0
2013-14,32,TOT,NBA,PG,61,1141,9.0,.452,.330,.080,2.2,7.6,4.8,24.3,1.5,0.6,16.3,16.1,,-0.3,0.4,0.1,.005,,-2.7,-2.4,-5.1,-0.9
2013-14,32,MIL,NBA,PG,36,763,9.1,.453,.311,.087,2.2,7.3,4.7,25.3,1.6,0.2,16.8,16.2,,-0.2,0.0,-0.1,-0.008,,-2.5,-3.2,-5.7,-0.7
2013-14,32,CHA,NBA,PG,25,378,8.6,.450,.370,.065,2.4,8.1,5.2,22.4,1.2,1.3,15.3,16.0,,-0.2,0.4,0.2,.030,,-3.0,-0.8,-3.8,-0.2
2014-15,33,ORL,NBA,PG,47,683,10.0,.507,.358,.119,1.3,10.1,5.6,21.0,1.5,0.5,17.0,14.8,,0.3,0.3,0.6,.042,,-2.3,-1.7,-4.0,-0.3
Career,,,NBA,,830,21623,13.9,.519,.246,.220,1.9,8.3,5.0,27.5,2.0,0.6,15.3,18.3,,24.6,11.4,36.0,.080,,0.3,-1.3,-0.9,5.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,SEA,NBA,,362,9624,14.2,.502,.209,.249,2.2,7.8,5.0,29.6,2.1,0.7,16.1,18.4,,11.4,2.7,14.1,.070,,0.4,-1.6,-1.2,1.9
3 seasons,,MIN,NBA,,206,6383,13.9,.543,.268,.206,1.7,8.1,4.8,24.2,1.8,0.5,14.7,18.0,,8.2,3.5,11.6,.087,,0.8,-0.9,-0.2,3.0
3 seasons,,MIL,NBA,,190,4555,14.1,.525,.266,.204,1.8,9.4,5.4,29.1,1.9,0.4,14.4,19.2,,5.0,4.5,9.5,.100,,0.3,-1.0,-0.7,1.4
1 season,,ORL,NBA,,47,683,10.0,.507,.358,.119,1.3,10.1,5.6,21.0,1.5,0.5,17.0,14.8,,0.3,0.3,0.6,.042,,-2.3,-1.7,-4.0,-0.3
1 season,,CHA,NBA,,25,378,8.6,.450,.370,.065,2.4,8.1,5.2,22.4,1.2,1.3,15.3,16.0,,-0.2,0.4,0.2,.030,,-3.0,-0.8,-3.8,-0.2
