Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2004-05,19,CHI,NBA,SF,61,1663,14.2,.496,.181,.251,6.2,15.4,10.8,14.8,1.5,1.2,14.1,22.4,,0.1,2.9,3.0,.086,,-1.2,1.8,0.6,1.1
2005-06,20,CHI,NBA,SF,78,2604,15.8,.517,.082,.289,5.6,17.1,11.4,9.7,1.4,1.5,8.9,20.4,,2.7,3.8,6.5,.120,,-0.8,1.7,0.9,1.9
2006-07,21,CHI,NBA,SF,82,3071,18.7,.560,.006,.295,5.5,15.9,10.8,11.8,1.6,1.2,10.0,22.2,,5.7,5.6,11.3,.176,,0.8,1.9,2.7,3.6
2007-08,22,CHI,NBA,SF,63,2128,17.0,.528,.025,.296,7.0,14.2,10.4,13.2,1.4,1.1,10.6,23.6,,2.4,1.9,4.4,.098,,0.2,-0.1,0.1,1.1
2008-09,23,CHI,NBA,SF,49,1665,14.7,.511,.034,.323,5.5,14.7,10.1,9.0,1.9,1.1,9.6,20.0,,1.3,1.6,3.0,.085,,-1.1,0.3,-0.8,0.5
2009-10,24,CHI,NBA,SF,70,2651,16.1,.531,.082,.325,5.6,15.8,10.7,9.1,1.3,1.8,10.4,21.9,,2.5,3.4,5.9,.106,,-0.6,0.7,0.2,1.4
2010-11,25,CHI,NBA,SF,82,3208,15.5,.549,.288,.291,4.4,12.8,8.7,11.9,1.3,1.1,10.7,20.9,,4.7,5.2,9.9,.149,,1.2,1.0,2.2,3.4
2011-12 ★,26,CHI,NBA,SF,54,2129,14.1,.500,.285,.219,4.1,14.0,9.2,11.7,1.4,1.2,10.4,19.8,,2.3,3.6,5.8,.132,,0.5,1.6,2.1,2.2
2012-13 ★,27,CHI,NBA,SF,75,2903,15.1,.508,.213,.258,6.3,12.6,9.4,13.2,1.5,0.8,10.6,21.5,,3.0,3.3,6.3,.105,,0.6,0.4,1.1,2.2
2013-14,28,TOT,NBA,SF,63,2213,15.2,.517,.220,.312,5.0,13.4,9.2,14.6,1.5,0.3,10.4,22.3,,2.2,2.3,4.5,.098,,0.4,-0.2,0.2,1.2
2013-14,28,CHI,NBA,SF,23,860,17.0,.536,.175,.350,5.4,15.4,10.5,18.7,1.5,0.4,12.6,25.1,,1.0,1.4,2.4,.132,,0.7,0.7,1.4,0.7
2013-14,28,CLE,NBA,SF,40,1353,14.0,.503,.251,.285,4.8,12.2,8.4,12.0,1.4,0.3,8.8,20.6,,1.3,0.9,2.2,.077,,0.1,-0.8,-0.6,0.5
2014-15,29,MIA,NBA,SF,72,2421,15.5,.561,.280,.319,5.2,13.3,9.3,9.9,1.4,0.8,10.7,19.5,,3.7,1.6,5.4,.106,,1.1,-0.6,0.5,1.5
2015-16,30,MIA,NBA,PF,74,2394,15.0,.549,.344,.258,5.3,15.4,10.5,9.0,1.6,0.9,8.9,17.4,,3.5,2.8,6.4,.128,,1.3,0.6,1.9,2.3
Career,,,NBA,,823,29050,15.7,.529,.165,.287,5.5,14.5,10.0,11.4,1.5,1.1,10.4,21.0,,34.2,38.1,72.3,.119,,0.3,0.8,1.1,22.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 seasons,,CHI,NBA,,637,22882,15.9,.526,.135,.287,5.5,14.7,10.1,11.8,1.5,1.2,10.6,21.6,,25.7,32.7,58.4,.123,,0.1,1.0,1.2,18.3
2 seasons,,MIA,NBA,,146,4815,15.2,.555,.311,.289,5.3,14.3,9.9,9.4,1.5,0.9,9.9,18.4,,7.3,4.5,11.7,.117,,1.2,0.0,1.2,3.9
1 season,,CLE,NBA,,40,1353,14.0,.503,.251,.285,4.8,12.2,8.4,12.0,1.4,0.3,8.8,20.6,,1.3,0.9,2.2,.077,,0.1,-0.8,-0.6,0.5
