Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2005-06,23,HOU,NBA,SG,80,2310,11.2,.517,.497,.195,1.7,11.6,6.8,16.2,2.1,0.3,14.8,16.6,,0.5,2.9,3.5,.072,,-0.6,0.8,0.2,1.3
2006-07,24,HOU,NBA,SG,80,2211,13.7,.584,.573,.150,1.6,11.4,6.6,14.8,1.8,0.2,15.5,18.6,,2.2,3.4,5.7,.123,,0.8,0.7,1.5,2.0
2007-08,25,HOU,NBA,SG,73,1379,13.6,.543,.472,.170,1.5,9.4,5.5,16.4,1.7,0.5,12.0,19.3,,1.5,2.0,3.5,.121,,0.1,-0.3,-0.2,0.6
2008-09,26,TOT,NBA,PG-SG,32,498,9.9,.482,.375,.167,1.4,10.7,6.2,18.1,1.8,0.3,13.9,16.8,,0.0,0.6,0.6,.058,,-2.6,-0.5,-3.0,-0.1
2008-09,26,HOU,NBA,PG,22,322,9.8,.491,.376,.158,1.1,8.4,4.9,17.4,1.0,0.2,12.9,17.9,,0.0,0.3,0.4,.058,,-2.4,-1.4,-3.8,-0.1
2008-09,26,MIA,NBA,SG,10,176,10.2,.462,.372,.186,2.0,15.1,8.5,19.5,3.3,0.5,16.2,14.8,,0.0,0.3,0.2,.059,,-2.9,1.1,-1.7,0.0
2009-10,27,IND,NBA,SG,47,813,11.5,.530,.338,.186,0.8,10.0,5.4,14.8,1.1,0.8,13.8,21.2,,-0.1,0.6,0.6,.034,,-2.2,-1.9,-4.1,-0.4
2010-11,28,SAC,NBA,PG,36,586,11.7,.538,.390,.305,3.0,8.8,5.8,17.7,0.9,1.1,14.7,16.1,,0.6,0.2,0.9,.073,,-0.7,-1.7,-2.5,-0.1
Career,,,NBA,,348,7797,12.3,.542,.479,.182,1.6,10.7,6.2,15.9,1.7,0.4,14.3,18.1,,4.9,9.8,14.7,.090,,-0.4,0.0,-0.4,3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,HOU,NBA,,255,6222,12.5,.547,.512,.170,1.6,10.9,6.3,15.8,1.9,0.3,14.3,18.0,,4.3,8.7,13.0,.100,,0.0,0.4,0.4,3.7
1 season,,IND,NBA,,47,813,11.5,.530,.338,.186,0.8,10.0,5.4,14.8,1.1,0.8,13.8,21.2,,-0.1,0.6,0.6,.034,,-2.2,-1.9,-4.1,-0.4
1 season,,SAC,NBA,,36,586,11.7,.538,.390,.305,3.0,8.8,5.8,17.7,0.9,1.1,14.7,16.1,,0.6,0.2,0.9,.073,,-0.7,-1.7,-2.5,-0.1
1 season,,MIA,NBA,,10,176,10.2,.462,.372,.186,2.0,15.1,8.5,19.5,3.3,0.5,16.2,14.8,,0.0,0.3,0.2,.059,,-2.9,1.1,-1.7,0.0
