Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2003-04,22,BOS,NBA,PG,81,1385,11.0,.480,.195,.296,2.5,8.4,5.5,21.3,3.3,0.7,20.0,20.5,,-0.6,1.4,0.7,.026,,-2.8,-0.5,-3.3,-0.5
2004-05,23,BOS,NBA,PG,81,1145,12.3,.520,.206,.570,3.0,9.7,6.4,20.3,2.8,0.9,18.1,17.2,,0.8,1.2,1.9,.081,,-1.3,-0.2,-1.5,0.2
2005-06,24,TOT,NBA,PG,58,1497,13.6,.543,.135,.314,1.9,8.8,5.4,25.3,1.9,0.6,18.3,20.6,,0.9,1.4,2.3,.074,,-0.7,-0.9,-1.6,0.1
2005-06,24,BOS,NBA,PG,18,269,9.4,.531,.238,.375,1.9,6.6,4.3,19.2,1.4,0.0,19.8,19.9,,0.0,0.1,0.2,.033,,-2.7,-3.1,-5.8,-0.3
2005-06,24,MIN,NBA,PG,40,1228,14.5,.545,.113,.302,1.9,9.2,5.7,26.6,2.1,0.7,17.9,20.7,,0.8,1.3,2.1,.083,,-0.3,-0.4,-0.7,0.4
2006-07,25,PHO,NBA,PG,45,503,11.3,.497,.148,.306,2.4,6.2,4.4,17.4,2.3,0.4,15.2,23.5,,-0.1,0.4,0.4,.037,,-2.8,-1.3,-4.1,-0.3
2007-08,26,TOT,NBA,PG,36,569,12.6,.579,.534,.183,0.9,8.3,4.6,17.7,1.3,1.6,15.2,19.7,,0.5,0.3,0.8,.068,,0.1,-2.2,-2.1,0.0
2007-08,26,PHO,NBA,PG,24,310,10.1,.539,.596,.147,1.2,5.7,3.6,11.3,1.3,1.7,12.1,19.1,,0.1,0.2,0.3,.046,,-0.4,-2.2,-2.6,0.0
2007-08,26,MIA,NBA,PG,12,259,15.5,.631,.451,.232,0.5,11.3,5.8,25.5,1.2,1.5,18.9,20.4,,0.4,0.1,0.5,.093,,0.7,-2.2,-1.5,0.0
2008-09,27,TOT,NBA,PG,22,206,7.8,.431,.333,.316,0.6,9.9,5.2,20.6,2.8,0.8,17.7,17.9,,-0.3,0.2,0.0,-0.008,,-4.6,-0.7,-5.4,-0.2
2008-09,27,MIA,NBA,PG,16,166,8.7,.461,.359,.385,0.0,10.9,5.4,19.8,3.2,1.0,19.4,16.0,,-0.1,0.2,0.1,.023,,-4.4,0.1,-4.3,-0.1
2008-09,27,TOR,NBA,PG,6,40,4.0,.362,.278,.167,3.0,5.8,4.4,24.2,1.3,0.0,13.4,25.7,,-0.1,0.0,-0.1,-0.139,,-5.6,-4.1,-9.7,-0.1
2009-10,28,TOR,NBA,PG,22,244,15.3,.635,.329,.397,1.5,9.4,5.6,16.4,2.5,0.6,18.9,19.8,,0.4,0.1,0.5,.095,,1.1,-1.8,-0.7,0.1
2010-11,29,TOR,NBA,PG,3,22,6.8,.543,.000,4.000,0.0,5.5,2.7,17.2,2.3,0.0,26.6,15.3,,0.0,0.0,0.0,.011,,-5.0,-2.8,-7.8,0.0
Career,,,NBA,,348,5571,12.2,.522,.223,.345,2.2,8.6,5.5,21.2,2.5,0.8,18.1,19.9,,1.5,5.1,6.6,.057,,-1.5,-0.9,-2.4,-0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,BOS,NBA,,180,2799,11.4,.500,.203,.401,2.7,8.7,5.8,20.7,2.9,0.7,19.3,19.1,,0.2,2.7,2.9,.049,,-2.2,-0.6,-2.8,-0.6
2 seasons,,PHO,NBA,,69,813,10.9,.511,.308,.249,2.0,6.0,4.1,15.1,1.9,0.9,14.2,21.8,,0.0,0.6,0.7,.040,,-1.9,-1.7,-3.5,-0.3
1 season,,MIN,NBA,,40,1228,14.5,.545,.113,.302,1.9,9.2,5.7,26.6,2.1,0.7,17.9,20.7,,0.8,1.3,2.1,.083,,-0.3,-0.4,-0.7,0.4
3 seasons,,TOR,NBA,,31,306,13.3,.583,.312,.430,1.6,8.7,5.2,17.5,2.4,0.5,18.4,20.2,,0.2,0.1,0.4,.058,,-0.2,-2.2,-2.4,0.0
2 seasons,,MIA,NBA,,28,425,12.8,.574,.421,.281,0.3,11.1,5.6,23.2,2.0,1.3,19.1,18.7,,0.2,0.4,0.6,.066,,-1.3,-1.3,-2.6,-0.1
