Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,22,NOH,NBA,SG,73,1872,17.4,.550,.354,.200,4.4,8.9,6.6,10.3,1.6,0.4,7.3,25.3,,3.1,0.9,4.0,.103,,2.3,-2.7,-0.4,0.8
2010-11,23,TOT,NBA,SG,73,1775,16.5,.525,.297,.228,4.0,13.3,8.6,13.2,1.9,0.4,9.5,24.9,,1.9,1.6,3.5,.095,,1.2,-1.2,0.0,0.9
2010-11,23,NOH,NBA,SG,46,745,14.0,.494,.278,.198,4.1,17.4,10.7,10.3,1.4,0.4,9.2,25.6,,0.0,0.9,0.9,.057,,-1.5,-1.6,-3.1,-0.2
2010-11,23,SAC,NBA,SG,27,1030,18.2,.547,.311,.249,3.9,10.3,7.0,15.3,2.2,0.4,9.6,24.4,,1.9,0.8,2.6,.123,,3.1,-0.9,2.2,1.1
2011-12,24,SAC,NBA,SG,51,1780,17.4,.544,.386,.203,4.9,6.7,5.8,9.4,2.0,0.5,8.8,23.4,,3.7,0.1,3.8,.103,,3.4,-2.5,1.0,1.3
2012-13,25,SAC,NBA,SG,72,1726,16.3,.552,.490,.163,3.2,9.0,6.0,9.0,1.8,0.2,7.6,23.1,,3.1,0.1,3.2,.089,,2.9,-3.6,-0.7,0.6
2013-14,26,TOT,NBA,SG,72,1741,12.0,.511,.495,.175,3.7,9.4,6.6,7.3,1.7,0.5,8.9,19.7,,1.0,1.0,2.0,.055,,0.1,-1.7,-1.6,0.2
2013-14,26,SAC,NBA,SG,46,1121,9.7,.484,.480,.139,3.9,8.7,6.2,6.6,1.4,0.6,8.8,17.1,,0.4,0.5,0.9,.038,,-0.7,-1.4,-2.1,0.0
2013-14,26,BRK,NBA,SG,26,620,16.1,.547,.515,.226,3.5,10.8,7.1,8.6,2.3,0.4,9.0,24.4,,0.6,0.5,1.1,.087,,1.7,-2.3,-0.7,0.2
2014-15,27,TOT,NBA,SG,48,721,15.0,.514,.414,.162,3.4,9.7,6.5,8.2,1.9,0.8,6.8,24.1,,0.6,0.7,1.2,.083,,0.1,-2.4,-2.4,-0.1
2014-15,27,BOS,NBA,SG,39,640,15.8,.531,.407,.167,3.2,9.4,6.2,8.8,1.6,0.8,6.3,23.9,,0.8,0.6,1.4,.104,,0.7,-2.4,-1.7,0.0
2014-15,27,PHO,NBA,SG,9,81,8.3,.379,.475,.125,5.4,12.3,8.8,3.9,3.7,0.0,10.6,25.6,,-0.2,0.1,-0.1,-0.077,,-5.3,-2.4,-7.7,-0.1
2015-16,28,TOT,NBA,SG,61,1109,14.7,.511,.498,.146,3.8,11.3,7.5,12.9,2.1,0.3,8.1,24.4,,1.0,0.7,1.7,.074,,0.7,-2.9,-2.1,0.0
2015-16,28,HOU,NBA,SG,47,885,14.6,.512,.497,.133,3.8,10.5,7.2,12.8,1.9,0.3,8.0,24.3,,0.9,0.4,1.3,.072,,0.8,-3.3,-2.5,-0.1
2015-16,28,WAS,NBA,SG,14,224,15.5,.508,.505,.196,3.4,14.3,8.7,13.4,2.8,0.4,8.6,24.8,,0.1,0.3,0.4,.080,,0.6,-1.2,-0.7,0.1
Career,,,NBA,,450,10724,15.7,.533,.411,.187,4.0,9.7,6.8,10.1,1.8,0.4,8.2,23.5,,14.4,5.1,19.5,.087,,1.7,-2.4,-0.7,3.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SAC,NBA,,196,5657,15.7,.538,.419,.189,4.0,8.5,6.2,9.8,1.9,0.4,8.6,22.2,,9.0,1.5,10.5,.089,,2.4,-2.3,0.1,3.0
2 seasons,,NOH,NBA,,119,2617,16.5,.535,.334,.200,4.3,11.3,7.8,10.3,1.5,0.4,7.9,25.4,,3.1,1.8,4.9,.090,,1.2,-2.4,-1.2,0.5
1 season,,HOU,NBA,,47,885,14.6,.512,.497,.133,3.8,10.5,7.2,12.8,1.9,0.3,8.0,24.3,,0.9,0.4,1.3,.072,,0.8,-3.3,-2.5,-0.1
1 season,,BOS,NBA,,39,640,15.8,.531,.407,.167,3.2,9.4,6.2,8.8,1.6,0.8,6.3,23.9,,0.8,0.6,1.4,.104,,0.7,-2.4,-1.7,0.0
1 season,,BRK,NBA,,26,620,16.1,.547,.515,.226,3.5,10.8,7.1,8.6,2.3,0.4,9.0,24.4,,0.6,0.5,1.1,.087,,1.7,-2.3,-0.7,0.2
1 season,,WAS,NBA,,14,224,15.5,.508,.505,.196,3.4,14.3,8.7,13.4,2.8,0.4,8.6,24.8,,0.1,0.3,0.4,.080,,0.6,-1.2,-0.7,0.1
1 season,,PHO,NBA,,9,81,8.3,.379,.475,.125,5.4,12.3,8.8,3.9,3.7,0.0,10.6,25.6,,-0.2,0.1,-0.1,-0.077,,-5.3,-2.4,-7.7,-0.1
