Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2006-07,22,NYK,NBA,SF,52,777,9.2,.445,.206,.360,4.3,11.5,8.0,17.4,2.2,0.3,17.8,18.8,,-0.6,0.6,0.0,.002,,-3.1,-0.5,-3.7,-0.3
2007-08,23,NYK,NBA,SG,46,634,5.9,.378,.183,.217,3.3,10.4,6.7,21.4,2.0,1.0,22.6,17.5,,-1.4,0.3,-1.0,-0.079,,-5.7,-0.5,-6.2,-0.7
2008-09,24,TOT,NBA,PG-SG,48,890,9.5,.470,.126,.186,3.9,10.1,6.9,19.8,1.8,0.8,17.8,16.6,,-0.5,0.4,-0.1,-0.003,,-3.6,-0.7,-4.2,-0.5
2008-09,24,NYK,NBA,SG,9,75,5.0,.371,.130,.391,2.8,9.1,5.8,19.3,1.3,0.0,15.6,18.5,,-0.2,0.0,-0.1,-0.077,,-6.6,-2.1,-8.7,-0.1
2008-09,24,LAC,NBA,PG,39,815,9.9,.481,.125,.165,4.0,10.2,7.0,19.9,1.9,0.9,18.1,16.4,,-0.3,0.4,0.1,.004,,-3.3,-0.6,-3.8,-0.4
2009-10,25,LAC,NBA,SG,43,470,5.7,.404,.133,.164,3.2,9.2,6.2,14.1,2.5,0.2,18.9,16.3,,-0.8,0.3,-0.5,-0.049,,-5.7,-0.4,-6.2,-0.5
Career,,,NBA,,189,2771,7.9,.431,.163,.240,3.8,10.4,7.0,18.5,2.1,0.6,19.1,17.4,,-3.2,1.7,-1.6,-0.027,,-4.3,-0.6,-4.9,-2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,NYK,NBA,,107,1486,7.5,.414,.192,.303,3.8,10.9,7.3,19.2,2.1,0.6,19.6,18.2,,-2.1,0.9,-1.1,-0.037,,-4.4,-0.6,-5.0,-1.1
2 seasons,,LAC,NBA,,82,1285,8.4,.453,.128,.165,3.7,9.8,6.7,17.8,2.1,0.6,18.4,16.4,,-1.1,0.7,-0.4,-0.015,,-4.2,-0.5,-4.7,-0.9
