Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2008-09,22,MIA,NBA,PG,82,2626,13.3,.548,.470,.292,1.7,8.8,5.2,23.5,3.3,0.2,18.1,16.3,,2.1,3.1,5.2,.095,,0.4,0.3,0.8,1.8
2009-10,23,MIA,NBA,PG,73,1807,10.7,.519,.520,.242,1.6,7.1,4.4,21.0,2.7,0.5,19.7,16.3,,0.3,2.4,2.7,.072,,-0.7,0.3,-0.4,0.7
2010-11,24,MIA,NBA,PG,70,1579,10.3,.538,.595,.160,1.0,9.5,5.5,16.8,2.5,0.3,18.0,15.0,,0.7,2.3,2.9,.089,,-0.3,0.3,0.0,0.8
2011-12,25,MIA,NBA,PG,64,1825,13.0,.578,.522,.203,1.1,9.8,5.6,19.0,2.8,0.5,20.7,17.4,,1.5,2.8,4.3,.112,,1.0,0.4,1.4,1.5
2012-13,26,MIA,NBA,PG,77,2068,13.3,.576,.569,.212,1.2,8.6,5.1,19.4,3.0,0.5,17.1,16.1,,2.6,2.5,5.2,.120,,1.3,-0.2,1.1,1.6
2013-14,27,MIA,NBA,PG,73,2178,14.0,.567,.404,.291,2.5,9.6,6.2,24.3,2.9,0.6,20.4,17.4,,2.4,2.5,4.8,.106,,1.0,0.2,1.2,1.7
2014-15,28,MIA,NBA,PG,80,2368,11.7,.521,.374,.401,1.2,9.0,5.2,21.0,2.7,0.4,18.2,18.9,,0.8,2.0,2.8,.056,,-0.6,-0.4,-1.0,0.6
2015-16,29,TOT,NBA,PG,61,1373,17.3,.561,.336,.590,1.9,11.5,6.5,26.6,3.3,0.9,16.4,21.9,,2.3,1.5,3.8,.132,,1.8,-0.3,1.5,1.2
2015-16,29,MIA,NBA,PG,6,120,9.5,.437,.344,.406,1.0,11.9,6.6,22.3,3.4,0.6,19.3,17.8,,-0.1,0.2,0.1,.038,,-3.1,0.8,-2.3,0.0
2015-16,29,MEM,NBA,PG,55,1253,18.0,.570,.335,.604,2.0,11.4,6.5,27.0,3.3,0.9,16.2,22.3,,2.4,1.3,3.7,.141,,2.3,-0.4,1.9,1.2
Career,,,NBA,,580,15824,12.9,.550,.467,.302,1.5,9.1,5.4,21.5,2.9,0.5,18.6,17.3,,12.6,19.0,31.7,.096,,0.5,0.1,0.5,10.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,MIA,NBA,,525,14571,12.4,.548,.482,.269,1.5,8.9,5.3,21.0,2.9,0.4,18.9,16.9,,10.3,17.7,28.0,.092,,0.3,0.1,0.4,8.9
1 season,,MEM,NBA,,55,1253,18.0,.570,.335,.604,2.0,11.4,6.5,27.0,3.3,0.9,16.2,22.3,,2.4,1.3,3.7,.141,,2.3,-0.4,1.9,1.2
