Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2011-12,22,PHO,NBA,PF,63,1227,12.1,.484,.284,.243,6.4,19.1,12.8,8.2,1.7,2.5,12.7,20.4,,0.1,1.4,1.5,.059,,-1.6,1.0,-0.6,0.4
2012-13,23,PHO,NBA,PF,82,1837,12.6,.473,.205,.194,7.9,16.7,12.3,9.4,2.2,2.6,12.8,19.7,,-0.2,1.9,1.7,.044,,-2.1,1.1,-1.0,0.5
2013-14,24,PHO,NBA,PF,81,2153,18.4,.564,.128,.387,7.3,18.0,12.6,10.9,1.6,1.8,12.9,23.2,,4.0,2.4,6.4,.143,,0.5,0.4,1.0,1.6
2014-15,25,PHO,NBA,PF,82,2581,15.8,.523,.163,.211,4.6,17.0,10.7,12.4,2.0,1.2,12.4,23.3,,1.8,2.7,4.6,.085,,-0.7,0.5,-0.2,1.2
2015-16,26,TOT,NBA,PF,64,1629,12.2,.489,.216,.205,4.8,19.3,11.9,12.7,1.7,1.7,14.7,24.2,,-1.2,1.7,0.5,.015,,-2.9,0.1,-2.8,-0.3
2015-16,26,PHO,NBA,PF,37,917,10.8,.456,.176,.213,5.0,18.3,11.5,16.1,1.8,1.5,16.0,26.0,,-1.3,0.8,-0.5,-0.029,,-3.8,0.0,-3.8,-0.4
2015-16,26,WAS,NBA,PF,27,712,14.0,.538,.275,.192,4.6,20.5,12.4,8.2,1.7,1.9,12.6,21.9,,0.2,0.9,1.1,.072,,-1.8,0.2,-1.5,0.1
Career,,,NBA,,372,9427,14.7,.513,.187,.250,6.1,17.8,11.9,11.0,1.8,1.9,13.1,22.4,,4.5,10.2,14.7,.075,,-1.2,0.6,-0.6,3.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,PHO,NBA,,345,8715,14.7,.511,.179,.255,6.3,17.6,11.9,11.2,1.9,1.8,13.1,22.4,,4.4,9.2,13.6,.075,,-1.1,0.6,-0.5,3.3
1 season,,WAS,NBA,,27,712,14.0,.538,.275,.192,4.6,20.5,12.4,8.2,1.7,1.9,12.6,21.9,,0.2,0.9,1.1,.072,,-1.8,0.2,-1.5,0.1
