Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2011-12,23,NJN,NBA,SG,56,1648,12.9,.502,.234,.231,4.8,9.4,7.0,14.6,1.7,0.7,14.3,22.9,,0.5,0.3,0.8,.022,,-0.7,-1.8,-2.5,-0.2
2012-13,24,BRK,NBA,SG,73,912,13.5,.523,.164,.281,4.1,9.4,6.7,14.6,2.0,1.3,15.5,22.5,,0.5,0.8,1.3,.068,,-1.4,-0.8,-2.2,0.0
2013-14,25,TOT,NBA,SG,35,316,15.5,.551,.200,.352,3.4,15.5,9.3,12.9,2.2,0.9,14.3,23.4,,0.1,0.3,0.4,.060,,-2.1,-1.6,-3.7,-0.1
2013-14,25,BOS,NBA,SG,10,73,10.7,.514,.167,.583,1.5,28.8,14.8,8.6,0.7,1.1,18.8,22.6,,-0.1,0.1,0.0,.017,,-6.7,-1.6,-8.3,-0.1
2013-14,25,GSW,NBA,SG,7,15,24.3,.440,.154,.308,7.4,28.6,18.2,0.0,3.3,0.0,0.0,43.3,,0.0,0.0,0.0,.087,,-7.8,-10.6,-18.4,-0.1
2013-14,25,LAL,NBA,SG,18,228,16.5,.578,.216,.295,3.7,10.3,7.0,15.2,2.6,0.9,14.6,22.3,,0.2,0.1,0.3,.072,,-0.2,-1.0,-1.3,0.0
Career,,,NBA,,164,2876,13.4,.514,.209,.260,4.4,10.1,7.2,14.4,1.8,0.9,14.7,22.8,,1.1,1.4,2.5,.041,,-1.0,-1.5,-2.5,-0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,NJNBRK,NBA,,129,2560,13.1,.509,.210,.248,4.6,9.4,6.9,14.6,1.8,0.9,14.7,22.7,,0.9,1.1,2.1,.039,,-0.9,-1.4,-2.4,-0.2
1 season,,LAL,NBA,,18,228,16.5,.578,.216,.295,3.7,10.3,7.0,15.2,2.6,0.9,14.6,22.3,,0.2,0.1,0.3,.072,,-0.2,-1.0,-1.3,0.0
1 season,,BOS,NBA,,10,73,10.7,.514,.167,.583,1.5,28.8,14.8,8.6,0.7,1.1,18.8,22.6,,-0.1,0.1,0.0,.017,,-6.7,-1.6,-8.3,-0.1
1 season,,GSW,NBA,,7,15,24.3,.440,.154,.308,7.4,28.6,18.2,0.0,3.3,0.0,0.0,43.3,,0.0,0.0,0.0,.087,,-7.8,-10.6,-18.4,-0.1
