Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2005-06,19,ATL,NBA,PF,79,1952,12.2,.523,.100,.476,7.3,16.5,11.8,5.2,1.3,0.9,11.4,16.9,,2.1,0.7,2.8,.069,,-1.7,-1.9,-3.7,-0.8
2006-07,20,ATL,NBA,PF,64,2179,12.2,.510,.064,.375,4.6,14.2,9.3,9.7,1.3,1.1,13.4,20.0,,0.9,1.4,2.3,.051,,-2.0,-0.7,-2.7,-0.4
2007-08,21,ATL,NBA,SF,80,2765,14.5,.540,.011,.446,5.0,14.2,9.6,8.3,1.5,0.9,10.4,20.1,,3.6,2.1,5.7,.099,,-1.0,-0.6,-1.6,0.3
2008-09,22,ATL,NBA,SF,61,2093,16.0,.569,.249,.439,6.2,15.2,10.7,6.3,1.5,1.4,8.6,18.2,,3.9,2.2,6.1,.140,,0.8,0.1,0.9,1.5
2009-10,23,ATL,NBA,SF,81,2468,13.0,.540,.199,.324,5.0,14.8,9.8,5.6,1.4,1.4,8.7,15.5,,3.1,2.6,5.7,.112,,-0.5,0.4,-0.2,1.1
2010-11,24,ATL,NBA,SF,65,1865,13.5,.551,.205,.324,4.4,15.7,10.1,7.6,1.0,0.9,9.2,17.2,,2.3,1.7,4.0,.102,,-0.9,-0.4,-1.3,0.3
2011-12,25,ATL,NBA,SF,57,1500,15.8,.542,.317,.311,6.0,16.9,11.5,7.7,1.7,0.9,6.8,18.0,,2.7,2.1,4.9,.156,,0.8,0.2,1.0,1.1
2012-13,26,UTA,NBA,SF,73,1727,10.9,.515,.353,.211,3.7,14.3,8.9,6.9,1.1,1.7,10.5,15.1,,1.1,1.1,2.3,.063,,-1.1,-0.3,-1.4,0.3
2013-14,27,UTA,NBA,PF,66,1674,14.0,.540,.445,.139,5.5,17.9,11.5,7.7,1.7,1.5,8.7,16.7,,1.9,1.0,2.9,.084,,0.5,-0.3,0.2,0.9
2014-15,28,CHO,NBA,PF,78,2035,11.8,.541,.535,.176,3.1,18.2,10.4,7.8,1.8,1.4,10.1,13.3,,1.5,2.9,4.3,.102,,-0.8,1.8,1.0,1.5
2015-16,29,CHO,NBA,PF,81,2338,16.8,.585,.506,.193,5.9,18.6,12.2,7.6,1.2,2.7,7.1,16.8,,4.7,3.2,7.8,.161,,1.7,1.0,2.7,2.7
Career,,,NBA,,785,22596,13.7,.542,.254,.320,5.1,16.0,10.5,7.3,1.4,1.4,9.7,17.2,,27.7,21.1,48.9,.104,,-0.4,-0.1,-0.5,8.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,ATL,NBA,,487,14822,13.8,.539,.147,.390,5.4,15.2,10.3,7.2,1.4,1.1,10.0,18.0,,18.6,13.0,31.5,.102,,-0.7,-0.4,-1.1,3.2
2 seasons,,CHO,NBA,,159,4373,14.5,.567,.518,.186,4.6,18.4,11.4,7.7,1.5,2.1,8.3,15.2,,6.1,6.0,12.2,.134,,0.5,1.4,1.9,4.3
2 seasons,,UTA,NBA,,139,3401,12.4,.528,.402,.173,4.6,16.1,10.2,7.3,1.4,1.6,9.5,15.9,,3.1,2.1,5.2,.073,,-0.3,-0.3,-0.6,1.2
