Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2006-07,22,DAL,NBA,SG,32,214,2.9,.408,.214,.471,0.6,11.0,5.9,5.0,1.0,1.1,15.1,21.7,,-0.5,0.2,-0.3,-0.060,,-7.5,-1.8,-9.3,-0.4
2007-08,23,TOT,NBA,SG,26,165,1.8,.363,.292,.185,2.8,6.3,4.6,8.0,0.0,0.4,7.9,21.3,,-0.4,0.0,-0.4,-0.114,,-6.8,-4.5,-11.3,-0.4
2007-08,23,DAL,NBA,SG,12,77,-4.4,.253,.296,.222,1.6,4.4,3.0,7.4,0.0,1.0,9.2,19.8,,-0.3,0.0,-0.3,-0.181,,-9.6,-3.5,-13.1,-0.2
2007-08,23,NJN,NBA,SG,14,88,7.1,.443,.289,.158,3.9,7.9,5.9,8.4,0.0,0.0,6.9,22.7,,-0.1,0.0,-0.1,-0.056,,-4.4,-5.4,-9.8,-0.2
2008-09,24,NJN,NBA,SG,20,97,2.2,.365,.140,.186,3.6,8.7,6.1,5.3,0.6,1.7,7.9,24.4,,-0.3,0.0,-0.3,-0.133,,-8.5,-4.3,-12.8,-0.3
2010-11,26,MIN,NBA,SG,4,29,10.1,.682,.364,.000,0.0,7.9,3.8,6.0,1.7,0.0,26.7,22.0,,0.0,0.0,0.0,-0.015,,-2.7,-3.6,-6.3,0.0
Career,,,NBA,,82,505,2.8,.398,.233,.280,1.9,8.8,5.4,6.1,0.6,0.9,12.0,22.1,,-1.3,0.3,-0.9,-0.089,,-7.2,-3.2,-10.4,-1.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,DAL,NBA,,44,291,1.0,.368,.237,.402,0.8,9.3,5.1,5.6,0.7,1.0,13.6,21.2,,-0.8,0.3,-0.6,-0.092,,-8.0,-2.2,-10.3,-0.6
2 seasons,,NJN,NBA,,34,185,4.5,.402,.210,.173,3.8,8.3,6.0,6.8,0.3,0.9,7.4,23.6,,-0.4,0.0,-0.4,-0.096,,-6.6,-4.8,-11.4,-0.4
1 season,,MIN,NBA,,4,29,10.1,.682,.364,.000,0.0,7.9,3.8,6.0,1.7,0.0,26.7,22.0,,0.0,0.0,0.0,-0.015,,-2.7,-3.6,-6.3,0.0
