Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2008-09,20,MIA,NBA,PF,81,2009,17.2,.528,.085,.252,6.5,19.8,13.1,7.7,1.1,1.5,10.2,27.7,,1.2,2.2,3.4,.081,,-2.4,-1.9,-4.3,-1.2
2009-10,21,MIA,NBA,PF,78,2328,16.1,.505,.098,.231,6.3,18.8,12.6,7.8,1.8,1.7,10.3,25.8,,0.8,3.8,4.6,.095,,-2.0,0.3,-1.7,0.2
2010-11,22,MIN,NBA,SF,73,2361,15.5,.510,.132,.234,5.4,14.1,9.6,12.3,1.1,1.7,12.4,28.3,,0.7,1.0,1.7,.035,,-0.8,-1.6,-2.4,-0.3
2011-12,23,MIN,NBA,SF,47,1087,13.0,.502,.203,.191,4.0,17.2,10.6,7.7,0.9,1.2,12.9,25.3,,-0.3,0.8,0.5,.022,,-2.5,-1.4,-3.9,-0.5
2012-13,24,PHO,NBA,SF,75,1554,10.8,.462,.188,.164,3.7,17.2,10.3,12.5,1.0,1.6,14.9,27.6,,-2.5,1.0,-1.5,-0.047,,-4.4,-1.7,-6.1,-1.6
2013-14,25,MIA,NBA,SF,55,831,16.8,.559,.152,.223,4.9,20.5,13.0,8.8,1.5,2.2,12.8,25.7,,0.5,1.1,1.6,.092,,-2.2,-1.2,-3.5,-0.3
2014-15,26,MIA,NBA,SF,24,505,10.6,.474,.160,.123,2.9,17.9,10.6,11.5,1.6,2.2,14.2,24.2,,-0.6,0.5,-0.1,-0.007,,-4.3,-0.4,-4.7,-0.3
2015-16,27,HOU,NBA,SF,20,363,22.5,.563,.044,.239,8.8,21.1,14.9,9.1,1.5,2.1,9.6,29.7,,0.6,0.3,1.0,.128,,-0.8,-2.5,-3.4,-0.1
Career,,,NBA,,453,11038,15.1,.509,.131,.217,5.4,17.7,11.5,9.7,1.3,1.7,12.0,26.9,,0.4,10.7,11.1,.048,,-2.3,-1.2,-3.5,-4.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MIA,NBA,,238,5673,16.1,.519,.106,.229,5.8,19.3,12.6,8.3,1.5,1.8,10.9,26.3,,1.9,7.6,9.5,.080,,-2.4,-0.8,-3.2,-1.7
2 seasons,,MIN,NBA,,120,3448,14.7,.508,.152,.221,4.9,15.1,9.9,10.9,1.0,1.5,12.6,27.4,,0.4,1.8,2.2,.031,,-1.4,-1.5,-2.9,-0.8
1 season,,PHO,NBA,,75,1554,10.8,.462,.188,.164,3.7,17.2,10.3,12.5,1.0,1.6,14.9,27.6,,-2.5,1.0,-1.5,-0.047,,-4.4,-1.7,-6.1,-1.6
1 season,,HOU,NBA,,20,363,22.5,.563,.044,.239,8.8,21.1,14.9,9.1,1.5,2.1,9.6,29.7,,0.6,0.3,1.0,.128,,-0.8,-2.5,-3.4,-0.1
