Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2003-04,21,GSW,NBA,PG,53,748,12.9,.528,.455,.325,7.2,10.7,9.0,6.1,2.3,1.2,13.2,18.7,,0.8,0.7,1.5,.095,,0.3,-0.7,-0.4,0.3
2004-05,22,GSW,NBA,SF,67,1340,14.2,.539,.389,.403,5.0,10.5,7.7,10.2,1.8,1.0,13.5,22.5,,1.1,1.0,2.1,.075,,-0.1,-1.4,-1.5,0.2
2005-06,23,GSW,NBA,SF,52,1179,10.0,.500,.421,.342,5.4,10.2,7.7,6.2,1.4,0.6,14.0,21.1,,-0.3,0.9,0.6,.024,,-1.9,-1.5,-3.4,-0.4
2006-07,24,GSW,NBA,SF,72,1937,13.0,.590,.410,.358,4.5,14.2,9.3,4.7,1.2,2.2,13.4,17.2,,2.0,1.5,3.6,.088,,-0.4,-0.5,-0.9,0.5
2007-08,25,GSW,NBA,SF,66,1316,12.7,.549,.473,.253,5.2,14.8,9.8,5.1,2.4,2.4,10.0,15.3,,1.4,1.4,2.8,.104,,-0.2,0.5,0.3,0.8
2008-09,26,ORL,NBA,SG,54,1329,11.6,.538,.523,.258,3.8,10.9,7.5,8.0,1.2,1.3,10.6,18.4,,1.0,2.0,3.0,.108,,-0.2,0.7,0.5,0.8
2009-10,27,ORL,NBA,SF,75,1687,11.9,.555,.568,.202,2.8,11.6,7.4,4.7,1.6,1.4,10.5,18.0,,1.2,2.5,3.6,.103,,0.2,0.5,0.7,1.1
2010-11,28,TOT,NBA,SG-SF,57,1107,9.8,.526,.647,.156,1.6,11.5,6.6,4.6,1.3,1.4,9.1,17.6,,0.3,1.0,1.3,.055,,-0.7,-0.7,-1.4,0.2
2010-11,28,ORL,NBA,SF,19,418,8.3,.540,.757,.052,1.7,12.0,7.0,3.8,1.3,0.6,10.6,14.6,,0.1,0.6,0.7,.082,,-0.8,0.2,-0.6,0.2
2010-11,28,PHO,NBA,SG,38,689,10.8,.519,.596,.204,1.5,11.2,6.4,5.0,1.4,1.9,8.4,19.5,,0.1,0.4,0.6,.039,,-0.6,-1.3,-1.9,0.0
2011-12,29,BOS,NBA,SG,42,921,8.5,.509,.674,.115,2.4,13.7,8.3,4.4,1.2,0.8,10.4,16.5,,-0.2,1.4,1.2,.063,,-1.4,-0.3,-1.6,0.1
2012-13,30,TOR,NBA,SF,19,386,6.0,.472,.653,.184,1.5,9.7,5.5,3.5,1.7,1.2,13.1,14.7,,-0.3,0.2,0.0,-0.004,,-2.7,-0.9,-3.6,-0.2
Career,,,NBA,,557,11950,11.6,.540,.500,.276,4.0,12.1,8.1,5.9,1.6,1.4,11.9,18.2,,6.9,12.8,19.7,.079,,-0.5,-0.3,-0.9,3.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,GSW,NBA,,310,6520,12.6,.546,.423,.343,5.2,12.5,8.7,6.3,1.7,1.6,12.9,18.8,,5.0,5.6,10.6,.078,,-0.5,-0.7,-1.2,1.3
3 seasons,,ORL,NBA,,148,3434,11.4,.546,.570,.208,3.1,11.4,7.4,5.8,1.4,1.2,10.5,17.8,,2.3,5.1,7.4,.103,,-0.1,0.6,0.5,2.1
1 season,,BOS,NBA,,42,921,8.5,.509,.674,.115,2.4,13.7,8.3,4.4,1.2,0.8,10.4,16.5,,-0.2,1.4,1.2,.063,,-1.4,-0.3,-1.6,0.1
1 season,,PHO,NBA,,38,689,10.8,.519,.596,.204,1.5,11.2,6.4,5.0,1.4,1.9,8.4,19.5,,0.1,0.4,0.6,.039,,-0.6,-1.3,-1.9,0.0
1 season,,TOR,NBA,,19,386,6.0,.472,.653,.184,1.5,9.7,5.5,3.5,1.7,1.2,13.1,14.7,,-0.3,0.2,0.0,-0.004,,-2.7,-0.9,-3.6,-0.2
