Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2007-08,20,MEM,NBA,PG,53,1381,12.6,.502,.206,.278,1.7,9.7,5.6,25.3,1.6,0.1,15.2,18.8,,0.6,0.5,1.1,.038,,-1.1,-1.8,-3.0,-0.3
2008-09,21,MEM,NBA,PG,82,2508,14.3,.548,.297,.270,1.2,12.5,6.8,23.7,1.9,0.3,14.9,17.9,,2.7,1.9,4.5,.086,,0.5,-0.7,-0.2,1.1
2009-10,22,MEM,NBA,PG,80,2569,13.9,.526,.255,.225,1.4,7.3,4.3,24.8,2.2,0.4,15.7,18.4,,2.6,1.3,4.0,.074,,0.7,-1.4,-0.7,0.8
2010-11,23,MEM,NBA,PG,81,2872,15.9,.521,.228,.259,1.3,9.0,5.1,28.0,2.6,0.5,14.2,19.4,,3.4,3.2,6.6,.111,,1.4,-0.1,1.3,2.4
2011-12,24,MEM,NBA,PG,62,2174,16.8,.523,.232,.231,1.2,7.4,4.2,29.8,3.3,0.4,14.2,18.3,,3.6,2.8,6.4,.141,,1.8,0.1,1.9,2.1
2012-13,25,MEM,NBA,PG,80,2757,18.3,.549,.312,.300,1.8,7.9,4.8,29.5,3.4,0.7,15.1,21.0,,5.1,4.7,9.9,.172,,3.1,1.1,4.1,4.3
2013-14,26,MEM,NBA,PG,73,2446,20.0,.545,.283,.268,2.0,8.4,5.2,30.1,2.4,0.4,11.5,24.6,,5.5,2.7,8.2,.161,,4.1,-0.7,3.4,3.3
2014-15,27,MEM,NBA,PG,70,2225,18.6,.558,.314,.282,1.5,9.2,5.4,28.0,2.1,0.5,13.6,23.7,,4.2,2.7,6.8,.147,,3.2,-0.5,2.7,2.6
2015-16,28,MEM,NBA,PG,56,1761,19.4,.538,.309,.329,1.6,9.3,5.3,32.7,2.0,0.8,9.5,22.4,,4.2,1.1,5.3,.144,,3.7,-1.9,1.7,1.7
Career,,,NBA,,637,20693,16.7,.537,.274,.271,1.5,8.9,5.2,27.9,2.5,0.5,13.7,20.5,,32.0,20.8,52.8,.123,,2.0,-0.5,1.5,18.0
