Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2012-13,24,IND,NBA,C,14,55,8.8,.286,.000,.190,24.8,19.9,22.3,5.7,0.0,4.0,11.6,21.4,,-0.1,0.1,0.0,-0.015,,-7.1,-0.6,-7.8,-0.1
2013-14,25,PHO,NBA,C,80,1964,14.6,.529,.000,.239,11.3,24.4,17.9,3.3,1.3,3.5,15.4,16.2,,1.2,2.8,4.0,.098,,-2.8,1.3,-1.5,0.2
2014-15,26,TOT,NBA,C,73,1194,13.4,.536,.000,.181,10.3,19.3,14.8,4.2,1.7,4.3,15.7,12.0,,0.9,1.7,2.6,.103,,-2.8,2.5,-0.2,0.5
2014-15,26,PHO,NBA,C,54,1005,13.1,.550,.000,.195,10.3,19.7,14.9,3.9,1.7,4.2,17.5,11.2,,0.8,1.4,2.1,.102,,-2.7,2.7,0.0,0.5
2014-15,26,MIL,NBA,C,19,189,15.0,.488,.000,.136,10.4,17.4,13.9,6.0,1.6,4.9,8.8,16.3,,0.1,0.3,0.4,.107,,-3.3,1.7,-1.6,0.0
2015-16,27,MIL,NBA,C,61,870,17.4,.606,.000,.253,12.5,18.0,15.2,2.9,1.2,4.9,13.4,15.5,,1.4,0.8,2.2,.124,,-1.4,-0.4,-1.8,0.0
Career,,,NBA,,228,4083,14.8,.543,.000,.227,11.4,21.5,16.5,3.5,1.4,4.0,14.9,14.9,,3.4,5.4,8.8,.103,,-2.5,1.3,-1.3,0.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,PHO,NBA,,134,2969,14.1,.534,.000,.227,11.0,22.8,16.9,3.5,1.4,3.7,15.9,14.5,,2.0,4.1,6.1,.099,,-2.7,1.8,-1.0,0.8
2 seasons,,MIL,NBA,,80,1059,16.9,.583,.000,.229,12.1,17.9,15.0,3.5,1.3,4.9,12.5,15.6,,1.5,1.1,2.7,.121,,-1.7,0.0,-1.8,0.1
1 season,,IND,NBA,,14,55,8.8,.286,.000,.190,24.8,19.9,22.3,5.7,0.0,4.0,11.6,21.4,,-0.1,0.1,0.0,-0.015,,-7.1,-0.6,-7.8,-0.1
