Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2003-04,21,UTA,NBA,SG,57,772,9.4,.433,.129,.185,3.6,8.0,5.8,18.5,2.0,0.2,13.5,22.8,,-0.3,0.5,0.2,.011,,-2.7,-2.5,-5.2,-0.6
2004-05,22,MIL,NBA,PG,80,2254,14.1,.504,.134,.217,2.6,10.2,6.4,35.4,1.7,0.4,19.5,20.3,,1.2,1.0,2.2,.046,,0.2,-1.4,-1.2,0.4
2005-06,23,MIL,NBA,PG,58,1531,15.0,.518,.304,.180,2.3,8.9,5.5,26.1,1.8,0.4,13.4,23.4,,1.5,1.0,2.5,.079,,1.2,-1.7,-0.6,0.6
2006-07,24,MIL,NBA,PG,68,2472,16.3,.519,.217,.177,2.5,13.3,7.8,28.2,1.8,0.2,15.2,24.4,,2.2,0.9,3.2,.061,,1.2,-1.3,-0.1,1.2
2007-08,25,MIL,NBA,PG,66,2410,17.0,.566,.251,.211,1.7,9.8,5.6,30.0,1.7,0.3,15.3,22.1,,4.1,0.5,4.5,.091,,2.6,-2.3,0.2,1.4
2008-09 ★,26,CLE,NBA,PG,81,2834,17.2,.588,.373,.202,2.1,9.4,5.9,20.1,1.3,0.3,12.7,23.4,,6.1,3.7,9.8,.165,,3.0,-0.7,2.3,3.1
2009-10,27,CLE,NBA,PG,69,2359,16.1,.580,.434,.232,1.5,8.6,5.2,25.0,1.6,0.7,15.5,22.0,,4.0,2.7,6.7,.136,,2.5,-0.9,1.6,2.2
2010-11,28,TOT,NBA,PG,58,1788,13.9,.503,.334,.242,1.3,8.7,5.0,36.9,1.5,0.4,17.5,24.7,,0.4,0.6,1.0,.026,,0.6,-2.9,-2.3,-0.1
2010-11,28,CLE,NBA,PG,36,1065,13.8,.471,.294,.221,1.6,9.1,5.2,42.8,1.6,0.7,17.2,26.0,,-0.4,0.3,-0.1,-0.005,,0.2,-2.9,-2.7,-0.2
2010-11,28,LAC,NBA,PG,22,723,14.0,.556,.403,.280,1.0,8.0,4.5,28.2,1.4,0.0,18.0,22.7,,0.8,0.3,1.1,.073,,1.0,-2.8,-1.8,0.0
2011-12,29,LAC,NBA,SG,52,1472,15.0,.530,.391,.131,1.8,6.2,4.0,18.5,1.9,0.4,11.7,22.9,,2.2,0.7,2.8,.093,,1.7,-2.2,-0.5,0.5
2012-13,30,UTA,NBA,PG,46,1418,14.4,.519,.289,.159,2.0,7.2,4.5,33.2,1.7,0.5,18.0,22.3,,1.2,0.7,1.8,.062,,1.1,-2.5,-1.4,0.2
2013-14,31,POR,NBA,PG,74,1834,11.8,.507,.335,.132,2.5,6.4,4.5,26.7,1.5,0.4,17.3,20.5,,1.0,1.2,2.2,.056,,-0.2,-1.7,-2.0,0.0
2014-15,32,TOT,NBA,PG,68,1980,15.4,.512,.405,.217,1.2,8.9,4.9,37.4,1.2,0.6,15.4,25.2,,1.6,0.6,2.1,.052,,2.1,-3.5,-1.3,0.3
2014-15,32,MIN,NBA,PG,41,1149,14.4,.511,.380,.210,1.3,8.7,4.9,38.0,1.3,0.5,17.3,22.7,,0.9,-0.2,0.7,.031,,1.3,-4.2,-3.0,-0.3
2014-15,32,CHO,NBA,PG,27,831,16.9,.512,.431,.225,1.2,9.1,5.0,36.5,1.0,0.6,13.4,28.8,,0.7,0.7,1.4,.080,,3.4,-2.4,1.0,0.6
2015-16,33,CLE,NBA,PG,41,748,12.4,.527,.338,.139,0.9,9.9,5.4,21.1,1.0,0.5,15.1,22.8,,0.4,0.7,1.1,.067,,-1.3,-2.1,-3.3,-0.2
Career,,,NBA,,818,23872,15.0,.532,.310,.192,2.0,9.1,5.5,28.1,1.6,0.4,15.5,22.8,,25.4,14.6,40.0,.080,,1.3,-1.9,-0.5,8.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MIL,NBA,,272,8667,15.7,.529,.225,.196,2.3,10.7,6.4,30.2,1.7,0.3,15.9,22.5,,9.0,3.4,12.4,.069,,1.3,-1.7,-0.4,3.6
4 seasons,,CLE,NBA,,227,7006,15.8,.559,.375,.208,1.7,9.1,5.5,25.3,1.4,0.5,14.6,23.3,,10.1,7.3,17.4,.119,,2.0,-1.2,0.7,4.8
2 seasons,,UTA,NBA,,103,2190,12.7,.488,.231,.169,2.6,7.5,5.0,28.1,1.8,0.4,16.4,22.5,,0.8,1.2,2.0,.044,,-0.2,-2.5,-2.7,-0.4
2 seasons,,LAC,NBA,,74,2195,14.6,.538,.395,.176,1.6,6.8,4.2,21.7,1.7,0.3,13.8,22.8,,3.0,1.0,3.9,.086,,1.5,-2.4,-1.0,0.6
1 season,,POR,NBA,,74,1834,11.8,.507,.335,.132,2.5,6.4,4.5,26.7,1.5,0.4,17.3,20.5,,1.0,1.2,2.2,.056,,-0.2,-1.7,-2.0,0.0
1 season,,MIN,NBA,,41,1149,14.4,.511,.380,.210,1.3,8.7,4.9,38.0,1.3,0.5,17.3,22.7,,0.9,-0.2,0.7,.031,,1.3,-4.2,-3.0,-0.3
1 season,,CHO,NBA,,27,831,16.9,.512,.431,.225,1.2,9.1,5.0,36.5,1.0,0.6,13.4,28.8,,0.7,0.7,1.4,.080,,3.4,-2.4,1.0,0.6
