Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2005-06,20,GSW,NBA,SG,49,886,11.1,.486,.258,.186,2.7,10.7,6.6,14.9,1.9,0.9,14.4,20.2,,-0.3,0.8,0.5,.028,,-2.7,-0.4,-3.1,-0.2
2006-07,21,GSW,NBA,SG,77,2638,15.0,.545,.142,.354,2.5,7.7,5.1,18.8,2.4,0.6,15.9,22.4,,2.0,1.9,4.0,.072,,-0.4,-0.6,-1.0,0.7
2007-08,22,GSW,NBA,SG,81,3071,19.0,.580,.042,.340,4.5,9.8,7.0,15.8,2.0,0.6,10.9,21.7,,7.1,1.8,9.0,.140,,2.1,-0.4,1.7,2.9
2008-09,23,GSW,NBA,SG,25,892,14.5,.503,.060,.219,1.7,11.5,6.6,17.5,2.1,0.6,12.4,25.8,,-0.1,0.3,0.2,.012,,-1.5,-1.8,-3.3,-0.3
2009-10,24,GSW,NBA,SG,64,2647,16.7,.517,.162,.276,1.9,9.0,5.4,21.2,2.6,0.7,13.4,29.5,,0.0,1.3,1.3,.023,,-0.1,-1.4,-1.5,0.3
2010-11,25,GSW,NBA,SG,80,3227,18.6,.536,.235,.268,1.5,8.5,4.9,23.4,2.6,0.5,12.3,28.1,,4.3,1.7,6.0,.089,,2.0,-1.8,0.2,1.8
2011-12,26,TOT,NBA,SG,58,2120,17.5,.509,.193,.264,1.1,9.6,5.3,28.6,2.1,0.6,13.2,28.7,,1.6,0.9,2.6,.059,,1.3,-1.9,-0.6,0.8
2011-12,26,GSW,NBA,SG,37,1365,18.6,.516,.222,.264,1.3,9.2,5.3,29.3,2.1,0.7,13.5,30.7,,1.2,0.4,1.5,.054,,2.0,-2.2,-0.3,0.6
2011-12,26,MIL,NBA,SG,21,755,15.4,.493,.134,.265,0.6,10.4,5.3,27.3,2.0,0.6,12.6,25.0,,0.5,0.6,1.1,.067,,0.1,-1.3,-1.2,0.2
2012-13,27,MIL,NBA,SG,82,3076,16.2,.493,.228,.260,1.5,9.8,5.5,27.1,2.8,0.9,13.7,26.3,,1.2,3.3,4.6,.071,,0.8,0.0,0.8,2.2
2013-14,28,DAL,NBA,PG,82,3023,16.8,.532,.164,.336,1.5,9.8,5.6,24.8,2.4,0.6,15.2,26.0,,2.8,2.1,4.9,.078,,0.6,-0.6,0.0,1.5
2014-15,29,DAL,NBA,SG,80,2699,16.5,.509,.210,.224,1.4,6.4,3.9,20.5,2.8,0.8,11.7,27.9,,1.4,2.2,3.6,.065,,0.7,-0.7,-0.1,1.3
2015-16,30,IND,NBA,SG,81,2734,13.7,.504,.276,.202,1.7,9.1,5.4,22.2,2.7,1.1,15.4,21.2,,0.4,3.9,4.3,.075,,-0.6,0.9,0.3,1.6
Career,,,NBA,,759,27013,16.5,.523,.183,.275,2.0,9.0,5.5,22.0,2.5,0.7,13.4,25.5,,20.5,20.3,40.9,.073,,0.6,-0.7,-0.2,12.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,GSW,NBA,,413,14726,17.0,.535,.159,.288,2.5,9.1,5.7,20.3,2.3,0.6,13.1,25.6,,14.2,8.2,22.4,.073,,0.7,-1.2,-0.5,5.7
2 seasons,,DAL,NBA,,162,5722,16.6,.520,.187,.278,1.4,8.2,4.8,22.7,2.6,0.7,13.5,26.9,,4.2,4.3,8.5,.072,,0.6,-0.6,0.0,2.8
2 seasons,,MIL,NBA,,103,3831,16.1,.493,.210,.261,1.3,9.9,5.5,27.2,2.6,0.8,13.5,26.0,,1.7,3.9,5.6,.070,,0.7,-0.3,0.4,2.3
1 season,,IND,NBA,,81,2734,13.7,.504,.276,.202,1.7,9.1,5.4,22.2,2.7,1.1,15.4,21.2,,0.4,3.9,4.3,.075,,-0.6,0.9,0.3,1.6
