Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2007-08,22,WAS,NBA,SG,75,1158,11.6,.527,.209,.259,2.3,9.6,5.8,9.6,1.6,0.5,15.0,24.9,,-0.1,0.6,0.4,.017,,-2.5,-3.1,-5.6,-1.1
2008-09,23,WAS,NBA,SG,82,1837,13.1,.530,.217,.255,1.9,7.8,4.8,9.0,1.1,0.9,9.9,23.1,,1.2,-0.1,1.2,.030,,-1.1,-3.8,-4.9,-1.3
2009-10,24,WAS,NBA,SG,74,1421,10.7,.519,.305,.233,1.6,6.7,4.1,5.7,1.0,0.4,8.3,21.4,,0.9,0.5,1.4,.046,,-1.2,-3.3,-4.5,-0.9
2010-11,25,WAS,NBA,SG,64,2034,14.5,.538,.290,.244,1.4,8.6,4.9,6.6,1.1,0.6,8.0,24.4,,2.3,0.4,2.8,.065,,0.5,-3.5,-3.0,-0.5
2011-12,26,TOT,NBA,SG,62,1729,12.9,.512,.360,.216,2.0,6.8,4.4,5.7,1.3,0.8,8.8,24.5,,1.4,0.6,1.9,.053,,0.0,-3.4,-3.4,-0.6
2011-12,26,WAS,NBA,SG,40,1211,14.2,.513,.333,.220,1.8,7.2,4.5,6.8,1.3,0.7,8.3,26.1,,1.1,0.4,1.5,.059,,0.6,-3.7,-3.1,-0.4
2011-12,26,LAC,NBA,SG,22,518,9.9,.509,.440,.202,2.5,5.8,4.1,3.1,1.5,1.0,10.2,20.9,,0.2,0.2,0.4,.040,,-1.2,-2.7,-3.8,-0.2
2012-13,27,PHI,NBA,SG,59,1411,13.3,.525,.387,.236,1.9,8.7,5.2,9.7,1.3,0.8,7.7,21.2,,1.4,1.0,2.3,.079,,-0.2,-2.3,-2.5,-0.2
2013-14,28,LAL,NBA,SG,64,1810,16.0,.564,.394,.321,1.7,8.1,4.9,9.0,1.2,0.5,8.6,26.8,,2.3,0.3,2.5,.067,,1.7,-3.6,-1.9,0.0
2014-15,29,LAL,NBA,SG,42,1000,14.2,.520,.473,.311,1.8,9.1,5.3,6.9,1.2,0.9,7.5,26.0,,1.1,0.1,1.2,.058,,0.9,-4.3,-3.5,-0.4
2015-16,30,LAL,NBA,SG,54,1033,9.1,.483,.637,.204,1.4,9.0,5.1,5.4,1.1,0.5,6.9,18.5,,0.1,0.0,0.1,.003,,-1.4,-3.5,-4.8,-0.7
Career,,,NBA,,576,13433,13.1,.529,.347,.256,1.8,8.2,4.9,7.5,1.2,0.7,9.0,23.6,,10.4,3.3,13.7,.049,,-0.3,-3.4,-3.7,-5.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,WAS,NBA,,335,7661,12.9,.527,.272,.243,1.8,8.0,4.8,7.5,1.2,0.6,9.6,23.9,,5.4,1.8,7.2,.045,,-0.7,-3.5,-4.2,-4.2
3 seasons,,LAL,NBA,,160,3843,13.7,.535,.467,.293,1.7,8.6,5.0,7.5,1.2,0.6,7.9,24.4,,3.5,0.3,3.8,.047,,0.6,-3.8,-3.1,-1.1
1 season,,PHI,NBA,,59,1411,13.3,.525,.387,.236,1.9,8.7,5.2,9.7,1.3,0.8,7.7,21.2,,1.4,1.0,2.3,.079,,-0.2,-2.3,-2.5,-0.2
1 season,,LAC,NBA,,22,518,9.9,.509,.440,.202,2.5,5.8,4.1,3.1,1.5,1.0,10.2,20.9,,0.2,0.2,0.4,.040,,-1.2,-2.7,-3.8,-0.2
