Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2008-09,20,POR,NBA,SF,79,1454,12.9,.555,.465,.144,7.0,11.8,9.4,7.8,1.9,2.2,11.5,14.0,,2.1,1.6,3.7,.123,,1.2,1.3,2.5,1.7
2009-10,21,POR,NBA,SF,37,918,17.3,.646,.493,.190,4.3,14.8,9.5,8.0,1.4,2.2,8.5,16.4,,2.4,1.1,3.5,.181,,3.2,0.6,3.8,1.3
2010-11,22,POR,NBA,SF,80,2522,14.8,.563,.424,.203,5.1,12.8,8.8,8.1,1.5,1.6,8.6,17.8,,4.4,2.3,6.6,.126,,1.7,0.0,1.7,2.4
2011-12,23,POR,NBA,SF,59,1791,17.3,.575,.427,.248,5.2,12.6,8.8,7.9,1.7,2.6,11.2,20.5,,3.3,1.4,4.8,.127,,2.3,0.0,2.3,1.9
2012-13,24,POR,NBA,SF,73,2807,15.7,.566,.533,.252,4.0,13.2,8.5,20.3,1.7,2.2,17.0,18.2,,3.8,1.9,5.8,.099,,2.3,1.1,3.4,3.8
2013-14,25,POR,NBA,SF,82,2956,15.8,.589,.491,.248,4.3,17.8,11.1,20.9,1.3,1.3,18.6,16.5,,4.8,3.1,7.9,.128,,2.4,1.8,4.2,4.6
2014-15,26,POR,NBA,SF,71,2380,13.1,.516,.515,.163,2.8,15.6,9.4,20.5,1.7,1.2,17.0,14.6,,2.0,3.2,5.2,.105,,0.6,2.6,3.1,3.1
2015-16,27,CHO,NBA,SF,70,2448,15.6,.546,.457,.220,2.4,16.8,9.6,26.9,1.3,1.4,17.6,21.4,,2.0,2.9,5.0,.097,,1.1,0.9,2.0,2.5
Career,,,NBA,,551,17276,15.2,.565,.475,.217,4.2,14.7,9.4,16.6,1.5,1.8,14.7,17.6,,24.9,17.5,42.4,.118,,1.8,1.1,2.9,21.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,POR,NBA,,481,14828,15.2,.568,.478,.216,4.5,14.3,9.4,14.9,1.6,1.8,14.1,17.0,,22.8,14.6,37.4,.121,,1.9,1.1,3.0,18.8
1 season,,CHO,NBA,,70,2448,15.6,.546,.457,.220,2.4,16.8,9.6,26.9,1.3,1.4,17.6,21.4,,2.0,2.9,5.0,.097,,1.1,0.9,2.0,2.5
