Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2011-12,23,MIA,NBA,PG,65,1260,7.9,.452,.169,.189,2.1,6.4,4.3,17.0,1.8,0.1,17.7,21.8,,-1.4,1.4,0.0,.000,,-4.1,-1.8,-5.9,-1.2
2012-13,24,MIA,NBA,PG,80,1590,7.9,.483,.231,.188,1.5,8.2,5.0,15.2,1.9,0.4,18.4,17.0,,-0.8,1.4,0.6,.019,,-3.4,-1.1,-4.5,-1.0
2013-14,25,MIA,NBA,PG,82,2014,8.8,.497,.348,.136,1.1,8.6,5.0,17.9,2.0,0.2,19.3,15.6,,-0.5,1.7,1.2,.029,,-2.2,-0.8,-3.0,-0.5
2014-15,26,TOT,NBA,PG,75,1831,10.9,.483,.315,.145,0.9,9.3,5.1,22.2,1.6,0.7,14.3,17.5,,0.4,1.0,1.4,.036,,-1.5,-1.5,-3.0,-0.5
2014-15,26,MIA,NBA,PG,47,1148,9.9,.452,.333,.150,1.3,9.8,5.7,22.9,1.9,0.6,15.1,15.7,,-0.1,0.8,0.6,.027,,-2.1,-0.9,-2.9,-0.3
2014-15,26,NOP,NBA,PG,28,683,12.6,.520,.294,.139,0.2,8.3,4.2,21.2,1.2,0.8,13.3,20.6,,0.5,0.3,0.7,.052,,-0.5,-2.6,-3.1,-0.2
2015-16,27,NOP,NBA,PG,45,1198,10.8,.465,.211,.134,0.9,13.5,7.0,22.0,1.5,0.3,12.8,21.7,,-0.6,0.5,-0.1,-0.004,,-2.4,-1.4,-3.7,-0.5
Career,,,NBA,,347,7893,9.3,.477,.259,.157,1.2,9.1,5.2,18.8,1.8,0.4,16.5,18.2,,-2.9,6.1,3.1,.019,,-2.6,-1.3,-3.9,-3.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MIA,NBA,,274,6012,8.6,.473,.268,.166,1.4,8.3,5.0,17.9,1.9,0.3,17.9,17.3,,-2.8,5.3,2.5,.020,,-2.9,-1.1,-4.0,-3.0
2 seasons,,NOP,NBA,,73,1881,11.5,.484,.239,.136,0.6,11.6,6.0,21.7,1.4,0.5,12.9,21.3,,-0.2,0.8,0.6,.016,,-1.7,-1.8,-3.5,-0.7
