Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2008-09,21,MEM,NBA,SG,82,3120,14.2,.539,.295,.219,2.2,10.1,6.1,15.5,1.6,0.3,13.8,24.5,,1.5,1.8,3.4,.052,,0.7,-1.6,-0.9,0.9
2009-10,22,MEM,NBA,SG,82,3113,14.6,.551,.300,.221,2.3,9.4,5.8,12.2,1.6,0.4,11.9,20.7,,4.3,1.4,5.6,.087,,1.7,-1.3,0.4,1.9
2010-11,23,MEM,NBA,SG,71,1869,12.6,.499,.353,.175,2.2,8.7,5.4,12.1,2.0,1.1,11.0,21.8,,0.5,1.9,2.4,.062,,-0.2,-0.9,-1.1,0.4
2011-12,24,MEM,NBA,SG,66,1771,14.7,.513,.374,.234,1.9,12.1,6.9,16.1,2.1,1.1,13.3,23.9,,1.3,2.2,3.5,.094,,0.7,-0.4,0.3,1.0
2012-13,25,DAL,NBA,SG,82,2913,13.9,.556,.340,.227,1.4,9.6,5.6,19.4,1.6,0.6,15.7,20.9,,2.3,1.8,4.2,.069,,1.1,-0.7,0.4,1.7
2013-14,26,MIL,NBA,SG,52,1346,11.2,.516,.413,.160,2.0,8.8,5.3,14.6,1.1,0.8,13.9,23.0,,0.0,0.0,0.1,.002,,-0.7,-3.5,-4.2,-0.7
2014-15,27,MIL,NBA,SG,71,1697,13.5,.529,.395,.198,2.0,10.5,6.3,19.4,1.7,0.9,14.4,23.6,,0.9,1.9,2.8,.079,,0.0,-1.3,-1.3,0.3
2015-16,28,MIL,NBA,SG,41,1090,7.7,.474,.505,.125,1.4,9.6,5.5,15.8,2.2,0.6,17.5,17.0,,-0.7,0.6,-0.1,-0.005,,-2.0,-1.5,-3.5,-0.4
Career,,,NBA,,547,16919,13.4,.530,.349,.206,2.0,9.8,5.9,15.6,1.7,0.7,13.7,22.1,,10.1,11.7,21.8,.062,,0.5,-1.3,-0.8,5.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MEM,NBA,,301,9873,14.1,.530,.322,.214,2.2,10.0,6.0,13.9,1.8,0.6,12.6,22.7,,7.6,7.3,14.9,.072,,0.8,-1.1,-0.3,4.2
3 seasons,,MIL,NBA,,164,4133,11.2,.513,.424,.170,1.8,9.7,5.8,16.9,1.6,0.8,14.9,21.7,,0.2,2.6,2.8,.032,,-0.8,-2.1,-2.8,-0.9
1 season,,DAL,NBA,,82,2913,13.9,.556,.340,.227,1.4,9.6,5.6,19.4,1.6,0.6,15.7,20.9,,2.3,1.8,4.2,.069,,1.1,-0.7,0.4,1.7
