Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2010-11,24,CHI,NBA,C,82,989,11.8,.559,.000,1.028,13.7,22.3,18.1,4.7,1.1,4.3,23.8,12.5,,0.5,2.2,2.7,.130,,-3.5,3.0,-0.5,0.4
2011-12,25,CHI,NBA,C,66,971,13.4,.509,.000,.660,14.9,25.1,20.1,4.8,1.7,5.0,25.2,12.6,,0.1,2.5,2.6,.129,,-3.3,4.4,1.1,0.8
2012-13,26,HOU,NBA,C,82,2464,14.9,.558,.002,.487,12.8,31.0,22.0,4.6,0.9,2.7,18.8,16.3,,2.0,3.5,5.5,.108,,-2.6,1.3,-1.3,0.5
2013-14,27,HOU,NBA,C,48,968,14.0,.570,.000,.663,12.3,30.1,21.7,3.8,0.7,2.8,19.4,13.8,,1.0,1.5,2.4,.121,,-3.1,0.7,-2.4,-0.1
2014-15,28,NOP,NBA,C,76,1982,15.5,.545,.000,.546,14.0,28.8,21.4,5.4,0.8,2.1,15.7,14.0,,2.8,2.2,5.0,.120,,-1.3,0.6,-0.7,0.6
2015-16,29,NOP,NBA,C,68,1178,11.0,.551,.000,.574,10.9,28.7,19.5,3.1,0.9,1.6,19.7,11.4,,0.7,1.0,1.7,.070,,-4.0,-0.2,-4.2,-0.7
Career,,,NBA,,422,8552,13.9,.551,.001,.591,13.1,28.4,20.8,4.5,1.0,2.9,19.4,13.9,,7.0,12.9,19.9,.112,,-2.7,1.4,-1.3,1.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,CHI,NBA,,148,1960,12.6,.534,.000,.835,14.3,23.7,19.1,4.7,1.4,4.6,24.5,12.6,,0.5,4.7,5.3,.129,,-3.4,3.7,0.3,1.1
2 seasons,,NOP,NBA,,144,3160,13.8,.547,.000,.555,12.8,28.8,20.7,4.5,0.8,1.9,17.0,13.0,,3.5,3.2,6.7,.101,,-2.3,0.3,-2.0,0.0
2 seasons,,HOU,NBA,,130,3432,14.6,.561,.001,.529,12.7,30.7,21.9,4.4,0.9,2.7,19.0,15.6,,3.0,5.0,8.0,.112,,-2.7,1.2,-1.6,0.4
