Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2006-07,20,GSW,NBA,C,16,119,7.3,.393,.000,.531,6.3,13.2,9.7,10.2,2.4,5.1,16.8,17.0,,-0.2,0.2,0.0,-0.003,,-6.6,2.5,-4.1,-0.1
2007-08,21,GSW,NBA,C,24,99,14.0,.561,.000,.172,10.4,21.4,15.7,5.8,2.0,6.6,18.3,16.3,,0.1,0.2,0.2,.105,,-3.5,2.6,-1.0,0.0
2008-09,22,TOT,NBA,C,39,255,11.8,.544,.024,.238,6.3,24.2,15.5,7.1,1.2,5.9,19.2,20.9,,-0.2,0.5,0.3,.056,,-5.3,2.2,-3.1,-0.1
2008-09,22,BOS,NBA,C,26,108,9.5,.551,.000,.387,8.3,29.1,19.1,11.8,1.5,5.9,31.9,23.0,,-0.2,0.3,0.1,.025,,-7.4,4.3,-3.0,0.0
2008-09,22,TOR,NBA,C,13,147,13.5,.540,.038,.151,4.8,20.6,12.8,3.6,1.1,5.8,8.1,19.3,,0.0,0.2,0.2,.079,,-3.9,0.7,-3.2,0.0
2009-10,23,TOR,NBA,C,11,51,9.9,.539,.067,.400,4.8,20.3,12.7,3.0,2.0,6.0,22.1,20.3,,-0.1,0.1,0.0,-0.009,,-6.0,0.8,-5.2,0.0
Career,,,NBA,,90,524,11.0,.513,.019,.300,6.9,20.8,13.9,7.1,1.7,5.8,18.8,19.1,,-0.4,0.9,0.5,.046,,-5.4,2.2,-3.1,-0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,GSW,NBA,,40,218,10.4,.467,.000,.361,8.2,16.9,12.4,8.2,2.2,5.8,17.5,16.7,,-0.1,0.3,0.2,.046,,-5.2,2.5,-2.7,0.0
1 season,,BOS,NBA,,26,108,9.5,.551,.000,.387,8.3,29.1,19.1,11.8,1.5,5.9,31.9,23.0,,-0.2,0.3,0.1,.025,,-7.4,4.3,-3.0,0.0
2 seasons,,TOR,NBA,,24,198,12.6,.539,.044,.206,4.8,20.5,12.8,3.4,1.3,5.9,11.9,19.5,,0.0,0.3,0.2,.056,,-4.4,0.7,-3.7,-0.1
