Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2012-13,22,TOR,NBA,PF,29,342,15.9,.632,.027,.507,10.3,16.6,13.4,5.2,2.0,3.5,15.6,14.7,,0.7,0.4,1.1,.157,,-0.6,1.3,0.7,0.2
2013-14,23,TOT,NBA,SF,63,847,10.1,.520,.106,.376,9.5,19.5,14.4,4.9,1.4,2.5,15.4,10.1,,0.6,0.9,1.5,.086,,-2.5,1.4,-1.1,0.2
2013-14,23,TOR,NBA,SF,7,61,17.2,.542,.357,.571,9.5,19.2,14.3,10.1,3.4,3.9,10.2,14.5,,0.1,0.1,0.2,.188,,0.5,3.7,4.1,0.1
2013-14,23,SAC,NBA,SF,56,786,9.6,.518,.079,.354,9.5,19.5,14.4,4.4,1.2,2.4,16.0,9.8,,0.5,0.7,1.3,.078,,-2.8,1.2,-1.5,0.1
2014-15,24,NYK,NBA,PF,68,1287,11.9,.533,.181,.293,6.9,20.5,13.5,8.7,1.1,1.4,13.8,15.5,,1.0,0.7,1.7,.063,,-2.3,-0.8,-3.1,-0.3
2015-16,25,SAC,NBA,PF,59,876,14.7,.629,.229,.318,8.1,15.1,11.6,4.4,1.6,2.2,10.0,13.1,,1.8,0.7,2.5,.137,,0.2,0.0,0.2,0.5
Career,,,NBA,,219,3352,12.6,.568,.166,.336,8.2,18.4,13.2,6.3,1.4,2.1,13.3,13.5,,4.1,2.7,6.8,.098,,-1.5,0.2,-1.3,0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,SAC,NBA,,115,1662,12.3,.587,.173,.331,8.8,17.2,12.9,4.4,1.4,2.3,12.3,11.6,,2.3,1.4,3.8,.109,,-1.2,0.6,-0.6,0.6
1 season,,NYK,NBA,,68,1287,11.9,.533,.181,.293,6.9,20.5,13.5,8.7,1.1,1.4,13.8,15.5,,1.0,0.7,1.7,.063,,-2.3,-0.8,-3.1,-0.3
2 seasons,,TOR,NBA,,36,403,16.1,.618,.079,.517,10.2,17.0,13.5,5.9,2.2,3.6,14.8,14.7,,0.8,0.5,1.4,.162,,-0.4,1.6,1.2,0.3
