Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2012-13,20,DEN,NBA,PF,7,26,5.9,.349,.083,.167,4.4,4.2,4.3,16.8,1.9,0.0,7.2,23.1,,0.0,0.0,0.0,-0.051,,-5.1,-3.3,-8.4,0.0
2013-14,21,DEN,NBA,PF,52,789,8.6,.459,.367,.215,4.9,15.2,10.1,4.9,1.4,3.0,14.6,17.7,,-0.7,0.7,0.0,.002,,-4.1,0.3,-3.8,-0.4
2014-15,22,TOT,NBA,PF,10,119,7.4,.338,.474,.289,3.7,14.9,9.4,9.8,3.0,3.3,10.5,17.8,,-0.2,0.2,-0.1,-0.030,,-5.0,1.3,-3.7,-0.1
2014-15,22,SAC,NBA,PF,6,61,11.1,.372,.389,.611,3.9,18.0,11.2,7.1,5.0,3.9,11.6,18.7,,-0.1,0.1,0.0,.010,,-4.5,3.0,-1.5,0.0
2014-15,22,DET,NBA,PF,4,58,3.6,.300,.550,.000,3.6,11.7,7.5,12.7,0.9,2.7,9.1,16.8,,-0.1,0.0,-0.1,-0.072,,-5.4,-0.5,-6.0,-0.1
Career,,,NBA,,69,934,8.4,.439,.369,.222,4.7,14.9,9.8,5.8,1.6,2.9,13.8,17.8,,-1.0,0.9,-0.1,-0.003,,-4.2,0.3,-4.0,-0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,DEN,NBA,,59,815,8.5,.454,.354,.213,4.9,14.9,9.9,5.2,1.4,2.9,14.3,17.9,,-0.7,0.7,0.0,.001,,-4.1,0.1,-4.0,-0.4
1 season,,SAC,NBA,,6,61,11.1,.372,.389,.611,3.9,18.0,11.2,7.1,5.0,3.9,11.6,18.7,,-0.1,0.1,0.0,.010,,-4.5,3.0,-1.5,0.0
1 season,,DET,NBA,,4,58,3.6,.300,.550,.000,3.6,11.7,7.5,12.7,0.9,2.7,9.1,16.8,,-0.1,0.0,-0.1,-0.072,,-5.4,-0.5,-6.0,-0.1
