Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2006-07,20,BOS,NBA,PG,78,1831,13.1,.472,.064,.409,4.7,14.6,9.5,26.3,3.6,0.3,20.5,16.5,,-0.1,2.6,2.4,.064,,-1.5,2.0,0.4,1.1
2007-08,21,BOS,NBA,PG,77,2306,15.6,.515,.027,.245,4.3,11.9,8.3,28.2,3.0,0.5,15.7,18.9,,2.3,4.9,7.2,.150,,-0.1,2.7,2.6,2.7
2008-09,22,BOS,NBA,PG,80,2642,18.8,.543,.063,.353,4.8,13.9,9.6,39.7,3.0,0.3,19.2,19.2,,4.8,5.1,9.9,.179,,2.0,2.5,4.5,4.3
2009-10 ★,23,BOS,NBA,PG,81,2963,19.1,.540,.088,.312,4.3,10.5,7.5,43.7,3.3,0.3,19.3,20.2,,4.9,4.7,9.6,.156,,2.2,1.3,3.5,4.1
2010-11 ★,24,BOS,NBA,PG,68,2527,17.1,.495,.064,.197,4.5,9.7,7.2,47.1,3.2,0.3,24.3,18.3,,1.8,4.8,6.6,.126,,0.3,1.7,2.0,2.5
2011-12 ★,25,BOS,NBA,PG,53,1957,17.5,.483,.073,.316,3.9,11.2,7.7,52.5,2.6,0.1,22.8,20.7,,1.5,3.4,4.9,.121,,0.6,0.7,1.3,1.6
2012-13 ★,26,BOS,NBA,PG,38,1423,18.1,.516,.108,.200,3.7,13.6,8.8,49.3,2.6,0.5,22.6,21.7,,1.2,2.0,3.2,.108,,1.1,0.7,1.8,1.3
2013-14,27,BOS,NBA,PG,30,998,15.3,.461,.257,.191,2.4,16.6,9.3,47.7,2.1,0.2,20.7,21.3,,0.2,1.0,1.1,.054,,0.2,-0.2,0.0,0.5
2014-15,28,TOT,NBA,PG,68,2018,13.5,.448,.133,.121,3.9,16.4,10.1,39.3,2.3,0.3,23.6,19.5,,-0.7,2.3,1.6,.037,,-1.6,1.1,-0.5,0.8
2014-15,28,BOS,NBA,PG,22,699,15.4,.422,.160,.180,3.9,22.3,12.9,49.3,2.7,0.3,25.8,18.2,,-0.2,1.1,0.9,.064,,-1.6,2.1,0.4,0.4
2014-15,28,DAL,NBA,PG,46,1319,12.4,.460,.121,.094,4.0,13.3,8.6,34.0,2.1,0.2,22.6,20.3,,-0.5,1.2,0.6,.023,,-1.5,0.5,-1.0,0.3
2015-16,29,SAC,NBA,PG,72,2537,16.9,.506,.217,.192,3.3,15.2,9.3,48.0,2.7,0.3,24.7,18.8,,2.3,2.3,4.6,.087,,0.8,0.2,1.0,1.9
Career,,,NBA,,645,21202,16.7,.504,.104,.255,4.1,13.0,8.6,41.9,2.9,0.3,21.3,19.4,,18.1,33.0,51.2,.116,,0.5,1.4,1.9,20.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 seasons,,BOS,NBA,,527,17346,17.0,.507,.085,.279,4.2,12.7,8.6,41.6,3.0,0.3,20.7,19.4,,16.4,29.5,45.9,.127,,0.7,1.6,2.3,18.7
1 season,,SAC,NBA,,72,2537,16.9,.506,.217,.192,3.3,15.2,9.3,48.0,2.7,0.3,24.7,18.8,,2.3,2.3,4.6,.087,,0.8,0.2,1.0,1.9
1 season,,DAL,NBA,,46,1319,12.4,.460,.121,.094,4.0,13.3,8.6,34.0,2.1,0.2,22.6,20.3,,-0.5,1.2,0.6,.023,,-1.5,0.5,-1.0,0.3
