Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2007-08,21,MIL,NBA,PG,17,450,16.2,.507,.060,.350,2.0,13.6,7.6,43.5,2.0,0.5,21.0,17.1,,0.5,0.2,0.7,.077,,-0.9,-2.1,-3.1,-0.1
2008-09,22,MIL,NBA,PG,79,2173,17.6,.525,.044,.457,3.3,11.7,7.3,34.6,2.0,0.3,14.0,22.4,,3.5,2.1,5.6,.123,,1.1,-0.3,0.8,1.5
2009-10,23,MIN,NBA,PG,82,1732,12.9,.513,.027,.420,3.7,10.3,6.9,23.3,1.6,0.2,17.2,19.9,,0.5,0.6,1.1,.031,,-1.9,-1.5,-3.4,-0.6
2010-11,24,CLE,NBA,PG,81,2133,19.0,.559,.019,.545,2.4,11.6,6.9,35.0,1.5,0.3,15.6,24.2,,3.8,0.6,4.4,.099,,1.3,-1.9,-0.6,0.8
2011-12,25,TOT,NBA,PG,64,1707,16.7,.535,.172,.439,2.2,12.0,7.1,35.5,1.4,0.1,17.3,21.6,,2.9,0.8,3.7,.104,,1.0,-2.0,-1.0,0.4
2011-12,25,CLE,NBA,PG,41,1006,16.4,.514,.175,.415,2.1,12.7,7.2,37.1,1.4,0.1,16.4,22.4,,1.5,0.3,1.8,.085,,0.7,-2.5,-1.8,0.1
2011-12,25,LAL,NBA,PG,23,701,17.3,.570,.166,.479,2.3,11.1,6.9,33.1,1.3,0.2,18.8,20.5,,1.4,0.5,1.9,.131,,1.3,-1.3,0.0,0.3
2012-13,26,CHA,NBA,SG,61,1652,17.7,.529,.158,.513,1.8,10.1,5.9,25.5,1.5,0.3,11.2,25.7,,2.9,0.0,2.9,.084,,1.4,-3.5,-2.1,0.0
2013-14,27,TOT,NBA,PG,83,2214,16.0,.539,.161,.525,1.9,8.6,5.2,25.7,1.2,0.3,13.5,22.7,,3.1,1.2,4.3,.094,,0.1,-2.3,-2.2,-0.1
2013-14,27,CHA,NBA,PG,55,1305,14.6,.509,.146,.503,1.9,8.3,5.1,26.2,1.3,0.4,14.1,23.4,,0.8,1.3,2.0,.075,,-1.1,-1.4,-2.6,-0.2
2013-14,27,MIL,NBA,PG,28,909,18.0,.585,.184,.559,2.0,9.1,5.4,25.1,0.9,0.3,12.7,21.6,,2.4,-0.1,2.3,.121,,1.9,-3.5,-1.6,0.1
2014-15,28,TOT,NBA,PG,64,1188,11.1,.490,.180,.518,2.3,11.2,6.9,23.0,1.2,0.0,17.3,18.7,,0.4,0.7,1.1,.044,,-2.3,-1.6,-3.9,-0.6
2014-15,28,SAC,NBA,PG,36,642,8.1,.442,.153,.481,2.4,9.6,6.1,22.7,1.0,0.0,18.7,18.7,,-0.4,0.1,-0.3,-0.025,,-3.7,-2.6,-6.2,-0.7
2014-15,28,WAS,NBA,PG,28,546,14.7,.547,.212,.563,2.1,13.1,7.7,23.4,1.5,0.0,15.7,18.6,,0.8,0.6,1.4,.125,,-0.6,-0.5,-1.0,0.1
2015-16,29,WAS,NBA,PG,82,1667,15.9,.565,.188,.478,1.6,12.2,6.8,22.0,1.3,0.2,13.8,21.8,,2.5,1.3,3.8,.109,,-0.3,-1.5,-1.8,0.1
Career,,,NBA,,613,14916,16.2,.534,.110,.486,2.4,11.0,6.6,29.1,1.5,0.2,14.9,22.2,,20.2,7.4,27.6,.089,,0.2,-1.8,-1.6,1.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIL,NBA,,124,3532,17.5,.539,.081,.472,2.8,11.3,6.9,33.3,1.7,0.3,14.4,21.5,,6.4,2.2,8.6,.117,,1.0,-1.4,-0.3,1.5
2 seasons,,CLE,NBA,,122,3139,18.1,.545,.068,.504,2.3,11.9,7.0,35.7,1.4,0.2,15.8,23.6,,5.4,0.8,6.2,.095,,1.1,-2.1,-1.0,0.8
2 seasons,,CHA,NBA,,116,2957,16.4,.521,.153,.509,1.9,9.3,5.5,25.8,1.4,0.4,12.4,24.7,,3.6,1.3,4.9,.080,,0.3,-2.6,-2.3,-0.2
2 seasons,,WAS,NBA,,110,2213,15.6,.561,.192,.495,1.8,12.4,7.0,22.3,1.4,0.2,14.2,21.0,,3.3,1.9,5.2,.113,,-0.3,-1.3,-1.6,0.2
1 season,,MIN,NBA,,82,1732,12.9,.513,.027,.420,3.7,10.3,6.9,23.3,1.6,0.2,17.2,19.9,,0.5,0.6,1.1,.031,,-1.9,-1.5,-3.4,-0.6
1 season,,SAC,NBA,,36,642,8.1,.442,.153,.481,2.4,9.6,6.1,22.7,1.0,0.0,18.7,18.7,,-0.4,0.1,-0.3,-0.025,,-3.7,-2.6,-6.2,-0.7
1 season,,LAL,NBA,,23,701,17.3,.570,.166,.479,2.3,11.1,6.9,33.1,1.3,0.2,18.8,20.5,,1.4,0.5,1.9,.131,,1.3,-1.3,0.0,0.3
