Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2006-07,23,MIN,NBA,PG,82,1879,14.0,.536,.268,.278,3.2,10.5,6.9,20.9,1.5,0.9,16.4,22.9,,1.0,1.3,2.3,.058,,-0.3,-1.3,-1.6,0.2
2007-08,24,MIN,NBA,PG,39,1259,12.7,.520,.320,.141,1.2,10.9,5.9,20.9,1.5,0.2,13.9,20.4,,0.7,0.4,1.1,.042,,0.2,-1.7,-1.4,0.2
2008-09,25,MIN,NBA,SG,70,2494,13.7,.517,.314,.277,1.5,8.8,5.0,20.5,1.5,0.8,12.0,22.6,,2.0,1.1,3.1,.059,,0.9,-1.3,-0.4,1.0
2009-10,26,WAS,NBA,PG,70,1667,13.2,.516,.294,.234,1.1,8.0,4.5,22.6,1.0,0.5,12.1,21.1,,1.6,0.7,2.2,.064,,0.1,-2.6,-2.5,-0.2
2010-11,27,LAC,NBA,SG,63,1551,11.4,.516,.409,.281,1.0,6.7,3.9,17.5,1.6,1.1,13.7,19.9,,0.9,0.8,1.7,.051,,-0.8,-1.8,-2.6,-0.2
2011-12,28,LAC,NBA,SG,65,1682,13.5,.522,.511,.132,1.7,8.1,4.9,14.2,1.5,1.2,9.7,20.7,,2.4,0.8,3.2,.092,,1.4,-1.7,-0.3,0.7
2012-13,29,UTA,NBA,SG,82,2249,11.7,.550,.588,.195,0.9,5.8,3.3,11.7,1.5,0.9,10.3,18.1,,2.8,0.9,3.7,.080,,1.7,-2.1,-0.3,0.9
2013-14,30,DEN,NBA,SG,81,2485,13.3,.558,.569,.211,1.6,8.5,5.0,17.7,1.3,1.2,13.2,18.8,,3.3,1.3,4.6,.089,,1.9,-1.0,0.9,1.8
2014-15,31,DEN,NBA,SG,50,1087,11.0,.510,.654,.137,0.9,7.8,4.2,17.0,1.6,0.8,12.3,19.3,,0.6,0.4,1.0,.045,,0.7,-1.8,-1.1,0.2
2015-16,32,TOT,NBA,SG,81,1642,7.6,.461,.519,.154,1.6,8.8,5.2,14.1,1.2,1.4,14.3,15.9,,-0.4,0.9,0.4,.012,,-2.3,-1.3,-3.6,-0.6
2015-16,32,DEN,NBA,SG,54,1070,7.8,.457,.508,.141,1.6,9.4,5.4,15.6,1.2,1.2,14.1,16.8,,-0.5,0.4,0.0,-0.002,,-2.5,-1.6,-4.1,-0.6
2015-16,32,OKC,NBA,SG,27,572,7.1,.469,.544,.181,1.6,7.8,4.9,11.3,1.1,1.7,14.8,14.1,,0.0,0.4,0.4,.038,,-1.9,-0.6,-2.5,-0.1
Career,,,NBA,,683,17995,12.4,.525,.438,.213,1.5,8.3,4.9,17.6,1.4,0.9,12.7,20.0,,14.8,8.5,23.3,.062,,0.5,-1.6,-1.1,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIN,NBA,,191,5632,13.6,.524,.300,.248,2.0,9.8,5.9,20.7,1.5,0.7,13.9,22.2,,3.6,2.8,6.4,.055,,0.4,-1.4,-1.0,1.4
3 seasons,,DEN,NBA,,185,4642,11.5,.526,.578,.178,1.4,8.6,4.9,17.1,1.4,1.1,13.2,18.5,,3.5,2.1,5.6,.058,,0.6,-1.3,-0.7,1.5
2 seasons,,LAC,NBA,,128,3233,12.5,.520,.465,.199,1.4,7.4,4.4,15.8,1.5,1.1,11.6,20.3,,3.3,1.6,4.9,.072,,0.4,-1.8,-1.4,0.5
1 season,,UTA,NBA,,82,2249,11.7,.550,.588,.195,0.9,5.8,3.3,11.7,1.5,0.9,10.3,18.1,,2.8,0.9,3.7,.080,,1.7,-2.1,-0.3,0.9
1 season,,WAS,NBA,,70,1667,13.2,.516,.294,.234,1.1,8.0,4.5,22.6,1.0,0.5,12.1,21.1,,1.6,0.7,2.2,.064,,0.1,-2.6,-2.5,-0.2
1 season,,OKC,NBA,,27,572,7.1,.469,.544,.181,1.6,7.8,4.9,11.3,1.1,1.7,14.8,14.1,,0.0,0.4,0.4,.038,,-1.9,-0.6,-2.5,-0.1
