Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2005-06,21,MIN,NBA,SG,79,1362,12.6,.539,.336,.198,2.6,9.8,6.3,8.4,1.7,1.2,12.9,23.3,,0.2,1.4,1.6,.058,,-1.1,-1.8,-2.9,-0.3
2006-07,22,MIN,NBA,SG,37,554,7.2,.454,.424,.328,3.1,6.9,5.1,10.8,2.5,1.0,16.5,20.3,,-0.7,0.5,-0.3,-0.023,,-3.4,-1.0,-4.4,-0.3
2007-08,23,MIN,NBA,SG,75,2020,14.6,.550,.370,.164,2.8,9.2,5.9,14.1,1.7,0.7,14.5,26.4,,0.9,0.8,1.7,.040,,1.4,-2.4,-1.1,0.5
2008-09,24,TOT,NBA,SG,58,1101,13.0,.504,.387,.289,2.2,9.7,5.8,10.7,2.2,1.0,10.4,25.1,,0.0,0.5,0.6,.025,,-0.9,-2.6,-3.5,-0.4
2008-09,24,MIN,NBA,SG,34,636,9.9,.470,.408,.277,1.9,9.9,5.8,8.5,2.2,0.7,12.1,26.4,,-0.7,0.4,-0.3,-0.024,,-2.5,-2.5,-5.0,-0.5
2008-09,24,SAC,NBA,SG,24,465,17.2,.553,.357,.306,2.5,9.4,5.9,13.7,2.2,1.3,7.9,23.3,,0.8,0.1,0.9,.092,,1.4,-2.8,-1.3,0.1
Career,,,NBA,,249,5037,12.9,.528,.370,.215,2.6,9.2,5.9,11.5,1.9,0.9,13.4,24.6,,0.4,3.2,3.6,.035,,-0.3,-2.2,-2.5,-0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MIN,NBA,,225,4572,12.5,.526,.371,.205,2.7,9.2,5.9,11.2,1.9,0.9,13.9,24.8,,-0.3,3.1,2.7,.029,,-0.5,-2.1,-2.6,-0.7
1 season,,SAC,NBA,,24,465,17.2,.553,.357,.306,2.5,9.4,5.9,13.7,2.2,1.3,7.9,23.3,,0.8,0.1,0.9,.092,,1.4,-2.8,-1.3,0.1
