Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2005-06,21,CHA,NBA,PG,80,2406,14.2,.483,.307,.251,3.5,9.7,6.4,30.9,2.2,0.3,15.7,21.4,,0.8,1.8,2.6,.051,,0.7,-0.8,0.0,1.2
2006-07,22,CHA,NBA,PG,78,2832,13.5,.481,.305,.250,2.1,9.3,5.6,32.0,2.2,0.3,16.8,21.9,,0.2,2.1,2.3,.039,,0.2,-0.9,-0.7,1.0
2007-08,23,CHA,NBA,PG,79,2972,13.8,.500,.201,.326,1.4,7.7,4.6,32.4,1.7,0.3,15.7,20.8,,2.0,1.4,3.4,.054,,-0.2,-1.9,-2.1,-0.1
2008-09,24,CHA,NBA,PG,82,3086,13.7,.483,.191,.251,2.2,10.2,6.2,31.1,2.2,0.8,15.9,21.9,,0.6,3.7,4.3,.066,,-0.6,0.5,-0.1,1.4
2009-10,25,CHA,NBA,PG,80,2643,15.2,.525,.184,.204,2.5,10.5,6.6,29.5,2.5,0.7,15.4,19.2,,2.5,4.0,6.5,.118,,0.5,1.1,1.6,2.4
2010-11,26,TOT,NBA,PG-SG,75,2737,16.6,.524,.327,.240,2.0,9.2,5.6,35.8,2.3,0.3,16.6,21.6,,3.6,1.8,5.4,.094,,2.0,-1.7,0.3,1.6
2010-11,26,NYK,NBA,PG,54,2074,17.3,.524,.335,.226,2.2,8.6,5.3,37.3,2.3,0.4,16.7,22.6,,2.9,1.2,4.0,.093,,2.3,-2.0,0.3,1.2
2010-11,26,DEN,NBA,SG,21,663,14.7,.523,.299,.294,1.4,11.3,6.5,31.1,2.1,0.0,16.3,18.5,,0.7,0.6,1.3,.097,,0.9,-0.5,0.4,0.4
2011-12,27,POR,NBA,PG,60,1906,13.4,.491,.316,.193,1.6,7.6,4.6,33.3,2.2,0.4,19.6,20.8,,0.7,1.0,1.7,.042,,-0.1,-1.8,-1.8,0.1
2012-13,28,NYK,NBA,PG,68,2313,15.2,.505,.293,.145,2.5,7.5,4.9,27.0,2.2,0.5,14.2,22.1,,2.5,1.7,4.2,.087,,1.1,-0.9,0.3,1.3
2013-14,29,NYK,NBA,PG,65,2017,12.9,.476,.321,.201,3.1,8.6,5.7,28.1,2.1,1.2,16.3,18.2,,1.1,1.1,2.2,.053,,-0.1,-0.8,-0.9,0.5
2014-15,30,DAL,NBA,PG,29,281,12.4,.480,.321,.142,0.8,9.4,5.1,21.9,2.0,1.2,13.8,20.7,,0.0,0.2,0.2,.039,,-1.8,-1.3,-3.0,-0.1
2015-16,31,DAL,NBA,PG,80,2192,11.9,.502,.312,.258,1.8,11.1,6.5,20.3,1.6,0.6,13.7,18.4,,1.0,1.7,2.7,.059,,-1.1,0.2,-0.9,0.6
Career,,,NBA,,776,25385,14.1,.497,.272,.235,2.2,9.2,5.7,30.2,2.1,0.5,16.0,20.7,,14.8,20.5,35.3,.067,,0.2,-0.7,-0.4,10.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,CHA,NBA,,399,13939,14.1,.493,.237,.258,2.3,9.5,5.8,31.2,2.1,0.5,15.9,21.1,,6.0,12.9,19.0,.065,,0.1,-0.4,-0.3,5.9
3 seasons,,NYK,NBA,,187,6404,15.1,.504,.315,.188,2.6,8.2,5.3,30.7,2.2,0.7,15.6,21.1,,6.4,4.0,10.4,.078,,1.1,-1.2,-0.1,3.1
2 seasons,,DAL,NBA,,109,2473,11.9,.499,.313,.242,1.7,10.9,6.3,20.5,1.6,0.6,13.7,18.6,,1.0,1.9,2.9,.056,,-1.2,0.0,-1.2,0.5
1 season,,POR,NBA,,60,1906,13.4,.491,.316,.193,1.6,7.6,4.6,33.3,2.2,0.4,19.6,20.8,,0.7,1.0,1.7,.042,,-0.1,-1.8,-1.8,0.1
1 season,,DEN,NBA,,21,663,14.7,.523,.299,.294,1.4,11.3,6.5,31.1,2.1,0.0,16.3,18.5,,0.7,0.6,1.3,.097,,0.9,-0.5,0.4,0.4
