Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2011-12,21,OKC,NBA,PG,45,501,9.2,.408,.390,.182,3.4,8.3,6.0,21.2,2.6,0.1,17.3,18.7,,-0.4,0.5,0.1,.011,,-2.6,-1.3,-3.9,-0.2
2012-13,22,OKC,NBA,PG,70,993,14.2,.531,.320,.191,2.6,15.6,9.6,19.3,1.5,1.0,13.1,18.6,,1.2,1.3,2.5,.121,,-0.3,-0.6,-0.8,0.3
2013-14,23,OKC,NBA,PG,80,2277,15.4,.527,.267,.193,2.2,12.8,7.8,23.1,1.9,0.3,14.5,22.6,,2.3,2.6,4.9,.104,,0.1,-0.5,-0.4,0.9
2014-15,24,TOT,NBA,PG,77,2268,17.2,.511,.242,.219,2.6,12.9,7.8,34.8,1.4,0.3,14.6,24.6,,3.3,1.7,4.9,.104,,1.9,-1.2,0.8,1.6
2014-15,24,OKC,NBA,PG,50,1398,15.6,.511,.274,.200,2.2,13.0,7.7,24.5,1.5,0.3,12.7,22.1,,1.8,1.1,2.9,.101,,0.7,-1.1,-0.4,0.6
2014-15,24,DET,NBA,PG,27,870,19.8,.511,.198,.245,3.4,12.7,7.9,51.2,1.2,0.4,17.0,28.6,,1.5,0.5,2.0,.110,,3.9,-1.2,2.6,1.0
2015-16,25,DET,NBA,PG,79,2424,19.6,.535,.268,.271,2.5,9.1,5.7,36.3,1.2,0.3,13.8,29.1,,4.9,1.9,6.9,.136,,3.9,-1.6,2.3,2.6
Career,,,NBA,,351,8463,16.6,.521,.271,.226,2.5,11.8,7.3,29.4,1.6,0.4,14.3,24.3,,11.4,8.0,19.4,.110,,1.5,-1.1,0.4,5.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,OKC,NBA,,245,5169,14.6,.513,.288,.194,2.4,13.0,7.9,22.6,1.8,0.4,14.0,21.3,,5.0,5.5,10.5,.097,,-0.1,-0.8,-0.8,1.5
2 seasons,,DET,NBA,,106,3294,19.6,.529,.251,.264,2.7,10.1,6.3,40.2,1.2,0.3,14.6,28.9,,6.4,2.5,8.9,.129,,3.9,-1.5,2.4,3.6
