Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2006-07,22,NYK,NBA,SF,68,1064,16.1,.531,.098,.327,11.0,21.8,16.4,7.0,2.8,3.3,13.5,15.5,,1.1,1.7,2.8,.125,,-1.0,2.4,1.4,0.9
2007-08,23,NYK,NBA,SF,65,952,11.5,.492,.065,.511,9.6,16.4,12.9,6.5,2.4,2.4,14.0,12.5,,0.4,0.9,1.3,.065,,-2.4,1.8,-0.6,0.3
2008-09,24,DEN,NBA,PF,53,780,16.8,.585,.036,.330,13.2,16.9,15.1,6.9,3.1,2.3,13.4,14.9,,1.3,1.3,2.6,.162,,0.5,2.2,2.7,0.9
2009-10,25,DEN,NBA,SF,13,91,6.6,.339,.389,.333,5.1,23.9,14.6,10.6,4.5,1.7,22.5,13.0,,-0.2,0.2,0.0,-0.001,,-5.2,4.0,-1.1,0.0
2010-11,26,TOT,NBA,SF,8,62,9.3,.542,.154,.308,3.7,9.1,6.5,4.7,3.2,2.4,6.3,11.3,,0.1,0.1,0.1,.114,,-1.9,1.0,-0.9,0.0
2010-11,26,DEN,NBA,SF,5,44,12.8,.604,.000,.444,2.7,7.6,5.2,6.6,3.4,3.4,0.0,10.9,,0.1,0.1,0.2,.182,,0.0,2.7,2.7,0.1
2010-11,26,NYK,NBA,SF,3,18,0.7,.375,.500,.000,6.3,12.8,9.5,0.0,2.8,0.0,20.0,12.3,,0.0,0.0,0.0,-0.050,,-6.6,-3.1,-9.6,0.0
2011-12,27,NYK,NBA,SF,14,115,14.3,.570,.281,.344,6.0,20.3,13.1,7.2,1.8,2.1,14.0,16.7,,0.1,0.2,0.3,.142,,-1.7,0.7,-1.0,0.0
Career,,,NBA,,221,3064,14.3,.532,.089,.376,10.6,18.6,14.6,6.9,2.8,2.7,13.8,14.3,,2.8,4.3,7.2,.113,,-1.2,2.1,0.9,2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,NYK,NBA,,150,2149,13.8,.517,.101,.394,10.1,19.3,14.6,6.7,2.6,2.8,13.8,14.2,,1.6,2.8,4.4,.098,,-1.7,2.0,0.3,1.2
3 seasons,,DEN,NBA,,71,915,15.6,.566,.063,.335,11.9,17.2,14.6,7.2,3.2,2.3,13.8,14.5,,1.3,1.5,2.8,.146,,-0.1,2.4,2.3,1.0
