Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2006-07,22,PHI,NBA,SF,67,1169,11.4,.514,.184,.222,4.0,9.1,6.6,3.8,1.7,1.5,9.1,18.7,,0.4,1.0,1.3,.055,,-2.1,-1.3,-3.4,-0.4
2007-08,23,PHI,NBA,SF,70,1039,12.1,.478,.306,.207,5.7,11.4,8.5,5.0,2.0,1.8,7.4,20.0,,0.4,1.2,1.6,.075,,-1.7,-1.0,-2.6,-0.2
2008-09,24,MIN,NBA,SG,67,1199,12.1,.532,.534,.156,3.4,9.1,6.1,3.6,2.0,1.9,8.7,18.6,,0.7,0.8,1.5,.059,,-0.2,-1.2,-1.5,0.2
2009-10,25,PHI,NBA,SG,68,857,12.7,.515,.479,.223,3.5,15.5,9.4,6.7,1.5,1.8,6.3,17.6,,0.9,0.6,1.5,.082,,-0.8,-1.9,-2.7,-0.1
2010-11,26,TOT,NBA,SF,27,336,10.8,.521,.345,.245,4.3,12.1,8.1,4.8,1.8,1.1,11.6,18.1,,0.1,0.2,0.3,.038,,-2.5,-2.3,-4.9,-0.2
2010-11,26,GSW,NBA,SF,25,331,10.7,.526,.346,.252,4.0,12.3,8.0,4.9,1.7,1.2,11.9,18.0,,0.1,0.2,0.3,.038,,-2.6,-2.4,-4.9,-0.2
2010-11,26,MEM,NBA,SF,2,5,20.4,.333,.333,.000,23.7,0.0,12.0,0.0,10.4,0.0,0.0,27.1,,0.0,0.0,0.0,.071,,0.4,-1.2,-0.8,0.0
Career,,,NBA,,299,4600,11.9,.510,.370,.203,4.2,11.0,7.5,4.6,1.8,1.7,8.3,18.7,,2.5,3.7,6.2,.064,,-1.3,-1.4,-2.7,-0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,PHI,NBA,,205,3065,12.0,.501,.307,.217,4.4,11.7,8.0,5.0,1.8,1.7,7.7,18.8,,1.7,2.7,4.4,.069,,-1.6,-1.3,-2.9,-0.7
1 season,,MIN,NBA,,67,1199,12.1,.532,.534,.156,3.4,9.1,6.1,3.6,2.0,1.9,8.7,18.6,,0.7,0.8,1.5,.059,,-0.2,-1.2,-1.5,0.2
1 season,,GSW,NBA,,25,331,10.7,.526,.346,.252,4.0,12.3,8.0,4.9,1.7,1.2,11.9,18.0,,0.1,0.2,0.3,.038,,-2.6,-2.4,-4.9,-0.2
1 season,,MEM,NBA,,2,5,20.4,.333,.333,.000,23.7,0.0,12.0,0.0,10.4,0.0,0.0,27.1,,0.0,0.0,0.0,.071,,0.4,-1.2,-0.8,0.0
