Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2007-08,21,DET,NBA,PG,57,1081,13.8,.484,.042,.408,3.5,10.8,7.1,23.9,2.5,0.4,14.8,23.1,,0.4,1.6,2.0,.090,,-1.6,0.5,-1.1,0.3
2008-09,22,DET,NBA,PG,79,2517,14.8,.508,.085,.318,3.2,9.8,6.5,26.1,1.7,0.3,14.3,23.0,,1.7,2.2,3.8,.073,,0.0,-0.5,-0.5,1.0
2009-10,23,DET,NBA,PG,73,2499,15.6,.479,.071,.324,3.1,11.1,6.8,24.7,2.2,0.4,11.4,26.4,,1.4,1.3,2.7,.052,,0.2,-1.0,-0.8,0.7
2010-11,24,DET,NBA,PG,70,2183,18.4,.544,.109,.461,3.7,8.6,6.0,27.5,1.9,0.4,13.5,24.5,,4.4,0.6,5.0,.111,,2.3,-2.0,0.3,1.3
2011-12,25,DET,NBA,SG,55,1644,17.6,.550,.174,.536,2.7,7.8,5.2,22.7,1.4,0.5,12.6,23.7,,3.8,0.7,4.5,.131,,2.2,-2.4,-0.2,0.8
2012-13,26,DET,NBA,SG,76,2171,13.0,.505,.243,.364,2.2,9.1,5.6,20.3,1.2,0.6,13.4,21.0,,1.7,0.8,2.5,.055,,-0.5,-2.0,-2.5,-0.3
2013-14,27,DET,NBA,SG,73,1950,14.0,.516,.103,.342,2.1,7.7,4.7,12.7,1.4,0.4,11.3,24.3,,1.8,0.4,2.2,.053,,-1.2,-2.9,-4.1,-1.0
2014-15,28,IND,NBA,PG,71,1874,15.4,.528,.187,.286,2.1,12.4,7.3,20.2,1.5,0.4,12.2,23.4,,1.9,2.2,4.0,.103,,0.2,-0.3,-0.1,0.9
2015-16,29,IND,NBA,PG,58,1275,12.6,.504,.187,.357,1.6,11.7,6.7,17.2,1.7,0.5,12.9,20.3,,0.5,1.5,2.0,.077,,-2.1,-0.3,-2.5,-0.2
Career,,,NBA,,612,17194,15.1,.513,.130,.369,2.7,9.8,6.2,22.1,1.7,0.4,12.8,23.5,,17.5,11.2,28.7,.080,,0.1,-1.3,-1.2,3.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,DET,NBA,,483,14045,15.3,.512,.117,.381,2.9,9.3,6.0,22.7,1.7,0.4,12.8,23.8,,15.1,7.6,22.7,.078,,0.3,-1.5,-1.2,2.7
2 seasons,,IND,NBA,,129,3149,14.3,.519,.187,.312,1.9,12.1,7.1,19.0,1.6,0.5,12.5,22.1,,2.4,3.7,6.1,.093,,-0.7,-0.3,-1.1,0.7
