Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2006-07,21,UTA,NBA,SG,56,675,15.2,.566,.047,.430,6.7,6.8,6.7,5.7,2.9,0.7,9.5,16.8,,1.1,0.7,1.7,.124,,0.1,-0.2,-0.2,0.3
2007-08,22,UTA,NBA,SG,76,2088,18.4,.612,.079,.405,5.7,7.0,6.4,9.7,3.2,0.7,8.5,17.5,,5.4,2.4,7.8,.178,,3.0,0.9,3.9,3.1
2008-09,23,UTA,NBA,SF,81,2605,16.1,.565,.103,.425,4.6,9.1,6.9,10.9,2.7,0.9,10.1,18.8,,3.9,2.9,6.8,.126,,1.0,1.0,2.0,2.7
2009-10,24,TOT,NBA,SG,58,1742,12.5,.524,.072,.310,3.1,9.4,6.4,12.7,2.7,0.7,9.8,13.9,,1.6,2.2,3.7,.103,,-0.5,1.6,1.1,1.4
2009-10,24,UTA,NBA,SG,53,1662,12.8,.530,.075,.308,3.2,9.4,6.4,13.1,2.6,0.7,9.7,14.1,,1.7,2.1,3.8,.108,,-0.3,1.6,1.3,1.4
2009-10,24,MEM,NBA,SG,5,80,5.9,.329,.000,.385,1.5,8.8,5.1,4.9,3.8,0.0,11.6,9.4,,-0.1,0.1,0.0,-0.010,,-5.2,1.5,-3.7,0.0
2010-11,25,CHI,NBA,SG,81,1781,13.8,.518,.063,.311,3.7,13.2,8.6,12.1,3.2,0.9,10.2,13.9,,1.7,3.8,5.4,.147,,-1.4,3.2,1.8,1.7
2011-12,26,CHI,NBA,SG,66,1635,12.3,.465,.155,.225,5.0,10.6,7.9,12.7,2.4,0.9,10.8,15.3,,1.0,2.9,3.9,.113,,-1.0,2.3,1.2,1.3
2012-13,27,TOT,NBA,SF,60,853,10.0,.416,.384,.197,5.7,13.5,9.6,8.6,2.7,0.6,7.7,12.7,,0.1,1.0,1.1,.060,,-1.8,1.0,-0.8,0.3
2012-13,27,NYK,NBA,SF,46,711,10.2,.432,.406,.223,4.6,12.1,8.2,8.4,2.6,0.7,6.8,13.6,,0.1,0.7,0.8,.057,,-1.6,0.7,-0.9,0.2
2012-13,27,OKC,NBA,SF,14,142,9.1,.283,.217,.000,11.3,20.3,16.2,9.4,3.3,0.0,14.8,8.6,,0.0,0.3,0.2,.072,,-2.7,2.6,-0.1,0.1
2013-14,28,TOT,NBA,SF,24,160,3.4,.220,.533,.133,1.5,7.9,4.9,8.1,1.9,0.5,11.2,4.9,,-0.1,0.1,0.0,.004,,-4.6,1.2,-3.4,-0.1
2013-14,28,HOU,NBA,SF,23,158,3.5,.220,.533,.133,1.5,8.0,4.9,8.2,1.9,0.5,11.2,5.0,,-0.1,0.1,0.0,.004,,-4.6,1.2,-3.4,-0.1
2013-14,28,CHI,NBA,SF,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.029,,-7.3,1.0,-6.3,0.0
Career,,,NBA,,502,11539,14.4,.539,.112,.347,4.7,9.8,7.3,10.9,2.8,0.8,9.6,15.8,,14.6,15.9,30.4,.127,,0.1,1.5,1.7,10.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,UTA,NBA,,266,7030,15.9,.573,.085,.396,4.8,8.4,6.6,10.6,2.9,0.8,9.5,17.1,,12.0,8.1,20.1,.137,,1.2,1.0,2.2,7.5
3 seasons,,CHI,NBA,,148,3418,13.1,.492,.110,.267,4.3,12.0,8.3,12.4,2.8,0.9,10.5,14.6,,2.7,6.6,9.3,.130,,-1.2,2.7,1.5,3.0
1 season,,NYK,NBA,,46,711,10.2,.432,.406,.223,4.6,12.1,8.2,8.4,2.6,0.7,6.8,13.6,,0.1,0.7,0.8,.057,,-1.6,0.7,-0.9,0.2
1 season,,HOU,NBA,,23,158,3.5,.220,.533,.133,1.5,8.0,4.9,8.2,1.9,0.5,11.2,5.0,,-0.1,0.1,0.0,.004,,-4.6,1.2,-3.4,-0.1
1 season,,OKC,NBA,,14,142,9.1,.283,.217,.000,11.3,20.3,16.2,9.4,3.3,0.0,14.8,8.6,,0.0,0.3,0.2,.072,,-2.7,2.6,-0.1,0.1
1 season,,MEM,NBA,,5,80,5.9,.329,.000,.385,1.5,8.8,5.1,4.9,3.8,0.0,11.6,9.4,,-0.1,0.1,0.0,-0.010,,-5.2,1.5,-3.7,0.0
