Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2008-09,22,IND,NBA,C,70,1009,16.1,.510,.000,.350,12.4,14.1,13.3,7.9,1.0,5.6,10.2,23.3,,1.0,1.2,2.1,.102,,-1.9,0.5,-1.3,0.2
2009-10,23,IND,NBA,C,81,2035,16.2,.537,.008,.286,9.4,15.5,12.4,13.5,0.7,4.6,14.1,22.2,,1.6,2.5,4.1,.098,,-1.4,1.8,0.3,1.2
2010-11,24,IND,NBA,C,81,2244,15.9,.507,.004,.309,9.1,21.0,15.1,12.8,0.7,4.6,15.5,23.6,,0.3,3.3,3.6,.077,,-2.5,2.3,-0.2,1.0
2011-12 ★,25,IND,NBA,C,65,1937,19.3,.539,.001,.358,12.5,20.7,16.6,9.9,0.9,5.2,14.2,21.1,,3.2,3.0,6.2,.154,,0.5,2.4,3.0,2.4
2012-13,26,IND,NBA,C,79,2269,17.3,.489,.005,.261,14.8,17.4,16.1,8.9,0.9,6.7,14.5,22.5,,1.3,4.9,6.1,.129,,-1.9,3.8,1.9,2.2
2013-14 ★,27,IND,NBA,C,81,2409,13.5,.499,.007,.357,9.9,15.0,12.5,6.2,0.6,5.7,14.5,19.4,,0.5,5.0,5.4,.108,,-3.4,3.3,-0.2,1.1
2014-15,28,IND,NBA,C,76,1926,15.4,.501,.003,.287,9.0,21.9,15.5,7.4,0.5,5.1,11.8,21.3,,1.0,3.2,4.2,.105,,-3.1,2.1,-1.0,0.5
2015-16,29,LAL,NBA,C,81,1878,11.2,.507,.005,.353,7.3,15.8,11.4,8.0,0.9,4.6,13.8,12.9,,1.1,1.0,2.2,.056,,-3.1,1.9,-1.3,0.3
Career,,,NBA,,614,15707,15.6,.511,.004,.314,10.5,17.8,14.2,9.4,0.8,5.3,13.9,20.7,,10.0,24.0,34.0,.104,,-2.2,2.4,0.3,9.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,IND,NBA,,533,13829,16.2,.511,.004,.311,10.9,18.1,14.6,9.6,0.7,5.4,13.9,21.8,,8.9,23.0,31.9,.111,,-2.0,2.5,0.5,8.6
1 season,,LAL,NBA,,81,1878,11.2,.507,.005,.353,7.3,15.8,11.4,8.0,0.9,4.6,13.8,12.9,,1.1,1.0,2.2,.056,,-3.1,1.9,-1.3,0.3
