Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2006-07,20,MEM,NBA,SF,78,2103,12.4,.497,.188,.275,5.3,14.5,9.9,8.0,1.7,2.7,14.1,21.3,,-0.5,1.0,0.5,.011,,-2.2,-0.3,-2.5,-0.3
2007-08,21,MEM,NBA,SF,81,3000,17.4,.546,.286,.233,5.2,13.5,9.3,9.3,1.9,1.9,11.3,25.0,,2.9,2.1,5.0,.080,,1.3,-0.5,0.8,2.1
2008-09,22,MEM,NBA,SF,79,2945,15.3,.528,.192,.273,4.5,13.9,9.1,8.7,1.8,1.6,12.6,25.6,,0.7,2.6,3.3,.054,,-0.7,-0.7,-1.4,0.5
2009-10,23,MEM,NBA,SF,80,3175,16.2,.535,.157,.311,4.2,13.2,8.7,7.8,1.9,1.5,10.3,22.5,,4.0,2.4,6.4,.096,,0.7,-0.2,0.4,1.9
2010-11,24,MEM,NBA,SF,54,2152,17.8,.548,.166,.277,4.5,14.2,9.3,11.6,2.2,2.2,12.2,23.3,,2.7,2.9,5.5,.123,,1.4,1.4,2.7,2.6
2011-12,25,MEM,NBA,SF,65,2422,17.8,.521,.162,.246,6.1,14.1,10.1,10.8,2.1,1.8,12.0,25.1,,2.8,3.3,6.0,.120,,1.0,0.8,1.8,2.3
2012-13,26,TOT,NBA,SF,75,2687,15.6,.494,.208,.235,4.3,16.3,10.2,13.6,2.3,1.6,12.5,27.2,,0.1,3.9,4.0,.072,,-0.5,0.9,0.5,1.7
2012-13,26,MEM,NBA,SF,42,1541,14.1,.478,.188,.227,4.2,15.1,9.5,12.4,2.0,1.7,12.1,25.7,,-0.2,2.6,2.4,.075,,-1.2,1.3,0.1,0.8
2012-13,26,TOR,NBA,SF,33,1146,17.6,.513,.232,.246,4.4,17.8,11.0,15.3,2.6,1.5,13.1,29.1,,0.3,1.4,1.6,.068,,0.4,0.4,0.9,0.8
2013-14,27,TOT,NBA,SF,73,2531,18.3,.540,.167,.328,5.0,14.8,9.8,15.1,1.9,1.8,14.2,27.6,,2.3,2.5,4.8,.091,,0.6,0.3,0.9,1.8
2013-14,27,TOR,NBA,SF,18,639,14.7,.468,.176,.263,5.3,19.1,12.1,11.5,2.3,2.9,13.6,30.8,,-0.8,1.1,0.3,.021,,-3.2,1.1,-2.1,0.0
2013-14,27,SAC,NBA,SF,55,1892,19.6,.567,.164,.354,4.9,13.3,9.1,16.3,1.8,1.4,14.5,26.6,,3.0,1.5,4.5,.114,,1.9,0.0,1.9,1.9
2014-15,28,SAC,NBA,SF,68,2408,19.7,.556,.197,.352,4.8,13.7,9.4,19.0,1.5,1.3,12.4,27.0,,4.8,1.3,6.1,.122,,2.8,-0.7,2.1,2.5
2015-16,29,SAC,NBA,SF,70,2379,15.5,.538,.214,.252,4.7,15.9,10.4,8.0,2.0,1.7,11.1,22.4,,1.8,2.1,3.8,.078,,-0.4,0.1,-0.4,1.0
Career,,,NBA,,723,25802,16.6,.531,.196,.278,4.8,14.4,9.6,11.1,1.9,1.8,12.2,24.8,,21.5,24.1,45.5,.085,,0.4,0.1,0.5,16.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,MEM,NBA,,479,17338,16.1,.526,.195,.265,4.9,14.0,9.4,9.5,1.9,1.9,11.9,24.1,,12.4,16.8,29.2,.081,,0.2,0.1,0.3,10.0
3 seasons,,SAC,NBA,,193,6679,18.2,.553,.193,.319,4.8,14.4,9.7,14.3,1.8,1.5,12.6,25.2,,9.6,4.9,14.5,.104,,1.4,-0.2,1.2,5.3
2 seasons,,TOR,NBA,,51,1785,16.5,.497,.211,.252,4.7,18.3,11.4,13.9,2.5,2.0,13.3,29.7,,-0.5,2.4,1.9,.051,,-0.9,0.7,-0.2,0.8
