Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2004-05,20,LAL,NBA,SG,35,403,8.9,.403,.538,.162,3.7,13.6,8.7,19.5,1.6,0.4,10.7,15.8,,0.0,0.1,0.2,.018,,-1.9,-1.7,-3.6,-0.2
2005-06,21,LAL,NBA,PG,82,1449,8.4,.479,.551,.167,2.7,10.2,6.5,14.1,1.7,0.2,13.0,12.1,,0.8,1.2,2.0,.066,,-1.6,-0.8,-2.4,-0.1
2006-07,22,LAL,NBA,SG,73,935,11.7,.540,.601,.183,3.5,9.8,6.7,10.3,2.3,0.1,9.4,15.4,,1.2,0.6,1.8,.091,,0.5,-1.8,-1.3,0.2
2007-08,23,LAL,NBA,SG,72,1279,15.1,.605,.560,.189,1.7,11.3,6.7,8.7,1.4,0.3,9.1,19.8,,2.4,1.2,3.6,.136,,2.1,-2.3,-0.2,0.6
2008-09,24,LAL,NBA,SG,80,1293,12.6,.531,.556,.190,1.7,10.0,5.9,12.2,3.0,0.4,7.5,16.0,,1.8,1.9,3.7,.138,,0.8,0.1,0.8,0.9
2009-10,25,LAL,NBA,SG,67,575,11.4,.518,.494,.201,4.9,10.4,7.7,10.5,1.8,0.5,8.7,15.2,,0.7,0.7,1.4,.120,,-0.4,-0.5,-0.9,0.2
2010-11,26,TOT,NBA,SG,67,1648,12.3,.515,.440,.161,2.1,11.5,6.7,13.7,1.7,0.2,9.4,19.8,,1.1,1.0,2.1,.061,,0.6,-1.1,-0.5,0.6
2010-11,26,LAL,NBA,SG,11,54,3.4,.419,.304,.087,2.2,6.1,4.2,14.5,1.0,0.0,17.3,24.4,,-0.1,0.0,-0.1,-0.082,,-6.3,-3.8,-10.1,-0.1
2010-11,26,NJN,NBA,SG,56,1594,12.6,.518,.446,.164,2.1,11.7,6.7,13.6,1.8,0.2,9.0,19.6,,1.2,1.0,2.2,.066,,0.8,-1.0,-0.2,0.7
2013-14,29,LAC,NBA,SG,2,10,1.5,.500,.400,.000,0.0,32.2,16.7,0.0,5.0,0.0,37.5,35.3,,-0.1,0.0,-0.1,-0.289,,-16.7,-3.4,-20.1,0.0
2015-16,31,NYK,NBA,SG,61,908,11.1,.503,.516,.141,3.2,14.6,9.0,14.3,1.9,0.4,13.0,16.8,,0.3,0.8,1.1,.060,,-0.8,-0.7,-1.5,0.1
Career,,,NBA,,539,8500,11.7,.526,.525,.174,2.6,11.2,6.9,12.5,2.0,0.3,10.0,16.6,,8.2,7.7,15.9,.090,,0.1,-1.1,-1.0,2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,LAL,NBA,,420,5988,11.5,.533,.553,.182,2.7,10.5,6.7,12.0,2.0,0.3,9.7,15.7,,6.7,5.9,12.6,.101,,0.1,-1.1,-1.1,1.4
1 season,,NYK,NBA,,61,908,11.1,.503,.516,.141,3.2,14.6,9.0,14.3,1.9,0.4,13.0,16.8,,0.3,0.8,1.1,.060,,-0.8,-0.7,-1.5,0.1
1 season,,NJN,NBA,,56,1594,12.6,.518,.446,.164,2.1,11.7,6.7,13.6,1.8,0.2,9.0,19.6,,1.2,1.0,2.2,.066,,0.8,-1.0,-0.2,0.7
1 season,,LAC,NBA,,2,10,1.5,.500,.400,.000,0.0,32.2,16.7,0.0,5.0,0.0,37.5,35.3,,-0.1,0.0,-0.1,-0.289,,-16.7,-3.4,-20.1,0.0
