Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2004-05,19,LAC,NBA,PG,30,814,10.4,.461,.009,.274,3.3,9.6,6.6,29.9,2.1,1.0,23.7,18.0,,-0.6,0.7,0.1,.008,,-2.8,-0.3,-3.1,-0.2
2005-06,20,LAC,NBA,PG,61,1525,10.2,.460,.023,.221,3.3,10.4,7.0,27.2,1.6,1.6,22.5,15.0,,-0.5,1.8,1.3,.041,,-2.9,0.8,-2.1,0.0
2006-07,21,LAC,NBA,PG,54,1611,13.7,.503,.036,.258,4.2,9.4,6.8,28.3,1.9,1.4,17.8,17.4,,0.9,1.6,2.4,.072,,-0.9,0.0,-0.9,0.5
2008-09,23,TOT,NBA,PG,12,231,12.1,.551,.000,.167,1.5,12.7,7.0,13.9,1.6,0.6,12.3,14.2,,0.2,0.2,0.4,.074,,-2.9,-0.5,-3.4,-0.1
2008-09,23,MIA,NBA,PG,4,41,5.4,.461,.000,.500,0.0,5.9,2.9,14.2,2.6,0.0,23.5,14.6,,-0.1,0.0,0.0,-0.021,,-7.1,-1.2,-8.3,-0.1
2008-09,23,OKC,NBA,PG,8,190,13.5,.567,.000,.115,1.8,14.2,7.9,13.8,1.3,0.8,9.9,14.1,,0.2,0.1,0.4,.095,,-2.0,-0.4,-2.4,0.0
2009-10,24,TOT,NBA,PG,36,796,12.8,.563,.030,.239,2.3,9.0,5.6,26.3,1.1,1.1,20.7,15.9,,0.7,0.5,1.2,.070,,-1.5,-1.2,-2.7,-0.1
2009-10,24,OKC,NBA,PG,10,130,4.7,.313,.125,.000,3.6,13.8,8.8,14.7,2.0,1.1,33.3,8.3,,-0.2,0.2,0.0,-0.004,,-5.9,2.5,-3.4,0.0
2009-10,24,WAS,NBA,PG,26,666,14.4,.582,.022,.259,2.0,8.1,5.0,28.6,0.9,1.0,19.5,17.4,,0.9,0.3,1.2,.085,,-0.6,-1.9,-2.5,-0.1
2010-11,25,CHA,NBA,PG,73,1261,14.3,.530,.010,.315,2.8,11.6,7.2,22.5,2.0,1.9,16.3,20.1,,0.7,1.2,1.9,.073,,-2.0,0.1,-1.9,0.0
2011-12,26,MIL,NBA,SG,58,1092,11.0,.520,.011,.292,3.8,8.7,6.2,16.6,1.3,1.4,17.8,15.0,,0.7,0.6,1.3,.055,,-2.4,-0.3,-2.7,-0.2
2012-13,27,TOT,NBA,PG,66,1455,13.0,.536,.012,.283,2.4,10.4,6.2,23.2,1.7,1.7,16.3,14.3,,1.7,0.9,2.6,.086,,-1.7,-0.1,-1.8,0.1
2012-13,27,WAS,NBA,PG,17,320,7.4,.434,.045,.227,0.7,12.2,6.4,18.1,1.8,0.5,19.0,12.8,,-0.2,0.4,0.2,.028,,-5.5,1.0,-4.5,-0.2
2012-13,27,CLE,NBA,PG,49,1135,14.6,.559,.004,.296,2.8,9.8,6.2,24.6,1.7,2.1,15.7,14.7,,1.9,0.6,2.4,.102,,-0.7,-0.4,-1.1,0.3
2013-14,28,BRK,NBA,PG,76,1974,14.5,.551,.012,.392,4.1,10.8,7.5,20.1,2.5,1.3,15.5,16.1,,2.6,1.8,4.4,.108,,-0.5,1.1,0.6,1.3
2014-15,29,GSW,NBA,PG,78,1468,12.9,.529,.005,.230,3.3,10.0,6.7,24.2,1.6,1.0,19.0,15.9,,1.5,1.8,3.3,.107,,-2.1,0.4,-1.7,0.1
2015-16,30,GSW,NBA,PG,78,1520,13.8,.581,.032,.245,3.2,8.5,6.0,21.0,1.8,1.3,15.7,14.2,,2.9,1.7,4.6,.145,,-0.6,0.1,-0.5,0.6
Career,,,NBA,,622,13747,12.8,.526,.018,.278,3.3,10.0,6.7,23.5,1.8,1.4,18.0,16.1,,10.7,12.8,23.5,.082,,-1.7,0.2,-1.5,1.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,GSW,NBA,,156,2988,13.4,.554,.018,.237,3.2,9.2,6.3,22.5,1.7,1.2,17.4,15.0,,4.4,3.4,7.9,.126,,-1.4,0.2,-1.1,0.7
3 seasons,,LAC,NBA,,145,3950,11.7,.479,.026,.249,3.7,9.8,6.8,28.2,1.8,1.4,20.7,16.6,,-0.2,4.1,3.9,.047,,-2.1,0.3,-1.8,0.2
1 season,,BRK,NBA,,76,1974,14.5,.551,.012,.392,4.1,10.8,7.5,20.1,2.5,1.3,15.5,16.1,,2.6,1.8,4.4,.108,,-0.5,1.1,0.6,1.3
1 season,,CHA,NBA,,73,1261,14.3,.530,.010,.315,2.8,11.6,7.2,22.5,2.0,1.9,16.3,20.1,,0.7,1.2,1.9,.073,,-2.0,0.1,-1.9,0.0
1 season,,MIL,NBA,,58,1092,11.0,.520,.011,.292,3.8,8.7,6.2,16.6,1.3,1.4,17.8,15.0,,0.7,0.6,1.3,.055,,-2.4,-0.3,-2.7,-0.2
1 season,,CLE,NBA,,49,1135,14.6,.559,.004,.296,2.8,9.8,6.2,24.6,1.7,2.1,15.7,14.7,,1.9,0.6,2.4,.102,,-0.7,-0.4,-1.1,0.3
2 seasons,,WAS,NBA,,43,986,12.1,.544,.028,.251,1.6,9.4,5.5,25.2,1.2,0.9,19.4,15.9,,0.7,0.7,1.4,.066,,-2.2,-1.0,-3.2,-0.3
2 seasons,,OKC,NBA,,18,320,9.9,.510,.029,.088,2.5,14.0,8.3,14.2,1.6,0.9,16.5,11.7,,0.0,0.3,0.4,.055,,-3.6,0.8,-2.8,-0.1
1 season,,MIA,NBA,,4,41,5.4,.461,.000,.500,0.0,5.9,2.9,14.2,2.6,0.0,23.5,14.6,,-0.1,0.0,0.0,-0.021,,-7.1,-1.2,-8.3,-0.1
