Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2011-12,21,WAS,NBA,PG,64,779,11.9,.468,.191,.268,1.7,11.7,6.7,26.0,1.9,0.2,16.3,16.9,,0.2,0.5,0.7,.042,,-2.1,-1.8,-3.9,-0.4
2012-13,22,TOT,NBA,PG-SG,31,416,11.3,.537,.389,.127,0.8,10.0,5.4,26.3,1.9,0.0,20.4,18.5,,0.1,0.4,0.5,.056,,-2.1,-1.8,-3.9,-0.2
2012-13,22,WAS,NBA,PG,7,141,10.4,.453,.325,.050,2.3,10.3,6.3,26.3,2.2,0.0,16.4,15.8,,0.0,0.2,0.2,.052,,-2.6,-0.4,-3.0,0.0
2012-13,22,PHI,NBA,SG,4,7,-6.4,.500,.500,.000,0.0,0.0,0.0,22.6,0.0,0.0,50.0,26.3,,-0.1,0.0,-0.1,-0.348,,-15.1,-9.0,-24.1,0.0
2012-13,22,ATL,NBA,PG,20,268,12.3,.577,.417,.167,0.0,10.1,5.1,26.3,1.7,0.0,21.0,19.7,,0.1,0.2,0.4,.068,,-1.5,-2.4,-3.8,-0.1
2013-14,23,ATL,NBA,PG,73,1490,13.2,.510,.367,.148,1.6,10.7,6.2,28.8,1.7,0.1,14.3,19.0,,1.2,1.2,2.3,.074,,-0.7,-1.7,-2.4,-0.1
2014-15,24,ATL,NBA,PG,55,833,13.2,.489,.435,.106,1.1,9.5,5.4,28.6,1.8,0.2,13.8,19.5,,0.5,0.8,1.3,.075,,-0.9,-2.2,-3.1,-0.2
2015-16,25,TOT,NBA,PG,52,1058,13.6,.507,.301,.147,1.4,12.5,7.0,30.6,1.7,0.2,17.7,23.3,,0.2,1.2,1.3,.061,,-0.5,-0.8,-1.2,0.2
2015-16,25,ATL,NBA,PG,24,179,15.4,.464,.284,.126,1.2,11.9,6.7,36.9,2.2,0.0,12.3,28.5,,-0.1,0.3,0.2,.045,,-1.3,-1.8,-3.1,0.0
2015-16,25,UTA,NBA,PG,28,879,13.2,.520,.306,.153,1.5,12.6,7.0,29.3,1.6,0.3,19.2,22.2,,0.2,0.9,1.2,.064,,-0.3,-0.5,-0.8,0.3
Career,,,NBA,,275,4576,12.9,.501,.339,.155,1.4,11.0,6.3,28.5,1.8,0.2,15.9,19.7,,2.1,4.0,6.1,.064,,-1.0,-1.6,-2.6,-0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,ATL,NBA,,172,2770,13.3,.505,.384,.135,1.3,10.4,5.9,29.0,1.8,0.1,14.6,19.8,,1.7,2.4,4.2,.072,,-0.9,-1.9,-2.8,-0.6
2 seasons,,WAS,NBA,,71,920,11.7,.465,.212,.235,1.8,11.5,6.6,26.0,1.9,0.2,16.3,16.7,,0.2,0.6,0.8,.044,,-2.2,-1.5,-3.8,-0.4
1 season,,UTA,NBA,,28,879,13.2,.520,.306,.153,1.5,12.6,7.0,29.3,1.6,0.3,19.2,22.2,,0.2,0.9,1.2,.064,,-0.3,-0.5,-0.8,0.3
1 season,,PHI,NBA,,4,7,-6.4,.500,.500,.000,0.0,0.0,0.0,22.6,0.0,0.0,50.0,26.3,,-0.1,0.0,-0.1,-0.348,,-15.1,-9.0,-24.1,0.0
