Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2008-09,22,DEN,NBA,SG,12,55,-3.9,.333,.120,.320,0.0,8.2,4.2,8.7,0.9,0.0,17.4,27.9,,-0.3,0.0,-0.3,-0.255,,-12.6,-4.5,-17.2,-0.2
2009-10,23,TOR,NBA,SG,69,1368,12.9,.533,.033,.140,3.7,12.6,8.3,11.6,1.5,1.4,11.8,18.4,,0.8,0.5,1.3,.044,,-1.2,-0.7,-1.9,0.0
2010-11,24,TOR,NBA,SF,59,1413,10.2,.492,.119,.183,3.2,9.8,6.4,11.6,1.2,0.1,13.4,20.3,,-0.4,0.0,-0.4,-0.013,,-2.3,-2.4,-4.7,-1.0
2015-16,29,TOT,NBA,SG-SF,43,499,3.7,.459,.373,.136,1.5,10.3,5.8,14.2,1.0,0.2,26.0,13.5,,-0.7,0.1,-0.5,-0.053,,-5.7,-1.8,-7.6,-0.7
2015-16,29,PHO,NBA,SG,36,421,4.3,.475,.360,.146,1.5,9.2,5.3,16.2,1.2,0.2,28.1,13.3,,-0.5,0.1,-0.4,-0.043,,-5.3,-1.5,-6.8,-0.5
2015-16,29,PHI,NBA,SF,7,78,0.8,.388,.429,.095,1.3,15.9,8.4,3.9,0.0,0.0,15.5,14.5,,-0.2,0.0,-0.2,-0.104,,-8.2,-3.5,-11.7,-0.2
Career,,,NBA,,183,3335,10.1,.501,.108,.164,3.1,11.0,7.1,12.0,1.3,0.6,14.3,18.6,,-0.6,0.6,0.0,.001,,-2.5,-1.7,-4.2,-1.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,TOR,NBA,,128,2781,11.5,.511,.078,.163,3.5,11.2,7.3,11.6,1.4,0.7,12.7,19.4,,0.4,0.5,0.9,.015,,-1.8,-1.6,-3.4,-1.0
1 season,,PHO,NBA,,36,421,4.3,.475,.360,.146,1.5,9.2,5.3,16.2,1.2,0.2,28.1,13.3,,-0.5,0.1,-0.4,-0.043,,-5.3,-1.5,-6.8,-0.5
1 season,,DEN,NBA,,12,55,-3.9,.333,.120,.320,0.0,8.2,4.2,8.7,0.9,0.0,17.4,27.9,,-0.3,0.0,-0.3,-0.255,,-12.6,-4.5,-17.2,-0.2
1 season,,PHI,NBA,,7,78,0.8,.388,.429,.095,1.3,15.9,8.4,3.9,0.0,0.0,15.5,14.5,,-0.2,0.0,-0.2,-0.104,,-8.2,-3.5,-11.7,-0.2
