Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,22,NJN,NBA,SF,78,1764,11.5,.459,.154,.221,2.9,20.6,11.4,22.4,1.3,0.4,14.8,21.8,,-1.5,1.3,-0.3,-0.007,,-3.2,-0.6,-3.8,-0.8
2010-11,23,TOT,NBA,SG,21,290,6.9,.427,.191,.183,1.6,19.3,10.3,22.0,1.6,0.0,21.0,24.7,,-0.8,0.2,-0.6,-0.096,,-6.2,-1.1,-7.3,-0.4
2010-11,23,NJN,NBA,SG,10,206,6.2,.433,.164,.137,1.7,19.5,10.3,25.6,1.3,0.0,24.4,23.1,,-0.6,0.1,-0.4,-0.102,,-6.0,-0.7,-6.7,-0.2
2010-11,23,HOU,NBA,SG,11,84,8.6,.416,.238,.262,1.3,18.9,10.1,13.2,2.4,0.0,14.6,28.8,,-0.2,0.1,-0.1,-0.080,,-6.7,-2.1,-8.8,-0.1
2011-12,24,TOT,NBA,SG,30,550,13.1,.488,.232,.232,2.5,18.7,10.3,19.2,1.9,0.9,16.5,20.9,,-0.1,0.4,0.3,.029,,-2.1,-0.5,-2.5,-0.1
2011-12,24,HOU,NBA,SG,12,181,6.2,.434,.333,.211,1.3,16.8,9.0,8.3,1.2,0.4,13.8,18.1,,-0.2,0.1,-0.1,-0.019,,-4.8,-1.2,-5.9,-0.2
2011-12,24,SAC,NBA,SG,18,369,16.5,.510,.191,.241,3.1,19.7,11.0,24.6,2.2,1.2,17.5,22.2,,0.2,0.2,0.4,.052,,-0.7,-0.1,-0.8,0.1
2012-13,25,BOS,NBA,SF,24,318,12.3,.518,.155,.216,1.5,14.4,8.2,19.7,1.8,0.5,17.2,19.1,,-0.1,0.4,0.3,.046,,-3.2,-0.3,-3.5,-0.1
Career,,,NBA,,153,2922,11.5,.466,.172,.219,2.5,19.5,10.7,21.5,1.5,0.5,16.0,21.6,,-2.5,2.3,-0.2,-0.004,,-3.3,-0.6,-3.8,-1.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,NJN,NBA,,88,1970,11.0,.457,.155,.213,2.8,20.5,11.3,22.8,1.3,0.4,15.8,21.9,,-2.1,1.4,-0.7,-0.017,,-3.5,-0.6,-4.1,-1.0
1 season,,BOS,NBA,,24,318,12.3,.518,.155,.216,1.5,14.4,8.2,19.7,1.8,0.5,17.2,19.1,,-0.1,0.4,0.3,.046,,-3.2,-0.3,-3.5,-0.1
2 seasons,,HOU,NBA,,23,265,7.0,.426,.293,.232,1.3,17.5,9.3,9.9,1.6,0.3,14.2,21.5,,-0.4,0.2,-0.2,-0.038,,-5.4,-1.4,-6.8,-0.3
1 season,,SAC,NBA,,18,369,16.5,.510,.191,.241,3.1,19.7,11.0,24.6,2.2,1.2,17.5,22.2,,0.2,0.2,0.4,.052,,-0.7,-0.1,-0.8,0.1
