Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2006-07,22,CHI,NBA,SG,71,868,8.5,.464,.164,.176,4.6,15.4,10.1,10.7,1.9,1.0,17.9,17.2,,-0.8,1.7,0.8,.047,,-4.5,1.6,-2.9,-0.2
2007-08,23,CHI,NBA,SG,69,1436,11.4,.497,.209,.247,3.8,16.7,10.0,14.3,2.2,1.6,16.6,17.3,,-0.3,1.8,1.5,.050,,-2.6,1.3,-1.3,0.3
2008-09,24,TOT,NBA,SF-SG,66,1453,12.1,.500,.244,.204,4.2,14.9,9.6,11.4,2.7,2.3,14.1,13.8,,0.4,1.8,2.2,.074,,-1.8,2.3,0.5,0.9
2008-09,24,CHI,NBA,SF,43,735,11.7,.503,.275,.137,4.1,15.0,9.6,13.1,2.5,1.9,16.1,14.0,,0.1,0.9,1.0,.067,,-1.9,1.7,-0.2,0.3
2008-09,24,OKC,NBA,SG,23,718,12.5,.497,.211,.274,4.4,14.8,9.5,9.8,2.9,2.7,12.1,13.7,,0.3,1.0,1.2,.081,,-1.7,3.0,1.3,0.6
2009-10,25,OKC,NBA,SG,82,2348,9.8,.509,.297,.202,3.8,14.8,9.5,8.9,2.1,1.5,15.8,10.9,,0.6,3.4,4.0,.082,,-1.6,2.8,1.2,1.9
2010-11,26,OKC,NBA,SG,79,2049,10.4,.545,.306,.237,3.8,15.5,9.9,7.9,2.5,1.4,13.0,9.4,,1.6,2.5,4.1,.097,,-0.6,2.6,2.0,2.0
2011-12,27,OKC,NBA,SG,42,914,9.8,.584,.458,.277,2.8,12.5,8.0,7.4,2.1,1.4,18.7,10.6,,0.8,1.0,1.8,.095,,-0.4,1.3,0.9,0.7
2012-13,28,OKC,NBA,SG,81,2229,12.8,.617,.554,.148,3.2,12.4,8.2,8.2,2.4,1.5,11.4,11.4,,3.6,3.1,6.8,.146,,1.9,1.6,3.5,3.1
2013-14,29,OKC,NBA,SG,61,1584,10.4,.517,.447,.203,3.7,11.5,7.8,8.3,2.5,0.9,12.9,11.9,,0.9,2.1,3.0,.092,,-0.7,1.5,0.8,1.1
2014-15,30,ATL,NBA,SF,52,976,13.8,.506,.313,.233,6.4,19.3,13.1,11.2,2.8,1.8,12.2,14.6,,0.8,1.7,2.5,.121,,-1.2,2.5,1.3,0.8
2015-16,31,ATL,NBA,SF,75,1758,12.4,.578,.333,.266,3.3,17.1,10.4,8.8,2.4,1.7,14.1,12.3,,1.3,3.2,4.5,.122,,-1.7,2.8,1.1,1.4
Career,,,NBA,,678,15615,11.2,.533,.334,.215,3.9,14.9,9.5,9.5,2.4,1.5,14.5,12.5,,8.9,22.4,31.3,.096,,-1.1,2.1,1.1,12.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,OKC,NBA,,368,9842,10.9,.548,.393,.208,3.6,13.7,8.9,8.3,2.4,1.4,13.7,11.0,,7.8,13.2,21.0,.102,,-0.3,2.1,1.8,9.4
3 seasons,,CHI,NBA,,183,3039,10.7,.488,.210,.203,4.1,15.9,9.9,13.0,2.2,1.5,16.9,16.4,,-1.0,4.4,3.4,.053,,-3.0,1.5,-1.5,0.4
2 seasons,,ATL,NBA,,127,2734,12.9,.549,.325,.253,4.4,17.9,11.3,9.7,2.5,1.7,13.3,13.1,,2.1,4.9,6.9,.122,,-1.5,2.7,1.2,2.2
